000004	XEROX CORPORATION
143004	HUAWEI TECHNOLOGIES CO.,LTD
1446E4	Avistel
145F94	HUAWEI TECHNOLOGIES CO.,LTD
14A364	Samsung Electronics Co.,Ltd
14B484	Samsung Electronics Co.,Ltd
14E6E4	TP-LINK TECHNOLOGIES CO.,LTD.
14EDE4	Kaiam Corporation
180C14	iSonea Limited
181714	Daewoois
183864	CAP-TECH INTERNATIONAL CO., LTD.
1840A4	Shenzhen Trylong Smart Science and Technology Co., Ltd.
184E94	MESSOA TECHNOLOGIES INC.
18E7F4	Apple, Inc.
18FE34	Espressif Inc.
1C3E84	Hon Hai Precision Ind. Co.,Ltd.
1C4024	Dell Inc.
1C8464	FORMOSA WIRELESS COMMUNICATION CORP.
1CB094	HTC Corporation
1CB9C4	Ruckus Wireless
202564	PEGATRON CORPORATION
206274	Microsoft Corporation
207D74	Apple, Inc.
208984	COMPAL INFORMATION (KUNSHAN) CO., LTD.
20A2E4	Apple, Inc.
20C3A4	RetailNext
20CEC4	Peraso Technologies
20E564	ARRIS Group, Inc.
20ED74	Ability enterprise co.,Ltd.
240A64	AzureWave Technology Inc.
240AC4	Espressif Inc.
241064	Shenzhen Ecsino Tecnical Co. Ltd
241B44	Hangzhou Tuners Electronics Co., Ltd
241C04	SHENZHEN JEHE TECHNOLOGY DEVELOPMENT CO., LTD.
243184	SHARP Corporation
2486F4	Ctek, Inc.
248894	shenzhen lensun Communication Technology LTD
249504	Sfr
24A074	Apple, Inc.
24AF54	NEXGEN Mediatech Inc.
24BF74	Private
24E314	Apple, Inc.
24F094	Apple, Inc.
283CE4	HUAWEI TECHNOLOGIES CO.,LTD
286094	Capelec
286ED4	HUAWEI TECHNOLOGIES CO.,LTD
287184	Spire Payments
287994	Realplay Digital Technology(Shenzhen) Co.,Ltd
28A574	Miller Electric Mfg. Co.
28C914	Taimag Corporation
28D244	LCFC(HeFei) Electronics Technology Co., Ltd.
28E794	Microtime Computer Inc.
2C1984	IDN Telecom, Inc.
2C3124	Cisco Systems, Inc
2C4D54	ASUSTek COMPUTER INC.
2C7B84	OOO Petr Telegin
2C9464	Cincoze Co., Ltd.
2C9924	ARRIS Group, Inc.
2C9AA4	Eolo SpA
2CA2B4	Fortify Technologies, LLC
2CABA4	Cisco SPVTG
2CAC44	Conextop
2CD444	FUJITSU LIMITED
2CFCE4	CTEK Sweden AB
3010E4	Apple, Inc.
303294	W-Ie-Ne-               # W-IE-NE-R Plein & Baus GmbH
3032D4	Hanilstm Co., Ltd.
303A64	Intel Corporate
304174	ALTEC LANSING LLC
30AEA4	Espressif Inc.
340804	D-Link Corporation
341FE4	ARRIS Group, Inc.
3431C4	AVM GmbH
343DC4	BUFFALO.INC
344CA4	amazipoint technology Ltd.
3481C4	AVM GmbH
3481F4	SST Taiwan Ltd.
349E34	Evervictory Electronic Co.Ltd
34ADE4	Shanghai Chint Power Systems Co., Ltd.
34B354	HUAWEI TECHNOLOGIES CO.,LTD
34CE94	Parsec (Pty) Ltd
34D2C4	RENA GmbH Print Systeme
34D7B4	Tributary Systems, Inc.
34DE34	zte corporation
34EA34	HangZhou Gubei Electronics Technology Co.,Ltd
34EF44	2Wire Inc
3806B4	A.D.C. GmbH
3809A4	Firefly Integrations
380A94	Samsung Electronics Co.,Ltd
380DD4	Primax Electronics Ltd.
380FE4	Dedicated Network Partners Oy
38ECE4	Samsung Electronics Co.,Ltd
3C0754	Apple, Inc.
3C1E04	D-Link International
3C2AF4	Brother Industries, LTD.
3C2C94	杭州德澜科技有限公司（HangZhou Delan Technology Co.,Ltd）
3C36E4	ARRIS Group, Inc.
3C5AB4	Google, Inc.
3C6104	Juniper Networks
3C9174	ALONG COMMUNICATION TECHNOLOGY
3CA9F4	Intel Corporate
3CE5B4	KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA
3CE624	LG Display
4012E4	Compass-               # Compass-EOS
402814	RFI Engineering
402CF4	Universal Global Scientific Industrial Co., Ltd.
403004	Apple, Inc.
404AD4	Widex A/S
4054E4	Wearsafe Labs Inc
407074	Life Technology (China) Co., Ltd
40A6A4	PassivSystems Ltd
40B034	Hewlett Packard
440444	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
4439C4	Universal Global Scientific Industrial Co., Ltd.
446C24	Reallin Electronic Co.,Ltd
447BC4	DualShine Technology(SZ)Co.,Ltd
44D244	Seiko Epson Corporation
44D884	Apple, Inc.
481A84	Pointer Telocation Ltd
483974	Proware Technologies Co., Ltd.
487604	Private
488244	Life Fitness / Div. of Brunswick
489D24	BlackBerry RTS
48BF74	Baicells Technologies Co.,LTD
48D224	Liteon Technology Corporation
48E244	Hon Hai Precision Ind. Co.,Ltd.
4C09B4	zte corporation
4C09D4	Arcadyan Technology Corporation
4C1694	shenzhen sibituo Technology Co., Ltd
4C3B74	VOGTEC(H.K.) Co., Ltd
4C9614	Juniper Networks
4C9EE4	Hanyang Navicom Co.,Ltd.
4CCC34	Motorola Solutions Inc.
4CD9C4	Magneti Marelli Automotive Electronics (Guangzhou) Co. Ltd
500604	Cisco Systems, Inc
502DF4	Phytec Messtechnik GmbH
503CC4	Lenovo Mobile Communication Technology Ltd.
504F94	Loxone Electronics GmbH
506184	Avaya Inc
507224	Texas Instruments
50A054	Actineon
50D274	Steffes Corporation
50ED94	EGATEL SL
50FA84	TP-LINK TECHNOLOGIES CO.,LTD.
540384	Hangkong Nano IC Technologies Co., Ltd
545414	Digital RF Corea, Inc
547F54	Ingenico
54A274	Cisco Systems, Inc
54A9D4	Minibar Systems
54D0B4	Xiamen Four-Faith Communication Technology Co.,Ltd
54D9E4	BRILLIANTTS CO., LTD
583F54	LG Electronics (Mobile Communications)
5842E4	Baxter International Inc
584704	Shenzhen Webridge Technology Co.,Ltd
5884E4	IP500 Alliance e.V.
58B0D4	ZuniData Systems Inc.
58EB14	Proteus Digital Health
58FB84	Intel Corporate
5C22C4	DAE EUN ELETRONICS CO., LTD
5C6984	Nuvico
5C89D4	Beijing Banner Electric Co.,Ltd
5CB524	Sony Mobile Communications AB
5CC5D4	Intel Corporate
5CD2E4	Intel Corporate
5CDAD4	Murata Manufacturing Co., Ltd.
5CE2F4	AcSiP Technology Corp.
600194	Espressif Inc.
6002B4	Wistron Neweb Corporation
602A54	CardioTek B.V.
6047D4	FORICS Electronic Technology Co., Ltd.
605464	Eyedro Green Solutions Inc.
605BB4	AzureWave Technology Inc.
606944	Apple, Inc.
608334	HUAWEI TECHNOLOGIES CO.,LTD
609084	DSSD Inc
609AA4	GVI SECURITY INC.
609E64	Vivonic GmbH
60B3C4	Elber Srl
60DE44	HUAWEI TECHNOLOGIES CO.,LTD
60F494	Hon Hai Precision Ind. Co.,Ltd.
640E94	Pluribus Networks, Inc.
641084	HEXIUM Technical Development Co., Ltd.
642184	Nippon Denki Kagaku Co.,LTD
644214	Swisscom Energy Solutions AG
644F74	LENUS Co., Ltd.
645A04	Chicony Electronics Co., Ltd.
646184	Velux
646A74	AUTH-SERVERS, LLC
647BD4	Texas Instruments
647C34	Ubee Interactive Corp.
649B24	V Technology Co., Ltd.
64C354	Avaya Inc
64C944	LARK Technologies, Inc
64D154	Routerboard.com
64D814	Cisco Systems, Inc
64D954	Taicang T&W Electronics
681D64	Sunwave Communications Co., Ltd
683E34	MEIZU Technology Co., Ltd.
687924	ELS-GmbH & Co. KG
687F74	Cisco-Linksys, LLC
688F84	HUAWEI TECHNOLOGIES CO.,LTD
689234	Ruckus Wireless
68A3C4	Liteon Technology Corporation
68B094	INESA ELECTRON CO.,LTD
68EDA4	Shenzhen Seavo Technology Co.,Ltd
6C0B84	Universal Global Scientific Industrial Co., Ltd.
6C3A84	Shenzhen Aero-Startech. Co.Ltd
6C5A34	Shenzhen Haitianxiong Electronic Co., Ltd.
6C5C14	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
6C8814	Intel Corporate
6C9354	Yaojin Technology (Shenzhen) Co., LTD.
6CB7F4	Samsung Electronics Co.,Ltd
700514	LG Electronics (Mobile Communications)
701124	Apple, Inc.
701404	Limited Liability Company
701A04	Liteon Technology Corporation
701DC4	NorthStar Battery Company, LLC
702084	Hon Hai Precision Ind. Co., Ltd.
702D84	i4C Innovations
7038B4	Low Tech Solutions
704AE4	Rinstrum Pty Ltd
70AD54	Malvern Instruments Ltd
70AF24	TP Vision Belgium NV
70E284	Wistron Infocomm (Zhongshan) Corporation
70ECE4	Apple, Inc.
742344	Xiaomi Communications Co Ltd
744AA4	zte corporation
748114	Apple, Inc.
7493A4	Zebra Technologies Corp.
74E424	APISTE CORPORATION
782544	Omnima Limited
783A84	Apple, Inc.
7840E4	Samsung Electronics Co.,Ltd
7845C4	Dell Inc.
7846C4	DAEHAP HYPER-TECH
788C54	Eltek Technologies LTD
7894B4	Sercomm Corporation.
789684	ARRIS Group, Inc.
78A3E4	Apple, Inc.
78A504	Texas Instruments
78A714	Amphenol
78CA04	Nokia Corporation
78D004	Neousys Technology Inc.
78DEE4	Texas Instruments
78EB14	SHENZHEN FAST TECHNOLOGIES CO.,LTD
78EC74	Kyland-USA
78F944	Private
78FC14	Family Zone Cyber Safety Ltd
78FD94	Apple, Inc.
7C2064	Alcatel-               # Alcatel-Lucent IPD
7C2634	ARRIS Group, Inc.
7C2664	Sagemcom Broadband SAS
7C72E4	Unikey Technologies
7C7BE4	Z'SEDAI KENKYUSHO CORPORATION
7C8274	Shenzhen Hikeen Technology CO.,LTD
7C8EE4	Texas Instruments
7CAD74	Cisco Systems, Inc
7CC6C4	Kolff Computer Supplies b.v.
7CD844	Enmotus Inc
7CDA84	Dongnian Networks Inc.
7CE044	NEON Inc
7CE524	Quirky, Inc.
7CF854	Samsung Electronics Co.,Ltd
800184	HTC Corporation
800E24	ForgetBox
801844	Dell Inc.
801934	Intel Corporate
802994	Technicolor CH USA Inc.
802E14	azeti Networks AG
805A04	LG Electronics (Mobile Communications)
80AAA4	Usag
8425A4	Tariox Limited
842914	EMPORIA TELECOM Produktions- und VertriebsgesmbH & Co KG
844464	ServerU Inc
8482F4	Beijing Huasun Unicreate Technology Co., Ltd
848D84	Rajant Corporation
849D64	SMC Corporation
84A134	Apple, Inc.
84A8E4	HUAWEI TECHNOLOGIES CO.,LTD
84A9C4	HUAWEI TECHNOLOGIES CO.,LTD
84ACA4	Beijing Novel Super Digital TV Technology Co., Ltd
84C2E4	Jiangsu Qinheng Co., Ltd.
84E0F4	IEEE Registration Authority
84E714	Liang Herng Enterprise,Co.Ltd.
881544	Cisco Meraki
882364	Watchnet DVR Inc
883314	Texas Instruments
8853D4	HUAWEI TECHNOLOGIES CO.,LTD
886B44	Sunnovo International Limited
887384	Toshiba
888914	All Components Incorporated
888964	GSI Electronics Inc.
88A084	Formation Data Systems
88D274	zte corporation
8C09F4	ARRIS Group, Inc.
8C10D4	Sagemcom Broadband SAS
8C1F94	RF Surgical System Inc.
8C6AE4	Viogem Limited
8CB094	Airtech I&C Co., Ltd
8CB864	AcSiP Technology Corp.
8CC8F4	IEEE Registration Authority
8CDCD4	Hewlett Packard
900CB4	Alinket Electronic Technology Co., Ltd
9027E4	Apple, Inc.
902B34	GIGA-BYTE TECHNOLOGY CO.,LTD.
905C44	Compal Broadband Networks, Inc.
908674	SICHUAN TIANYI COMHEART TELECOMCO., LTD
908C44	H.K ZONGMU TECHNOLOGY CO., LTD.
9092B4	Diehl BGT Defence GmbH & Co. KG
9094E4	D-Link International
909864	Impex-Sat GmbH&amp;Co KG
90B134	ARRIS Group, Inc.
90CC24	Synaptics, Inc
90E7C4	HTC Corporation
944444	LG Innotek
946124	Pason Systems
9481A4	Azuray Technologies
9486D4	Surveillance Pro Corporation
948854	Texas Instruments
949FB4	ChengDu JiaFaAnTai Technology Co.,Ltd
94B9B4	Aptos Technology
94C014	Sorter Sp. j. Konrad Grzeszczyk MichaA, Ziomek
94C3E4	SCA Schucker Gmbh & Co KG
94FEF4	Sagemcom Broadband SAS
980284	Theobroma Systems GmbH
980EE4	Private
981094	Shenzhen Vsun communication technology Co.,ltd
984C04	Zhangzhou Keneng Electrical Equipment Co Ltd
9873C4	Sage Electronic Engineering LLC
988744	Wuxi Hongda Science and Technology Co.,LTD
988E34	ZHEJIANG BOXSAM ELECTRONIC CO.,LTD
98BE94	Ibm
98CDB4	Virident Systems, Inc.
98E7F4	Hewlett Packard
98FD74	ACT.CO.LTD
98FDB4	Primax Electronics Ltd.
98FE94	Apple, Inc.
9C1874	Nokia Danmark A/S
9C37F4	HUAWEI TECHNOLOGIES CO.,LTD
9C55B4	I.S.E. S.r.l.
9C7514	Wildix srl
9C93E4	Private
9CA134	Nike, Inc.
9CA9E4	zte corporation
9CB654	Hewlett Packard
9CE374	HUAWEI TECHNOLOGIES CO.,LTD
A04E04	Nokia Corporation
A04FD4	ADB Broadband Italia
A05AA4	Grand Products Nevada, Inc.
A088B4	Intel Corporate
A089E4	Skyworth Digital Technology(Shenzhen) Co.,Ltd
A0DC04	Becker-Antriebe GmbH
A0E534	Stratec Biomedical AG
A0EF84	Seine Image Int'l Co., Ltd
A0F3E4	Alcatel-               # Alcatel-Lucent IPD
A47174	HUAWEI TECHNOLOGIES CO.,LTD
A479E4	KLINFO Corp
A47AA4	ARRIS Group, Inc.
A47C14	ChargeStorm AB
A4A1E4	Innotube, Inc.
A4C494	Intel Corporate
A4D094	Erwin Peters Systemtechnik GmbH
A4D9A4	neXus ID Solutions AB
A4E7E4	Connex GmbH
A81374	Panasonic Corporation AVC Networks Company
A81E84	QUANTA COMPUTER INC.
A83944	Actiontec Electronics, Inc
A85EE4	12Sided Technology, LLC
A88E24	Apple, Inc.
A8B1D4	Cisco Systems, Inc
A8F274	Samsung Electronics Co.,Ltd
AA0004	DEC				Local logical address for DECNET systems
AC3CB4	Nilan A/S
AC3FA4	TAIYO YUDEN CO.,LTD
AC5A14	Samsung Electronics Co.,Ltd
AC8674	Open Mesh, Inc.
AC8D14	Smartrove Inc
AC9B84	Smak Tecnologia e Automacao
AC9CE4	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
ACCA54	Telldus Technologies AB
ACD074	Espressif Inc.
ACD364	ABB SPA, ABB SACE DIV.
B000B4	Cisco Systems, Inc
B00594	Liteon Technology Corporation
B058C4	Broadcast Microwave Services, Inc
B07994	Motorola Mobility LLC, a Lenovo Company
B09074	Fulan Electronics Limited
B09134	Taleo
B09BD4	GNH Software India Private Limited
B0C554	D-Link International
B0E754	2Wire Inc
B40B44	Smartisan Technology Co., Ltd.
B43564	Fujian Tian Cheng Electron Science & Technical Development Co.,Ltd.
B43934	Pen Generations, Inc.
B45CA4	Thing-talk Wireless Communication Technologies Corporation Limited
B49DB4	Axion Technologies Inc.
B4A984	Symantec Corporation
B4B384	ShenZhen Figigantic Electronic Co.,Ltd
B4E1C4	Microsoft Mobile Oy
B4ED54	Wohler Technologies
B4EEB4	ASKEY COMPUTER CORP
B4EED4	Texas Instruments
B4EF04	DAIHAN Scientific Co., Ltd.
B4FBE4	Ubiquiti Networks Inc.
B826D4	Furukawa Industrial S.A. Produtos Elétricos
B843E4	Vlatacom
B870F4	COMPAL INFORMATION (KUNSHAN) CO., LTD.
B87424	Viessmann Elektronik GmbH
B88F14	Analytica GmbH
B89674	AllDSP GmbH & Co. KG
B89BE4	ABB Power Systems Power Generation
B8F934	Sony Mobile Communications AB
BC0F64	Intel Corporate
BC20A4	Samsung Electronics Co.,Ltd
BC4434	Shenzhen TINNO Mobile Technology Corp.
BC4CC4	Apple, Inc.
BC52B4	Nokia
BC5FF4	ASRock Incorporation
BC6784	Environics Oy
BC6A44	Commend International GmbH
BC6E64	Sony Mobile Communications AB
BC7574	HUAWEI TECHNOLOGIES CO.,LTD
C034B4	Gigastone Corporation
C06394	Apple, Inc.
C09134	ProCurve Networking by HP
C09C04	Shaanxi GuoLian Digital TV Technology Co.,Ltd.
C0A364	3D Systems Massachusetts
C0AC54	Sagemcom Broadband SAS
C0D044	Sagemcom Broadband SAS
C0DA74	Hangzhou Sunyard Technology Co., Ltd.
C0EAE4	Sonicwall
C0F1C4	Pacidal Corporation Ltd.
C0FFD4	Netgear
C44044	RackTop Systems Inc.
C44B44	Omniprint Inc.
C45444	QUANTA COMPUTER INC.
C46044	Everex Electronics Limited
C46354	U-Raku, Inc.
C46BB4	Myidkey
C4BE84	Texas Instruments
C4BED4	Avaya Inc
C4E984	TP-LINK TECHNOLOGIES CO.,LTD.
C4F464	Spica international
C4FCE4	DishTV NZ Ltd
C80084	Cisco Systems, Inc
C80E14	AVM Audiovisuelles Marketing und Computersysteme GmbH
C82A14	Apple, Inc.
C82E94	Halfa Enterprise Co., Ltd.
C83DD4	CyberTAN Technology Inc.
C83FB4	ARRIS Group, Inc.
C84544	Asia Pacific CIS (Wuxi) Co, Ltd
C87324	Sow Cheng Technology Co. Ltd.
C8BA94	SAMSUNG ELECTRO-MECHANICS(THAILAND)
C8F704	Building Block Video
CC04B4	Select Comfort
CC07E4	Lenovo Mobile Communication Technology Ltd.
CC1FC4	Invue
CC4E24	Brocade Communications Systems, Inc.
CC7314	HONG KONG WHEATEK TECHNOLOGY LIMITED
CCA374	Guangdong Guanglian Electronic Technology Co.Ltd
CCA614	AIFA TECHNOLOGY CORP.
CCC104	Applied Technical Systems
CCCD64	SM-Electronic GmbH
CCF954	Avaya Inc
D00EA4	Porsche Cars North America
D02544	SAMSUNG ELECTRO-MECHANICS(THAILAND)
D059E4	Samsung Electronics Co.,Ltd
D063B4	SolidRun Ltd.
D071C4	zte corporation
D083D4	XTel ApS
D0B2C4	Technicolor CH USA Inc.
D0BAE4	Shanghai MXCHIP Information Technology Co., Ltd.
D42C44	Cisco Systems, Inc
D44C24	Vuppalamritha Magnetic Components LTD
D48304	SHENZHEN FAST TECHNOLOGIES CO.,LTD
D48564	Hewlett Packard
D49524	Clover Network, Inc.
D4D184	ADB Broadband Italia
D4F0B4	Napco Security Technologies
D81C14	Compacta International, Ltd.
D83214	Tenda Technology Co.,Ltd.Dongguan branch
D85D84	CAx soft GmbH
D86194	Objetivos y Sevicios de Valor Añadido
D89A34	Beijing SHENQI Technology Co., Ltd.
DC0914	Talk-A-Phone Co.
DC0B34	LG Electronics (Mobile Communications)
DC1DD4	Microstep-MIS spol. s r.o.
DC2A14	Shanghai Longjing Technology Co.
DC3714	Apple, Inc.
DC3C84	Ticom Geomatics, Inc.
DC7014	Private
DC7144	SAMSUNG ELECTRO MECHANICS CO., LTD.
DC7834	LOGICOM SA
DC7B94	Cisco Systems, Inc
DC7FA4	2Wire Inc
DC9FA4	Nokia Corporation
DCA5F4	Cisco Systems, Inc
DCA904	Apple, Inc.
DCAE04	CELOXICA Ltd
DCB3B4	Honeywell Environmental & Combustion Controls (Tianjin) Co., Ltd.
DCB4C4	Microsoft XCG
DCCF94	Beijing Rongcheng Hutong Technology Co., Ltd.
DCEB94	Cisco Systems, Inc
E034E4	Feit Electric Company, Inc.
E03E44	Broadcom
E05124	NXP Semiconductors
E056F4	AxesNetwork Solutions inc.
E0CA94	ASKEY COMPUTER CORP
E42354	SHENZHEN FUZHI SOFTWARE TECHNOLOGY CO.,LTD
E45614	Suttle Apparatus
E477D4	Minrray Industry Co.,Ltd
E48184	Nokia
E80734	Champion Optical Network Engineering, LLC
E81324	GuangZhou Bonsoninfo System CO.,LTD
E82E24	Out of the Fog Research LLC
E84E84	Samsung Electronics Co.,Ltd
E85484	NEO Information Systems Co., Ltd.
E855B4	SAI Technology Inc.
E865D4	Tenda Technology Co.,Ltd.Dongguan branch
E866C4	Diamanti
E86D54	Digit Mobile Inc
E892A4	LG Electronics (Mobile Communications)
E899C4	HTC Corporation
E89EB4	Hon Hai Precision Ind. Co.,Ltd.
E8A364	Signal Path International / Peachtree Audio
E8F724	Hewlett Packard Enterprise
EC0EC4	Hon Hai Precision Ind. Co.,Ltd.
EC4644	TTK SAS
EC6264	Global411 Internet Services, LLC
EC7C74	Justone Technologies Co., Ltd.
EC9A74	Hewlett Packard
ECE154	Beijing Unisound Information Technology Co.,Ltd.
ECE744	Omntec mfg. inc
F01E34	ORICO Technologies Co., Ltd
F02624	WAFA TECHNOLOGIES CO., LTD.
F03404	TCT mobile ltd
F074E4	Thundercomm Technology Co., Ltd
F0A764	GST Co., Ltd.
F0AB54	MITSUMI ELECTRIC CO.,LTD.
F0ACA4	HBC-radiomatic
F0F644	Whitesky Science & Technology Co.,Ltd.
F40304	Google, Inc.
F40F24	Apple, Inc.
F43814	Shanghai Howell Electronic Co.,Ltd
F45214	Mellanox Technologies, Inc.
F45FD4	Cisco SPVTG
F46D04	ASUSTek COMPUTER INC.
F49634	Intel Corporate
F49F54	Samsung Electronics Co.,Ltd
F4A294	EAGLE WORLD DEVELOPMENT CO., LIMITED
F4B164	Lightning Telecommunications Technology Co. Ltd
F4C714	HUAWEI TECHNOLOGIES CO.,LTD
F4CA24	FreeBit Co., Ltd.
F4E9D4	QLogic Corporation
F4EE14	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
F4F524	Motorola Mobility LLC, a Lenovo Company
F80F84	Natural Security SAS
F81654	Intel Corporate
F83094	Alcatel-               # Alcatel-Lucent Telecom Limited
F832E4	ASUSTek COMPUTER INC.
F86214	Apple, Inc.
F87394	Netgear
F8A2B4	RHEWA-WAAGENFABRIK August Freudewald GmbH &amp;Co. KG
F8DAF4	Taishan Online Technology Co., Ltd.
F8F014	RackWare Inc.
F8F464	Rawe Electonic GmbH
FC15B4	Hewlett Packard
FC1794	InterCreative Co., Ltd
FC1D84	Autobase
FC2A54	Connected Data, Inc.
FC4DD4	Universal Global Scientific Industrial Co., Ltd.
FC51A4	ARRIS Group, Inc.
FC5B24	Weibel Scientific A/S
FC8FC4	Intelligent Technology Inc.
FC9114	Technicolor CH USA Inc.
FCAA14	GIGA-BYTE TECHNOLOGY CO.,LTD.
FCB0C4	Shanghai DareGlobal Technologies Co.,Ltd
FCC734	Samsung Electronics Co.,Ltd
FCCAC4	LifeHealth, LLC
FCCCE4	Ascon Ltd.
