000001	SuperLAN-2U
080031	LITTLE MACHINES INC.
080041	DCA (Digital Comm. Assoc.)
080051	Experdata
080061	JAROGATE LTD.
080071	MATRA (DSIE)
080081	Crosfield Electronics
080371	KRG CORPORATE
080581	Roku, Inc.
081651	SHENZHEN SEA STAR TECHNOLOGY CO.,LTD
081F71	TP-LINK TECHNOLOGIES CO.,LTD.
083571	CASwell INC.
086361	HUAWEI TECHNOLOGIES CO.,LTD
086D41	Apple, Inc.
087D21	Altasec technology corporation
089E01	QUANTA COMPUTER INC.
08C021	HUAWEI TECHNOLOGIES CO.,LTD
0C17F1	Telecsys
0C3021	Apple, Inc.
0C5101	Apple, Inc.
0C5521	Axiros GmbH
0C8411	A.O. Smith Water Products
0C9301	PT. Prasimax Inovasi Teknologi
0C9E91	Sankosha Corporation
0CBD51	TCT mobile ltd
0CC731	Currant, Inc.
0CCFD1	SPRINGWAVE Co., Ltd
0CD9C1	Visteon Corporation
0CDA41	Hangzhou H3C Technologies Co., Limited
0CF361	Java Information
100501	PEGATRON CORPORATION
1005B1	ARRIS Group, Inc.
1008B1	Hon Hai Precision Ind. Co.,Ltd.
101331	Technicolor
101D51	ON-Q LLC dba ON-Q Mesh Networks
102831	Morion Inc.
103711	Simlink AS
1048B1	Beijing Duokan Technology Limited
105611	ARRIS Group, Inc.
1077B1	Samsung Electronics Co.,Ltd
10CA81	Precia
10DDB1	Apple, Inc.
10F311	Cisco Systems, Inc
10F681	vivo Mobile Communication Co., Ltd.
111111	Private
141A51	Treetech Sistemas Digitais
142971	NEMOA ELECTRONICS (HK) CO. LTD
1432D1	Samsung Electronics Co.,Ltd
145BD1	ARRIS Group, Inc.
147411	Rim
148951	LCFC(HeFei) Electronics Technology co., ltd
148F21	Garmin International
14BD61	Apple, Inc.
182861	AirTies Wireless Networks
182C91	Concept Development, Inc.
183451	Apple, Inc.
186571	Top Victory Electronics (Taiwan) Co., Ltd.
186751	KOMEG Industrielle Messtechnik GmbH
187C81	Valeo Vision Systems
188331	Samsung Electronics Co.,Ltd
18AF61	Apple, Inc.
18B591	I-Storm
18C451	Tucson Embedded Systems
18C501	SHENZHEN GONGJIN ELECTRONICS CO.,LT
18D071	DASAN CO., LTD.
1C08C1	Lg Innotek
1C11E1	Wartsila Finland Oy
1C21D1	IEEE Registration Authority
1C25E1	China Mobile IOT Company Limited
1C35F1	NEW Lift Neue Elektronische Wege Steuerungsbau GmbH
1C7B21	Sony Mobile Communications AB
1C7C11	Eid
1C7E51	3bumen.com
1C8341	Hefei Bitland Information Technology Co.Ltd
1CA2B1	ruwido austria gmbh
1CAB01	Innovolt
1CADD1	Bosung Electronics Co., Ltd.
1CC0E1	IEEE Registration Authority
1CF061	SCAPS GmbH
202BC1	HUAWEI TECHNOLOGIES CO.,LTD
2046A1	VECOW Co., Ltd
204E71	Juniper Networks
205531	Samsung Electronics Co.,Ltd
205721	Salix Technology CO., Ltd.
2067B1	Pluto inc.
20E791	Siemens Healthcare Diagnostics, Inc
20FDF1	3COM EUROPE LTD
240A11	TCT mobile ltd
240BB1	KOSTAL Industrie Elektrik GmbH
244B81	Samsung Electronics Co.,Ltd
246081	razberi technologies
246511	AVM GmbH
24A2E1	Apple, Inc.
24AB81	Apple, Inc.
24BBC1	Absolute Analysis
24C9A1	Ruckus Wireless
24CF21	Shenzhen State Micro Technology Co., Ltd
24D921	Avaya Inc
24DA11	NO NDA Inc
24E271	Qingdao Hisense Communications Co.,Ltd.
281471	Lantis co., LTD.
284121	OptiSense Network, LLC
285261	Cisco Systems, Inc
28A241	exlar corp
28C671	Yota Devices OY
28CC01	Samsung Electronics Co.,Ltd
28DB81	Shanghai Guao Electronic Technology Co., Ltd
28EF01	Private
28FC51	The Electric Controller and Manufacturing Co., LLC
2C10C1	Nintendo Co., Ltd.
2C1A31	Electronics Company Limited
2C2131	Juniper Networks
2C3311	Cisco Systems, Inc
2C3361	Apple, Inc.
2C3731	SHENZHEN YIFANG DIGITAL TECHNOLOGY CO.,LTD.
2C39C1	Ciena Corporation
2C4401	Samsung Electronics Co.,Ltd
2C5BE1	Centripetal Networks, Inc
2C7E81	ARRIS Group, Inc.
2CD141	IEEE Registration Authority
2CE871	Alert Metalguard ApS
2CF7F1	Seeed Technology Inc.
3044A1	Shanghai Nanchao Information Technology
30B5F1	Aitexin Technology Co., Ltd
30E171	Hewlett Packard
30EFD1	Alstom Strongwish (Shenzhen) Co., Ltd.
30FD11	MACROTECH (USA) INC.
343111	Samsung Electronics Co.,Ltd
345B11	EVI HEAT AB
349971	Quanta Storage Inc.
34A5E1	Sensorist ApS
34B571	Plds
34BA51	Se-Kure Controls, Inc.
34C731	ALPS ELECTRIC CO.,LTD.
3816D1	Samsung Electronics Co.,Ltd
382DD1	Samsung Electronics Co.,Ltd
383A21	IEEE Registration Authority
386E21	Wasion Group Ltd.
3876D1	Euronda SpA
38A851	Moog, Ing
38BC01	HUAWEI TECHNOLOGIES CO.,LTD
38EC11	Novatek Microelectronics Corp.
3C02B1	Creation Technologies LP
3C0771	Sony Corporation
3C0FC1	KBC Networks
3C3F51	2crsi
3C4711	HUAWEI TECHNOLOGIES CO.,LTD
3C5F01	Synerchip Co., Ltd.
3C7DB1	Texas Instruments
3C9F81	Shenzhen CATIC Bit Communications Technology Co.,Ltd
3CBEE1	NIKON CORPORATION
3CC2E1	XINHUA CONTROL ENGINEERING CO.,LTD
4018B1	Aerohive Networks Inc.
402BA1	Sony Mobile Communications AB
405EE1	Shenzhen H&T Intelligent Control Co.,Ltd.
4097D1	BK Electronics cc
40B6B1	SUNGSAM CO,.Ltd
40BA61	ARIMA Communications Corp.
40F201	Sagemcom Broadband SAS
441441	AudioControl Inc.
441E91	ARVIDA Intelligent Electronics Technology  Co.,Ltd.
441EA1	Hewlett Packard
443D21	Nuvolt
444891	HDMI Licensing, LLC
4448C1	Hewlett Packard Enterprise
4455B1	HUAWEI TECHNOLOGIES CO.,LTD
4486C1	Siemens Low Voltage & Products
448E81	Vig
44D6E1	Snuza International Pty. Ltd.
44DC91	PLANEX COMMUNICATIONS INC.
480031	HUAWEI TECHNOLOGIES CO.,LTD
4846F1	Uros Oy
485261	Soreel
486B91	Fleetwood Group Inc.
48E9F1	Apple, Inc.
48F7F1	Nokia
48F8E1	Nokia
4C16F1	zte corporation
4C6641	SAMSUNG ELECTRO-MECHANICS(THAILAND)
4CA161	Rain Bird Corporation
4CAE31	ShengHai Electronics (Shenzhen) Ltd
4CC681	Shenzhen Aisat Electronic Co., Ltd.
4CE2F1	sclak srl
500B91	IEEE Registration Authority
503DA1	Samsung Electronics Co.,Ltd
504061	Nokia
506441	Greenlee
507691	Tekpea, Inc.
508CB1	Texas Instruments
509871	Inventum Technologies Private Limited
50C271	SECURETECH INC
50C971	GN Netcom A/S
543131	Raster Vision Ltd
546751	Compal Broadband Networks, Inc.
549A11	IEEE Registration Authority
54E061	SICHUAN TIANYI COMHEART TELECOMCO., LTD
54F201	Samsung Electronics Co.,Ltd
581D91	Advanced Mobile Telecom co.,ltd.
5820B1	Hewlett Packard
5846E1	Baxter International Inc
586AB1	Hangzhou H3C Technologies Co., Limited
587521	CJSC RTSoft
587E61	Qingdao Hisense Communications Co.,Ltd.
58B961	SOLEM Electronique
58B9E1	Crystalfontz America, Inc.
58D071	BW Broadcast
58ECE1	Newport Corporation
5C15E1	AIDC TECHNOLOGY (S) PTE LTD
5CB901	Hewlett Packard
5CF821	Texas Instruments
5CF8A1	Murata Manufacturing Co., Ltd.
601971	ARRIS Group, Inc.
6024C1	Jiangsu Zhongxun Electronic Technology Co., Ltd
6049C1	Avaya Inc
6050C1	Kinetek Sports
6064A1	RADiflow Ltd.
6089B1	Key Digital Systems
6099D1	Vuzix / Lenovo
609AC1	Apple, Inc.
60BD91	Move Innovation
60E701	HUAWEI TECHNOLOGIES CO.,LTD
60F281	TRANWO TECHNOLOGY CO., LTD.
6400F1	Cisco Systems, Inc
641E81	Dowslake Microsystems
643AB1	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
6455B1	ARRIS Group, Inc.
645601	TP-LINK TECHNOLOGIES CO.,LTD.
647791	Samsung Electronics Co.,Ltd
647D81	YOKOTA INDUSTRIAL CO,.LTD
649C81	Qualcomm Inc.
64A341	Wonderlan (Beijing) Technology Co., Ltd.
64A651	HUAWEI TECHNOLOGIES CO.,LTD
64BC11	CombiQ AB
64D241	Keith & Koep GmbH
64DB81	Syszone Co., Ltd.
64DC01	Static Systems Group PLC
64E161	DEP Corp.
64FB81	IEEE Registration Authority
680571	Samsung Electronics Co.,Ltd
681401	Hon Hai Precision Ind. Co.,Ltd.
6854C1	ColorTokens, Inc.
687251	Ubiquiti Networks Inc.
6889C1	HUAWEI TECHNOLOGIES CO.,LTD
689361	Integrated Device Technology (Malaysia) Sdn. Bhd.
6C1811	Decatur Electronics
6C38A1	Ubee Interactive Corp.
6C8DC1	Apple, Inc.
6C90B1	SanLogic Inc
6CAB31	Apple, Inc.
6CB311	Shenzhen Lianrui Electronics Co.,Ltd
6CECA1	SHENZHEN CLOU ELECTRONICS CO. LTD.
702DD1	Newings Communication CO., LTD.
703811	Invensys Rail
704E01	KWANGWON TECH CO., LTD.
705681	Apple, Inc.
706F81	Private
707781	Hon Hai Precision Ind. Co.,Ltd.
70A191	Trendsetter Medical, LLC
70B921	Fiberhome Telecommunication Technologies Co.,LTD
70D931	Cambridge Industries(Group) Co.,Ltd.
70DDA1	Tellabs
70F1A1	Liteon Technology Corporation
744401	Netgear
7465D1	Atlinks
749781	zte corporation
74BFA1	Hyunteck
74C621	Zhejiang Hite Renewable Energy Co.,LTD
74DBD1	Ebay Inc
74ECF1	Acumen
780541	Queclink Wireless Solutions Co., Ltd
781881	AzureWave Technology Inc.
7830E1	UltraClenz, LLC
7831C1	Apple, Inc.
784561	CyberTAN Technology Inc.
787E61	Apple, Inc.
78A051	iiNet Labs Pty Ltd
78A351	SHENZHEN ZHIBOTONG ELECTRONICS CO.,LTD
78B6C1	AOBO Telecom Co.,Ltd
78E7D1	Hewlett Packard
78FE41	Socus networks
7C0191	Apple, Inc.
7C1CF1	HUAWEI TECHNOLOGIES CO.,LTD
7C2BE1	Shenzhen Ferex Electrical Co.,Ltd
7C7A91	Intel Corporate
7C7D41	Jinmuyu Electronics Co., Ltd.
7C8D91	Shanghai Hongzhuo Information Technology co.,LTD
7C95B1	Aerohive Networks Inc.
7CBFB1	ARRIS Group, Inc.
7CC3A1	Apple, Inc.
7CCD11	MS-Magnet
7CDD11	Chongqing MAS SCI&TECH.Co.,Ltd
800B51	Chengdu XGimi Technology Co.,Ltd
802DE1	Solarbridge Technologies
804731	Packet Design, Inc.
804971	Apple, Inc.
804E81	Samsung Electronics Co.,Ltd
8096B1	ARRIS Group, Inc.
80CEB1	Theissen Training Systems GmbH
80CF41	Lenovo Mobile Communication Technology Ltd.
80DB31	Power Quotient International Co., Ltd.
842141	Shenzhen Ginwave Technologies Ltd.
8421F1	HUAWEI TECHNOLOGIES CO.,LTD
843611	hyungseul publishing networks
845181	Samsung Electronics Co.,Ltd
845A81	Ffly4u
846EB1	Park Assist LLC
848371	Avaya Inc
849681	Cathay Communication Co.,Ltd
84A991	Cyber Trans Japan Co.,Ltd.
84B261	Cisco Systems, Inc
84B541	Samsung Electronics Co.,Ltd
84C1C1	Juniper Networks
84C8B1	Incognito Software Systems Inc.
84D931	Hangzhou H3C Technologies Co., Limited
881FA1	Apple, Inc.
8841C1	ORBISAT DA AMAZONIA IND E AEROL SA
8843E1	Cisco Systems, Inc
886AB1	vivo Mobile Communication Co., Ltd.
889471	Brocade Communications Systems, Inc.
889821	Teraon
88ACC1	Generiton Co., Ltd.
88B1E1	Mojo Networks, Inc.
88E161	Art Beijing Science and Technology Development Co., Ltd.
88F031	Cisco Systems, Inc
8C0551	Koubachi AG
8C5CA1	d-broad,INC
8C76C1	Goden Tech Limited
8C8401	Private
8C9351	Jigowatts Inc.
8CA5A1	Oregano-               # Oregano Systems - Design & Consulting GmbH
8CC121	Panasonic Corporation AVC Networks Company
8CC5E1	ShenZhen Konka Telecommunication Technology Co.,Ltd
8CC661	Current, powered by GE
8CE081	zte corporation
900BC1	Sprocomm Technologies CO.,Ltd
901711	Hagenuk Marinekommunikation GmbH
902181	Shanghai Huaqin Telecom Technology Co.,Ltd
9060F1	Apple, Inc.
907AF1	Wally
907F61	Chicony Electronics Co., Ltd.
90A7C1	Pakedge Device and Software Inc.
90B931	Apple, Inc.
90F4C1	Rand McNally
90FD61	Apple, Inc.
943BB1	Kaonmedia CO., LTD.
9463D1	Samsung Electronics Co.,Ltd
948BC1	Samsung Electronics Co.,Ltd
949901	Shenzhen YITOA Digital Appliance CO.,LTD
94AE61	Alcatel Lucent
94BA31	Visiontec da Amazônia Ltda.
94CE31	CTS Limited
94D771	Samsung Electronics Co.,Ltd
94E711	Xirka Dama Persada PT
94F551	Cadi Scientific Pte Ltd
9800C1	GuangZhou CREATOR Technology Co.,Ltd.(CHINA)
981FB1	Shenzhen Lemon Network Technology Co.,Ltd
983071	DAIKYUNG VASCOM
983571	Sub10 Systems Ltd
984BE1	Hewlett Packard
9852B1	Samsung Electronics Co.,Ltd
9886B1	Flyaudio corporation (China)
9897D1	MitraStar Technology Corp.
98D331	Shenzhen Bolutek Technology Co.,Ltd.
98F8C1	IDT Technology Limited
98FC11	Cisco-Linksys, LLC
9C0111	Shenzhen Newabel Electronic Co., Ltd.
9C5711	Feitian Xunda(Beijing) Aeronautical Information Technology Co., Ltd.
9C6121	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
9C8BF1	The Warehouse Limited
9C9811	Guangzhou Sunrise Electronics Development Co., Ltd
9CC7D1	SHARP Corporation
9CDC71	Hewlett Packard Enterprise
9CDFB1	Shenzhen Crave Communication Co., LTD
9CE951	Shenzhen Sang Fei Consumer Communications Ltd., Co.
9CFBF1	MESOMATIC GmbH & Co.KG
9CFC01	Apple, Inc.
9CFCD1	Aetheris Technology (Shanghai) Co., Ltd.
A00CA1	SKTB SKiT
A01081	Samsung Electronics Co.,Ltd
A04041	SAMWONFA Co.,Ltd.
A04CC1	Helixtech Corp.
A04E01	CENTRAL ENGINEERING co.,ltd.
A05B21	ENVINET GmbH
A05DC1	TMCT Co., LTD.
A06391	Netgear
A07591	Samsung Electronics Co.,Ltd
A07771	Vialis BV
A09D91	SoundBridge
A0ADA1	JMR Electronics, Inc
A0D3C1	Hewlett Packard
A0E201	AVTrace Ltd.(China)
A0F3C1	TP-LINK TECHNOLOGIES CO.,LTD.
A0FE91	AVAT Automation GmbH
A41731	Hon Hai Precision Ind. Co.,Ltd.
A43111	Ziv
A433D1	Fibrlink Communications Co.,Ltd.
A43831	RF elements s.r.o.
A444D1	Wingtech Group (HongKong）Limited
A44C11	Cisco Systems, Inc
A44E31	Intel Corporate
A45DA1	ADB Broadband Italia
A46011	Verifone
A46CC1	LTi REEnergy GmbH
A48431	Samsung Electronics Co.,Ltd
A49981	FuJian Elite Power Tech CO.,LTD.
A4B121	Arantia 2010 S.L.
A4BE61	EutroVision System, Inc.
A4BF01	Intel Corporate
A4C0E1	Nintendo Co., Ltd.
A4C361	Apple, Inc.
A4D1D1	ECOtality North America
A4E391	DENY FONTAINE
A4E6B1	Shanghai Joindata Technology Co.,Ltd.
A4E731	Nokia Corporation
A4E991	SISTEMAS AUDIOVISUALES ITELSIS S.L.
A4F3C1	Open Source Robotics Foundation, Inc.
A84041	Dragino Technology Co., Limited
A84481	Nokia Corporation
A86AC1	HanbitEDS Co., Ltd.
A87C01	Samsung Electronics Co.,Ltd
A881F1	BMEYE B.V.
A89D21	Cisco Systems, Inc
AA0001	DEC				obsolete
AC0481	Jiangsu Huaxing Electronics Co., Ltd.
AC0A61	Labor S.r.L.
AC1461	ATAW  Co., Ltd.
AC4E91	HUAWEI TECHNOLOGIES CO.,LTD
AC7BA1	Intel Corporate
B01041	Hon Hai Precision Ind. Co.,Ltd.
B01C91	Elim Co
B01F81	IEEE Registration Authority
B06971	DEI Sales, Inc.
B08991	Lge
B0BDA1	ZAKLAD ELEKTRONICZNY SIMS
B0EC71	Samsung Electronics Co.,Ltd
B0ECE1	Private
B418D1	Apple, Inc.
B428F1	E-Prime Co., Ltd.
B43741	Consert, Inc.
B437D1	IEEE Registration Authority
B45861	CRemote, LLC
B49691	Intel Corporate
B83241	Wuhan Tianyu Information Industry Co., Ltd.
B83861	Cisco Systems, Inc
B85001	Extreme Networks
B86091	Onnet Technologies and Innovations LLC
B86491	CK Telecom Ltd
B88981	Chengdu InnoThings Technology Co., Ltd.
B8DAF1	Strahlenschutz- Entwicklungs- und Ausruestungsgesellschaft mbH
B8F6B1	Apple, Inc.
B8FF61	Apple, Inc.
BC1401	Hitron Technologies. Inc
BC6641	IEEE Registration Authority
BC6C21	Apple, Inc.
BC71C1	XTrillion, Inc.
BC72B1	Samsung Electronics Co.,Ltd
BC7DD1	Radio Data Comms
BC9C31	HUAWEI TECHNOLOGIES CO.,LTD
BCA4E1	Nabto
BCB181	SHARP CORPORATION
BCBAE1	AREC Inc.
BCF811	Xiamen DNAKE Technology Co.,Ltd
C02FF1	Volta Networks
C04301	Epec Oy
C07CD1	PEGATRON CORPORATION
C09A71	XIAMEN MEITU MOBILE TECHNOLOGY CO.LTD
C0B8B1	BitBox Ltd
C0BDD1	SAMSUNG ELECTRO-MECHANICS(THAILAND)
C0D391	IEEE Registration Authority
C0F991	GME Standard Communications P/L
C401B1	SeekTech INC
C44BD1	Wallys Communications  Teachnologies Co.,Ltd.
C46DF1	DataGravity
C47F51	Inventek Systems
C49E41	G24 Power Limited
C4AAA1	SUMMIT DEVELOPMENT, spol.s r.o.
C4AD21	MEDIAEDGE Corporation
C4ADF1	GOPEACE Inc.
C4B301	Apple, Inc.
C4F081	HUAWEI TECHNOLOGIES CO.,LTD
C4F1D1	BEIJING SOGOU TECHNOLOGY DEVELOPMENT CO., LTD.
C81451	HUAWEI TECHNOLOGIES CO.,LTD
C825E1	Lemobile Information Technology (Beijing) Co., Ltd
C88ED1	IEEE Registration Authority
C8AA21	ARRIS Group, Inc.
C8C791	Zero1.tv GmbH
C8D1D1	AGAiT Technology Corporation
C8D2C1	Jetlun (Shenzhen) Corporation
C8DE51	Integra Networks, Inc.
C8F981	Seneca s.r.l.
CC2D21	Tenda Technology Co.,Ltd.Dongguan branch
CC3A61	SAMSUNG ELECTRO MECHANICS CO., LTD.
CC4AE1	Fourtec-               # fourtec -Fourier Technologies
CC6BF1	Sound Masking Inc.
CCB691	NECMagnusCommunications
CCB8F1	EAGLE KINGDOM TECHNOLOGIES LIMITED
CCBE71	OptiLogix BV
CCCC81	HUAWEI TECHNOLOGIES CO.,LTD
CCD811	Aiconn Technology Corporation
CCD8C1	Cisco Systems, Inc
CCF841	Lumewave
CCFCB1	Wireless Technology, Inc.
D03311	Apple, Inc.
D03761	Texas Instruments
D04CC1	SINTRONES Technology Corp.
D057A1	Werma Signaltechnik GmbH & Co. KG
D05AF1	Shenzhen Pulier Tech CO.,Ltd
D0A311	Neuberger Gebäudeautomation GmbH
D0A4B1	Sonifex Ltd.
D0BD01	DS International
D0C1B1	Samsung Electronics Co.,Ltd
D0CDE1	Scientech Electronics
D0D471	MVTECH co., Ltd
D41D71	Palo Alto Networks
D42751	Infopia Co., Ltd
D45251	IBT Ingenieurbureau Broennimann Thun
D46761	SAHAB TECHNOLOGY
D46A91	Snap AV
D494A1	Texas Instruments
D4F9A1	HUAWEI TECHNOLOGIES CO.,LTD
D806D1	Honeywell Fire System (Shanghai) Co,. Ltd.
D816C1	DEWAV (HK) ELECTRONICS LIMITED
D82DE1	Tricascade Inc.
D87EB1	x.o.ware, inc.
D89341	General Electric Global Research
D8AFF1	Panasonic Appliances Company
D8B6C1	NetworkAccountant, Inc.
D8C691	Hichan Technology Corp.
D8C771	HUAWEI TECHNOLOGIES CO.,LTD
D8E0E1	Samsung Electronics Co.,Ltd
D8FB11	Axacore
DC07C1	HangZhou QiYang Technology Co.,Ltd.
DC0EA1	COMPAL INFORMATION (KUNSHAN) CO., LTD.
DC1A01	Ecoliv Technology ( Shenzhen ) Ltd.
DC2B61	Apple, Inc.
DC35F1	Positivo Informática SA.
DC38E1	Juniper Networks
DC3E51	Solberg & Andersen AS
DC60A1	Teledyne DALSA Professional Imaging
DCA971	Intel Corporate
DCC101	SOLiD Technologies, Inc.
DCCE41	FE GLOBAL HONG KONG LIMITED
DCCEC1	Cisco Systems, Inc
DCD321	HUMAX Co., Ltd.
E01C41	Aerohive Networks Inc.
E02861	HUAWEI TECHNOLOGIES CO.,LTD
E087B1	Nata-Info Ltd.
E09861	Motorola Mobility LLC, a Lenovo Company
E09971	Samsung Electronics Co.,Ltd
E09D31	Intel Corporate
E0ACF1	Cisco Systems, Inc
E0B2F1	FN-LINK TECHNOLOGY LIMITED
E0B7B1	ARRIS Group, Inc.
E0C0D1	CK Telecom (Shenzhen) Limited
E0E631	SNB TECHNOLOGIES LIMITED
E0E751	Nintendo Co., Ltd.
E0F211	Digitalwatt
E42771	Smartlabs
E45D51	Sfr
E46251	HAO CHENG GROUP LIMITED
E46C21	messMa GmbH
E48501	Geberit International AG
E498D1	Microsoft Mobile Oy
E4A471	Intel Corporate
E4AFA1	Hes-So
E4B021	Samsung Electronics Co.,Ltd
E4C1F1	SHENZHEN SPOTMAU INFORMATION TECHNOLIGY CO., Ltd
E4C2D1	HUAWEI TECHNOLOGIES CO.,LTD
E4C801	BLU Products Inc
E4D3F1	Cisco Systems, Inc
E4F7A1	Datafox GmbH
E83381	ARRIS Group, Inc.
E878A1	BEOVIEW INTERCOM DOO
E8A4C1	Deep Sea Electronics PLC
E8BDD1	HUAWEI TECHNOLOGIES CO.,LTD
E8BE81	Sagemcom Broadband SAS
E8CBA1	Nokia Corporation
E8EB11	Texas Instruments
EC3091	Cisco Systems, Inc
EC66D1	B&W Group LTD
EC6881	Palo Alto Networks
EC9681	2276427 Ontario Inc
EC98C1	Beijing Risbo Network Technology Co.,Ltd
ECB541	SHINANO E and E Co.Ltd.
ECD9D1	Shenzhen TG-NET Botone Technology Co.,Ltd.
F008F1	Samsung Electronics Co.,Ltd
F02A61	Waldo Networks, Inc.
F037A1	Huike Electronics (SHENZHEN) CO., LTD.
F06281	ProCurve Networking by HP
F08261	Sagemcom Broadband SAS
F09A51	Shanghai Viroyal Electronic Technology Company Limited
F0AE51	Xi3 Corp
F0BDF1	Sipod Inc.
F0C1F1	Apple, Inc.
F0CBA1	Apple, Inc.
F0D2F1	Amazon Technologies Inc.
F0DE71	Shanghai EDO Technologies Co.,Ltd.
F0DEF1	Wistron Infocomm (Zhongshan) Corporation
F40321	BeNeXt B.V.
F40E11	IEEE Registration Authority
F41BA1	Apple, Inc.
F42981	vivo Mobile Communication Co., Ltd.
F436E1	Abilis Systems SARL
F43E61	SHENZHEN GONGJIN ELECTRONICS CO.,LT
F483E1	Shanghai Clouder Semiconductor Co.,Ltd
F48771	Infoblox
F49461	NexGen Storage
F49651	NAKAYO Inc
F4ACC1	Cisco Systems, Inc
F4B381	WindowMaster A/S
F4D261	SEMOCON Co., Ltd
F4DC41	YOUNGZONE CULTURE (SHANGHAI) CORP
F4F1E1	Motorola Mobility LLC, a Lenovo Company
F4F951	Apple, Inc.
F4FCB1	JJ Corp
F80F41	Wistron Infocomm (Zhongshan) Corporation
F82441	Yeelink
F83F51	Samsung Electronics Co.,Ltd
F85971	Intel Corporate
F86601	Suzhou Chi-tek information technology Co., Ltd
F866D1	Hon Hai Precision Ind. Co.,Ltd.
F86971	Seibu Electric Co.,
F8BC41	Rosslare Enterprises Limited
F8C001	Juniper Networks
F8C091	Highgates Technology
F8D111	TP-LINK TECHNOLOGIES CO.,LTD.
F8E811	HUAWEI TECHNOLOGIES CO.,LTD
FC0A81	Extreme Networks
FC1A11	vivo Mobile Communication Co., Ltd.
FC6C31	LXinstruments GmbH
FC9FE1	CONWIN.Tech. Ltd
FCA841	Avaya Inc
FCBBA1	Shenzhen Minicreate Technology Co.,Ltd
