00000A	OMRON TATEISI ELECTRONICS CO.
00DD0A	UNGERMANN-BASS INC.
00E00A	DIBA, INC.
00E01A	COMTEC SYSTEMS. CO., LTD.
00E02A	TANDBERG TELEVISION AS
00E03A	Cabletron Systems, Inc.
00E04A	ZX Technologies, Inc
00E05A	GALEA NETWORK SECURITY
00E06A	KAPSCH AG
00E07A	MIKRODIDAKT AB
00E08A	GEC AVERY, LTD.
00E09A	Positron Inc.
00E0AA	ELECTROSONIC LTD.
00E0BA	BERGHOF AUTOMATIONSTECHNIK GmbH
00E0CA	BEST DATA PRODUCTS
00E0DA	Alcatel-               # Alcatel-Lucent Enterprise
00E0EA	INNOVAT COMMUNICATIONS, INC.
00E0FA	TRL TECHNOLOGY, LTD.
0404EA	Valens Semiconductor Ltd.
041BBA	Samsung Electronics Co.,Ltd
041E7A	Dspworks
04209A	Panasonic AVC Networks Company
04489A	Apple, Inc.
044E5A	ARRIS Group, Inc.
044FAA	Ruckus Wireless
0455CA	BriView (Xiamen) Corp.
047E4A	moobox CO., Ltd.
04848A	7INOVA TECHNOLOGY LIMITED
049FCA	HUAWEI TECHNOLOGIES CO.,LTD
04A82A	Nokia Corporation
04DB8A	Suntech International Ltd.
08000A	Nestar Systems
08001A	Data General
08002A	MOSAIC TECHNOLOGIES INC.
08003A	ORCATECH INC.
08004A	BANYAN SYSTEMS INC.
08005A	Ibm
08006A	Attst?		# ATTst (?)
08007A	Indata
08008A	PerfTech, Inc.
0808EA	Amsc
080FFA	KSP INC.
08181A	zte corporation
085BDA	CliniCare LTD
0868EA	EITO ELECTRONICS CO., LTD.
086A0A	ASKEY COMPUTER CORP
087BAA	SVYAZKOMPLEKTSERVICE, LLC
08952A	Technicolor CH USA Inc.
08A95A	AzureWave Technology Inc.
08D29A	Proformatique
08E5DA	NANJING FUJITSU COMPUTER PRODUCTS CO.,LTD.
09006A	AT&T
0C45BA	HUAWEI TECHNOLOGIES CO.,LTD
0C4F5A	ASA-RT s.r.l.
0C771A	Apple, Inc.
0C826A	Wuhan Huagong Genuine Optics Technology Co., Ltd
0CA42A	OB Telecom Electronic Technology Co., Ltd
0CAF5A	GENUS POWER INFRASTRUCTURES LIMITED
0CC47A	Super Micro Computer, Inc.
0CC66A	Nokia Corporation
10005A	Ibm
1001CA	Ashley Butterworth
1005CA	Cisco Systems, Inc
103DEA	HFC Technology (Beijing) Ltd. Co.
10445A	Shaanxi Hitech Electronic Co., LTD
1056CA	Peplink International Ltd.
10768A	Eocell
107D1A	Dell Inc.
10C2BA	UTT Co., Ltd.
10D07A	AMPAK Technology, Inc.
10D38A	Samsung Electronics Co.,Ltd
10F49A	T3 Innovation
1100AA	Private
141FBA	IEEE Registration Authority
14307A	Avermetrics
143AEA	Dynapower Company LLC
144C1A	Max Communication GmbH
146E0A	Private
14A51A	HUAWEI TECHNOLOGIES CO.,LTD
14F42A	Samsung Electronics Co.,Ltd
14F65A	Xiaomi Communications Co Ltd
1803FA	IBT Interfaces
185D9A	BobjGear LLC
1866DA	Dell Inc.
18686A	zte corporation
18863A	DIGITAL ART SYSTEM
18B3BA	Netlogic AB
18C58A	HUAWEI TECHNOLOGIES CO.,LTD
18D66A	Inmarsat
18F46A	Hon Hai Precision Ind. Co.,Ltd.
18F87A	i3 International Inc.
1C184A	ShenZhen RicherLink Technologies Co.,LTD
1C398A	Fiberhome Telecommunication Technologies Co.,LTD
1C553A	QianGua Corp.
1C66AA	Samsung Electronics Co.,Ltd
1C6A7A	Cisco Systems, Inc
1C6BCA	Mitsunami Co., Ltd.
1C76CA	Terasic Technologies Inc.
1C8F8A	Phase Motion Control SpA
1C965A	Weifang goertek Electronics CO.,LTD
1CC11A	Wavetronix
1CF4CA	Private
20107A	Gemtek Technology Co., Ltd.
20415A	Smarteh d.o.o.
20443A	Schneider Electric Asia Pacific Ltd
204AAA	Hanscan Spain S.A.
2053CA	Risk Technology Ltd
205B2A	Private
205CFA	Yangzhou ChangLian Network Technology Co,ltd.
206A8A	Wistron Infocomm (Zhongshan) Corporation
206C8A	Aerohive Networks Inc.
20918A	Profalux
20D75A	Posh Mobile Limited
20E52A	Netgear
2400BA	HUAWEI TECHNOLOGIES CO.,LTD
240B0A	Palo Alto Networks
240B2A	Viettel Group
242FFA	Toshiba Global Commerce Solutions
24615A	China Mobile Group Device Co.,Ltd.
24694A	Jasmine Systems Inc.
246C8A	YUKAI Engineering
24792A	Ruckus Wireless
2481AA	KSH International Co., Ltd.
24828A	Prowave Technologies Ltd.
2493CA	Voxtronic Technology Computer-Systeme GmbH
24AF4A	Alcatel-               # Alcatel-Lucent IPD
24C44A	zte corporation
24DF6A	HUAWEI TECHNOLOGIES CO.,LTD
24E5AA	Philips Oral Healthcare, Inc.
24E6BA	JSC Zavod im. Kozitsky
24EE3A	Chengdu Yingji Electronic Hi-tech Co Ltd
24F5AA	Samsung Electronics Co.,Ltd
28401A	C8 MediSensors, Inc.
2847AA	Nokia Corporation
28565A	Hon Hai Precision Ind. Co.,Ltd.
286ABA	Apple, Inc.
2884FA	SHARP Corporation
28924A	Hewlett Packard
28993A	Arista Networks
289AFA	TCT mobile ltd
28AF0A	Sirius XM Radio Inc
28C0DA	Juniper Networks
28C87A	ARRIS Group, Inc.
28CFDA	Apple, Inc.
28D98A	Hangzhou Konke Technology Co.,Ltd.
28ED6A	Apple, Inc.
2C1EEA	Aerodev
2C233A	Hewlett Packard
2C337A	Hon Hai Precision Ind. Co.,Ltd.
2C534A	Shenzhen Winyao Electronic Limited
2C598A	LG Electronics (Mobile Communications)
2C625A	Finest Security Systems Co., Ltd
2C69BA	RF Controls, LLC
2C768A	Hewlett Packard
2C7B5A	Milper Ltd
2CB43A	Apple, Inc.
2CBABA	Samsung Electronics Co.,Ltd
2CD05A	Liteon Technology Corporation
2CD1DA	Sanjole, Inc.
300D2A	Zhejiang Wellcom Technology Co.,Ltd.
30144A	Wistron Neweb Corporation
30469A	Netgear
30525A	NST Co., LTD
305A3A	ASUSTek COMPUTER INC.
30C82A	WI-BIZ srl
30D46A	Autosales Incorporated
30E37A	Intel Corporate
30F33A	+plugg srl
3423BA	SAMSUNG ELECTRO-MECHANICS(THAILAND)
3429EA	MCD ELECTRONICS SP. Z O.O.
344DEA	zte corporation
3451AA	JID GLOBAL
34684A	Teraworks Co., Ltd.
346E8A	Ecosense
34862A	Heinz Lackmann GmbH & Co KG
34A7BA	Fischer International Systems Corporation
34BA9A	Asiatelco Technologies Co.
34BDFA	Cisco SPVTG
34C69A	Enecsys Ltd
34DE1A	Intel Corporate
34DF2A	Fujikon Industrial Co.,Limited
34E42A	Automatic Bar Controls Inc.
34F0CA	Shenzhen Linghangyuan Digital Technology Co.,Ltd.
34F39A	Intel Corporate
380A0A	Sky-City Communication and Electronics Limited Company
380F4A	Apple, Inc.
381C1A	Cisco Systems, Inc
381C4A	SIMCom Wireless Solutions Co.,Ltd.
3828EA	Fujian Netcom Technology Co., LTD
38295A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
382C4A	ASUSTek COMPUTER INC.
38521A	Nokia
3876CA	Shenzhen Smart Intelligent Technology Co.Ltd
38BC1A	MEIZU Technology Co., Ltd.
38C70A	Wifisong
38C7BA	CS Services Co.,Ltd.
38CADA	Apple, Inc.
38F8CA	OWIN Inc.
38FACA	Skyworth Digital Technology(Shenzhen) Co.,Ltd
3C15EA	TESCOM CO., LTD.
3C2F3A	SFORZATO Corp.
3C6FEA	Panasonic India Pvt. Ltd.
3C754A	ARRIS Group, Inc.
3C7A8A	ARRIS Group, Inc.
3C80AA	Ransnet Singapore Pte Ltd
3CA31A	Oilfind International LLC
3CA82A	Hewlett Packard
3CB87A	Private
3CCD5A	Technische Alternative GmbH
3CD7DA	SK Mtek microelectronics(shenzhen)limited
3CDA2A	zte corporation
3CF72A	Nokia Corporation
4016FA	EKM Metering
40331A	Apple, Inc.
4045DA	Spreadtrum Communications (Shanghai) Co., Ltd.
40476A	AG Acquisition Corp. d.b.a. ASTRO Gaming
40605A	Hawkeye Tech Co. Ltd
40667A	Mediola-               # mediola - connected living AG
406F2A	BlackBerry RTS
40704A	Power Idea Technology Limited
40786A	Motorola Mobility LLC, a Lenovo Company
408A9A	TITENG CO., Ltd.
40B0FA	LG Electronics (Mobile Communications)
40B89A	Hon Hai Precision Ind. Co.,Ltd.
40C62A	Shanghai Jing Ren Electronic Technology Co., Ltd.
40CD3A	Z3 Technology
40D28A	Nintendo Co., Ltd.
4423AA	Farmage Co., Ltd.
44322A	Avaya Inc
444E1A	Samsung Electronics Co.,Ltd
445F7A	Shihlin Electric & Engineering Corp.
44656A	Mega Video Electronic(HK) Industry Co., Ltd
4495FA	Qingdao Santong Digital Technology Co.Ltd
44975A	SHENZHEN FAST TECHNOLOGIES CO.,LTD
44D1FA	Shenzhen Yunlink Technology Co., Ltd
44D2CA	Anvia TV Oy
44D3CA	Cisco Systems, Inc
44E49A	OMNITRONICS PTY LTD
48022A	B-Link Electronic Limited
48066A	Tempered Networks, Inc.
4827EA	Samsung Electronics Co.,Ltd
482CEA	Motorola Inc Business Light Radios
48435A	HUAWEI TECHNOLOGIES CO.,LTD
484BAA	Apple, Inc.
487ADA	Hangzhou H3C Technologies Co., Limited
4888CA	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
48FEEA	HOMA B.V.
4C068A	Basler Electric Company
4C0B3A	TCT mobile ltd
4C1A3A	PRIMA Research And Production Enterprise Ltd.
4C48DA	Beijing Autelan Technology Co.,Ltd
4C57CA	Apple, Inc.
4C79BA	Intel Corporate
4CAC0A	zte corporation
4CB44A	NANOWAVE Technologies Inc.
4CB4EA	HRD (S) PTE., LTD.
4CCC6A	Micro-Star INTL CO., LTD.
4CD08A	HUMAX Co., Ltd.
4CFACA	Cambridge Industries(Group) Co.,Ltd.
50502A	Egardia
50680A	HUAWEI TECHNOLOGIES CO.,LTD
506F9A	Wi-Fi Alliance
50E14A	Private
50EB1A	Brocade Communications Systems, Inc.
50F14A	Texas Instruments
50F5DA	Amazon Technologies Inc.
50F61A	Kunshan JADE Technologies co., Ltd.
5425EA	HUAWEI TECHNOLOGIES CO.,LTD
542CEA	PROTECTRON
542F8A	TELLESCOM INDUSTRIA E COMERCIO EM TELECOMUNICACAO
5461EA	Zaplox AB
54781A	Cisco Systems, Inc
54A3FA	BQT Solutions (Australia)Pty Ltd
54AB3A	QUANTA COMPUTER INC.
54B80A	D-Link International
54E43A	Apple, Inc.
5808FA	Fiber Optic & telecommunication INC.
581FAA	Apple, Inc.
5849BA	Chitai Electronic Corp.
58528A	Mitsubishi Electric Corporation
5855CA	Apple, Inc.
58639A	TPL SYSTEMES
5866BA	Hangzhou H3C Technologies Co., Limited
58671A	Barnes&Noble
58BFEA	Cisco Systems, Inc
58D67A	Tcplink
5C026A	Applied Vision Corporation
5C260A	Dell Inc.
5C35DA	There Corporation Oy
5C571A	ARRIS Group, Inc.
5C864A	Secret Labs LLC
5C899A	TP-LINK TECHNOLOGIES CO.,LTD.
5C966A	Rtnet
5CA48A	Cisco Systems, Inc
5CA86A	HUAWEI TECHNOLOGIES CO.,LTD
5CCA1A	Microsoft Mobile Oy
5CE0CA	FeiTian United (Beijing) System Technology Co., Ltd.
5CF5DA	Apple, Inc.
5CF96A	HUAWEI TECHNOLOGIES CO.,LTD
603ECA	Cambridge Medical Robotics Ltd
604BAA	Private
60A10A	Samsung Electronics Co.,Ltd
60D1AA	Vishal Telecommunications Pvt Ltd
60D30A	Quatius Limited
60DB2A	Hns
60E78A	Unisem
60F3DA	Logic Way GmbH
64006A	Dell Inc.
640B4A	Digital Telecom Technology Limited
646EEA	Iskratel d.o.o.
6476BA	Apple, Inc.
647FDA	TEKTELIC Communications Inc.
64899A	LG Electronics (Mobile Communications)
64B64A	ViVOtech, Inc.
64C5AA	South African Broadcasting Corporation
64D4DA	Intel Corporate
6805CA	Intel Corporate
68262A	SICHUAN TIANYI COMHEART TELECOMCO., LTD
6828BA	Dejai
68831A	Pandora Mobility Corporation
68856A	OuterLink Corporation
68AB8A	RF IDeas
68B43A	WaterFurnace International, Inc.
68DBCA	Apple, Inc.
6C0F6A	JDC Tech Co., Ltd.
6C416A	Cisco Systems, Inc
6C5E7A	Ubiquitous Internet Telecom Co., Ltd
6C641A	Penguin Computing
6CA7FA	YOUNGBO ENGINEERING INC.
6CD68A	LG Electronics (Mobile Communications)
6CDC6A	Promethean Limited
6CEC5A	Hon Hai Precision Ind. CO.,Ltd.
705EAA	Action Target, Inc.
70A66A	Prox Dynamics AS
70AF6A	SHENZHEN FENGLIAN TECHNOLOGY CO., LTD.
741F4A	Hangzhou H3C Technologies Co., Limited
74258A	Hangzhou H3C Technologies Co., Limited
7427EA	Elitegroup Computer Systems Co.,Ltd.
742D0A	Norfolk Elektronik AG
74458A	Samsung Electronics Co.,Ltd
7451BA	Xiaomi Communications Co Ltd
745AAA	HUAWEI TECHNOLOGIES CO.,LTD
746A3A	Aperi Corporation
747B7A	ETH Inc.
747E1A	Red Embedded Design Limited
74852A	PEGATRON CORPORATION
74867A	Dell Inc.
74882A	HUAWEI TECHNOLOGIES CO.,LTD
74911A	Ruckus Wireless
74A34A	ZIMI CORPORATION
74C99A	Ericsson AB
74D6EA	Texas Instruments
74D7CA	Panasonic Corporation Automotive
74DAEA	Texas Instruments
74E14A	IEEE Registration Authority
74EA3A	TP-LINK TECHNOLOGIES CO.,LTD.
781C5A	SHARP Corporation
781DBA	HUAWEI TECHNOLOGIES CO.,LTD
7828CA	Sonos, Inc.
78521A	Samsung Electronics Co.,Ltd
78888A	CDR Sp. z o.o. Sp. k.
78B81A	INTER SALES A/S
78FFCA	TECNO MOBILE LIMITED
7C534A	Metamako
7CBB8A	Nintendo Co., Ltd.
7CC95A	Emc
7CD30A	INVENTEC Corporation
7CE4AA	Private
7CEBEA	Asct
7CEF8A	Inhon International Ltd.
7CF0BA	Linkwell Telesystems Pvt Ltd
801DAA	Avaya Inc
802AFA	Germaneers GmbH
803A0A	Integrated Device Technology (Malaysia) Sdn. Bhd.
803B2A	ABB Xiamen Low Voltage Equipment Co.,Ltd.
803B9A	ghe-ces electronic ag
80717A	HUAWEI TECHNOLOGIES CO.,LTD
80912A	Lih Rong electronic Enterprise Co., Ltd.
8096CA	Hon Hai Precision Ind. Co.,Ltd.
80B32A	Alstom Grid
80C6CA	Endian s.r.l.
80E4DA	IEEE Registration Authority
80EACA	Dialog Semiconductor Hellas SA
84183A	Ruckus Wireless
84285A	Saffron Solutions Inc
8432EA	ANHUI WANZTEN P&T CO., LTD
84742A	zte corporation
84850A	Hella Sonnen- und Wetterschutztechnik GmbH
84C7EA	Sony Mobile Communications AB
84D32A	IEEE 1905.1
84F6FA	Miovision Technologies Incorporated
882E5A	Storone
88308A	Murata Manufacturing Co., Ltd.
88462A	Telechips Inc.
884AEA	Texas Instruments
88615A	Siano Mobile Silicon Ltd.
889FFA	Hon Hai Precision Ind. Co.,Ltd.
88CEFA	HUAWEI TECHNOLOGIES CO.,LTD
8C210A	TP-LINK TECHNOLOGIES CO.,LTD.
8C278A	Vocollect Inc
8C2DAA	Apple, Inc.
8C3C4A	NAKAYO Inc
8C4DEA	Cerio Corporation
8C705A	Intel Corporate
8C897A	Augtek
8CC7AA	Radinet Communications Inc.
8CE2DA	Circle Media Inc
8CFABA	Apple, Inc.
90028A	Shenzhen Shidean Legrand Electronic Products Co.,Ltd
900A3A	PSG Plastic Service GmbH
901ACA	ARRIS Group, Inc.
90203A	BYD Precision Manufacture Co.,Ltd
903D5A	Shenzhen Wision Technology Holding Limited
90489A	Hon Hai Precision Ind. Co.,Ltd.
9049FA	Intel Corporate
904D4A	Sagemcom Broadband SAS
90505A	unGlue, Inc
907A0A	Gebr. Bode GmbH & Co KG
907EBA	UTEK TECHNOLOGY (SHENZHEN) CO.,LTD
90837A	General Electric Water & Process Technologies
90A2DA	GHEO SA
90A46A	SISNET CO., LTD
90DA6A	FOCUS H&S Co., Ltd.
90E2BA	Intel Corporate
90E6BA	ASUSTek COMPUTER INC.
90F1AA	Samsung Electronics Co.,Ltd
9411DA	ITF Fröschl GmbH
94350A	Samsung Electronics Co.,Ltd
94857A	Evantage Industries Corp
94ACCA	trivum technologies GmbH
94B10A	Samsung Electronics Co.,Ltd
94DBDA	HUAWEI TECHNOLOGIES CO.,LTD
94E96A	Apple, Inc.
981DFA	Samsung Electronics Co.,Ltd
98262A	Applied Research Associates, Inc
982DBA	Fibergate Inc.
9843DA	INTERTECH
984B4A	ARRIS Group, Inc.
98588A	SYSGRATION Ltd.
9866EA	Industrial Control Communications, Inc.
9874DA	Infinix mobility limited
988E4A	NOXUS(BEIJING) TECHNOLOGY CO.,LTD
98DDEA	Infinix mobility limited
98E79A	Foxconn(NanJing) Communication Co.,Ltd.
98FF6A	OTEC(Shanghai)Technology Co.,Ltd.
9C0E4A	Shenzhen Vastking Electronic Co.,Ltd.
9C216A	TP-LINK TECHNOLOGIES CO.,LTD.
9C3EAA	EnvyLogic Co.,Ltd.
9C4FDA	Apple, Inc.
9C54CA	Zhengzhou VCOM Science and Technology Co.,Ltd
9C741A	HUAWEI TECHNOLOGIES CO.,LTD
9C77AA	Nadasnv
9C86DA	Phoenix Geophysics Ltd.
9C8D1A	INTEG process group inc
9CA10A	SCLE SFE
9CA3BA	SAKURA Internet Inc.
9CAFCA	Cisco Systems, Inc
9CF61A	UTC Fire and Security
A00BBA	SAMSUNG ELECTRO MECHANICS CO., LTD.
A036FA	Ettus Research LLC
A0593A	V.D.S. Video Display Systems srl
A06FAA	LG Innotek
A078BA	Pantech Co., Ltd.
A09A5A	Time Domain
A09E1A	Polar Electro Oy
A0B5DA	HongKong THTF Co., Ltd
A0D12A	AXPRO Technology Inc.
A0D37A	Intel Corporate
A0E25A	Amicus SK, s.r.o.
A408EA	Murata Manufacturing Co., Ltd.
A4218A	Nortel Networks
A43BFA	IEEE Registration Authority
A446FA	AmTRAN Video Corporation
A46C2A	Cisco Systems, Inc
A48E0A	DeLaval International AB
A4A24A	Cisco SPVTG
A4AE9A	Maestro Wireless Solutions ltd.
A4B36A	JSC SDO Chromatec
A4D8CA	HONG KONG WATER WORLD TECHNOLOGY CO. LIMITED
A80CCA	Shenzhen Sundray Technologies Company Limited
A81B5A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
A81B6A	Texas Instruments
A8329A	Digicom Futuristic Technologies Ltd.
A8474A	Hon Hai Precision Ind. Co.,Ltd.
A8556A	Pocketnet Technology Inc.
A861AA	Cloudview Limited
A8968A	Apple, Inc.
A89FBA	Samsung Electronics Co.,Ltd
A8BD1A	Honey Bee (Hong Kong) Limited
A8BD3A	UNIONMAN TECHNOLOGY CO.,LTD
A8C83A	HUAWEI TECHNOLOGIES CO.,LTD
A8D88A	Wyconn
AC02CA	HI Solutions, Inc.
AC20AA	DMATEK Co., Ltd.
AC293A	Apple, Inc.
AC3A7A	Roku, Inc.
AC40EA	C&T Solution Inc.
AC61EA	Apple, Inc.
AC6E1A	Shenzhen Gongjin Electronics Co.,Ltd
AC7E8A	Cisco Systems, Inc
AC9B0A	Sony Corporation
ACC33A	Samsung Electronics Co.,Ltd
ACCABA	Midokura Co., Ltd.
ACDBDA	Shenzhen Geniatech Inc, Ltd
ACE9AA	Hay Systems Ltd
ACEA6A	GENIX INFOCOMM CO., LTD.
B025AA	Private
B0481A	Apple, Inc.
B0487A	TP-LINK TECHNOLOGIES CO.,LTD.
B05ADA	Hewlett Packard
B08E1A	URadio Systems Co., Ltd
B0973A	E-Fuel Corporation
B09FBA	Apple, Inc.
B0A10A	Pivotal Systems Corporation
B0A72A	Ensemble Designs, Inc.
B0ACFA	FUJITSU LIMITED
B0ADAA	Avaya Inc
B0B98A	Netgear
B0C5CA	IEEE Registration Authority
B0C69A	Juniper Networks
B0DF3A	Samsung Electronics Co.,Ltd
B40B7A	Brusa Elektronik AG
B4218A	Dog Hunter LLC
B4417A	SHENZHEN GONGJIN ELECTRONICS CO.,LT
B499BA	Hewlett Packard
B4A95A	Avaya Inc
B4B15A	Siemens AG Energy Management Division
B4DFFA	Litemax Electronics Inc.
B4EFFA	Lemobile Information Technology (Beijing) Co., Ltd.
B8098A	Apple, Inc.
B81DAA	LG Electronics (Mobile Communications)
B8241A	SWEDA INFORMATICA LTDA
B838CA	Kyokko Tsushin System CO.,LTD
B889CA	ILJIN ELECTRIC Co., Ltd.
B88E3A	Infinite Technologies JLT
B8975A	BIOSTAR Microtech Int'l Corp.
B8CA3A	Dell Inc.
B8EAAA	ICG NETWORKS CO.,ltd
B8FC9A	Le Shi Zhi Xin Electronic Technology (Tianjin) Limited
BC024A	HMD Global Oy
BC20BA	Inspur (Shandong) Electronic Information Co., Ltd
BC3AEA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
BCC23A	Thomson Video Networks
BCC61A	SPECTRA EMBEDDED SYSTEMS
BCEAFA	Hewlett Packard
C01ADA	Apple, Inc.
C02C7A	Shenzhen Horn Audio Co.,Ltd.
C03F2A	Biscotti, Inc.
C0830A	2Wire Inc
C0847A	Apple, Inc.
C0DC6A	Qingdao Eastsoft Communication Technology Co.,LTD
C0F8DA	Hon Hai Precision Ind. Co.,Ltd.
C4084A	Nokia
C4108A	Ruckus Wireless
C416FA	Prysm Inc
C4237A	WhizNets Inc.
C436DA	Rusteletech Ltd.
C4393A	SMC Networks Inc
C462EA	Samsung Electronics Co.,Ltd
C4913A	Shenzhen Sanland Electronic Co., ltd.
C4BBEA	Pakedge Device and Software Inc
C4BD6A	SKF GmbH
C4EDBA	Texas Instruments
C8292A	Barun Electronics
C8A1BA	Neul Ltd
C8A70A	Verizon Business
CC03FA	Technicolor CH USA Inc.
CC0CDA	Miljovakt AS
CC1AFA	zte corporation
CC500A	Fiberhome Telecommunication Technologies Co.,LTD
CC794A	BLU Products Inc.
CC81DA	SHANGHAI PHICOMM COMMUNICATION CO.,LTD
CC8CDA	Shenzhen Wei Da Intelligent Technology Go.,Ltd
CC944A	Pfeiffer Vacuum GmbH
CC9F7A	Chiun Mai Communication Systems, Inc
CCB0DA	Liteon Technology Corporation
CCB11A	Samsung Electronics Co.,Ltd
CCB55A	Fraunhofer ITWM
CCC3EA	Motorola Mobility LLC, a Lenovo Company
CCC50A	SHENZHEN DAJIAHAO TECHNOLOGY CO.,LTD
CCF67A	Ayecka Communication Systems LTD
D0052A	Arcadyan Corporation
D0154A	zte corporation
D0176A	Samsung Electronics Co.,Ltd
D05C7A	Sartura d.o.o.
D065CA	HUAWEI TECHNOLOGIES CO.,LTD
D06F4A	TOPWELL INTERNATIONAL HOLDINGS LIMITED
D09D0A	Linkcom
D0DF9A	Liteon Technology Corporation
D0E44A	Murata Manufacturing Co., Ltd.
D4024A	Delphian Systems LLC
D40B1A	HTC Corporation
D429EA	Zimory GmbH
D4507A	CEIVA Logic, Inc
D4522A	TangoWiFi.com
D468BA	Shenzhen Sundray Technologies Company Limited
D46A6A	Hon Hai Precision Ind. Co.,Ltd.
D46CDA	CSM GmbH
D476EA	zte corporation
D481CA	iDevices, LLC
D48FAA	Sogecam Industrial, S.A.
D4945A	COSMO CO., LTD
D4A02A	Cisco Systems, Inc
D8160A	Nippon Electro-Sensory Devices
D8197A	Nuheara Ltd
D8325A	Shenzhen YOUHUA Technology Co., Ltd
D84B2A	Cognitas Technologies, Inc.
D8543A	Texas Instruments
D85B2A	Samsung Electronics Co.,Ltd
D8760A	Escort, Inc.
D897BA	PEGATRON CORPORATION
D8B12A	Panasonic Mobile Communications Co., Ltd.
D8C06A	Hunantv.com Interactive Entertainment Media Co.,Ltd.
D8C46A	Murata Manufacturing Co., Ltd.
D8CB8A	Micro-Star INTL CO., LTD.
DC0B1A	ADB Broadband Italia
DC175A	Hitachi High-Technologies Corporation
DC293A	Shenzhen Nuoshi Technology Co., LTD.
DC2B2A	Apple, Inc.
DC2BCA	Zera GmbH
DC2E6A	HCT. Co., Ltd.
DC663A	Apacer Technology Inc.
DCA4CA	Apple, Inc.
DCD52A	Sunny Heart Limited
DCDECA	Akyllor
DCEFCA	Murata Manufacturing Co., Ltd.
E00EDA	Cisco Systems, Inc
E01AEA	Allied Telesis, Inc.
E01F0A	Xslent Energy Technologies. LLC
E0271A	TtcNext-               # TTC Next-generation Home Network System WG
E03E4A	Cavanagh Group International
E0469A	Netgear
E0750A	ALPS ELECTRIC CO.,LTD.
E09DFA	Wanan Hongsheng Electronic Co.Ltd
E0B70A	ARRIS Group, Inc.
E0B9BA	Apple, Inc.
E0C86A	SHENZHEN TW-SCIE Co., Ltd
E0C97A	Apple, Inc.
E0D10A	Katoudenkikougyousyo co ltd
E0D31A	EQUES Technology Co., Limited
E0D7BA	Texas Instruments
E0ED1A	vastriver Technology Co., Ltd
E0F5CA	CHENG UEI PRECISION INDUSTRY CO.,LTD.
E4509A	HW Communications Ltd
E455EA	Dedicated Computing
E467BA	Danish Interpretation Systems A/S
E4695A	Dictum Health, Inc.
E47D5A	Beijing Hanbang Technology Corp.
E8039A	Samsung Electronics Co.,Ltd
E811CA	SHANDONG KAER ELECTRIC.CO.,LTD
E82AEA	Intel Corporate
E8377A	ZyXEL Communications Corporation
E86CDA	Supercomputers and Neurocomputers Research Center
E8995A	PiiGAB, Processinformation i Goteborg AB
E8ABFA	Shenzhen Reecam Tech.Ltd.
E8D0FA	MKS Instruments Deutschland GmbH
E8DAAA	VideoHome Technology Corp.
E8EA6A	StarTech.com
E8EADA	Denkovi Assembly Electronics LTD
EC0D9A	Mellanox Technologies, Inc.
EC26CA	TP-LINK TECHNOLOGIES CO.,LTD.
EC3C5A	SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD
EC74BA	Hirschmann Automation and Control GmbH
ECA9FA	GUANGDONG GENIUS TECHNOLOGY CO.,LTD.
ECC38A	Accuenergy (CANADA) Inc
ECD19A	Zhuhai Liming Industries Co., Ltd
ECD68A	Shenzhen JMicron Intelligent Technology Developmen
ECDF3A	vivo Mobile Communication Co., Ltd.
ECFAAA	The IMS Company
F0321A	Mita-Teknik A/S
F04B6A	Scientific Production Association Siberian Arsenal, Ltd.
F05F5A	Getriebebau NORD GmbH and Co. KG
F06BCA	Samsung Electronics Co.,Ltd
F0933A	NxtConect
F0D7AA	Motorola Mobility LLC, a Lenovo Company
F40A4A	INDUSNET Communication Technology Co.,LTD
F4472A	Nanjing Rousing Sci. and Tech. Industrial Co., Ltd
F44B2A	Cisco SPVTG
F473CA	Conversion Sound Inc.
F490CA	Tensorcom
F490EA	Deciso B.V.
F4A52A	Hawa Technologies Inc
F4B72A	TIME INTERCONNECT LTD
F4DCDA	Zhuhai Jiahe Communication Technology Co., limited
F4F15A	Apple, Inc.
F80DEA	ZyCast Technology Inc.
F85F2A	Nokia Corporation
F862AA	xn systems
F872EA	Cisco Systems, Inc
F87B7A	ARRIS Group, Inc.
F8811A	Overkiz
F88FCA	Google, Inc.
F8912A	GLP German Light Products GmbH
F8983A	Leeman International (HongKong) Limited
F8AA8A	Axview Technology (Shenzhen) Co.,Ltd
F8DC7A	Variscite LTD
F8E61A	Samsung Electronics Co.,Ltd
F8EA0A	Dipl.-Math. Michael Rauch
F8F25A	G-Lab GmbH
FC084A	FUJITSU LIMITED
FC2FAA	Nokia
FC58FA	Shen Zhen Shi Xin Zhong Xin Technology Co.,Ltd.
FC64BA	Xiaomi Communications Co Ltd
FC9AFA	Motus Global Inc.
FCA22A	PT. Callysta Multi Engineering
FCA89A	Sunitec Enterprise Co.,Ltd
FCAF6A	Qulsar Inc
FCB58A	Wapice Ltd.
FCDC4A	G-Wearables Corp.
FCECDA	Ubiquiti Networks Inc.
FCFFAA	IEEE Registration Authority
