00000E	Fujitsu
00D07E	KEYCORP LTD.
00D08E	Grass Valley, A Belden Brand
00D09E	2Wire Inc
00D0AE	ORESIS COMMUNICATIONS, INC.
00D0BE	EMUTEC INC.
00D0CE	ASYST ELECTRONIC
00D0DE	PHILIPS MULTIMEDIA NETWORK
00D0EE	DICTAPHONE CORPORATION
00D0FE	ASTRAL POINT
00DB1E	Albedo Telecom SL
00DD0E	UNGERMANN-BASS INC.
00E00E	AVALON IMAGING SYSTEMS, INC.
00E01E	Cisco
00E02E	SPC ELECTRONICS CORPORATION
00E03E	ALFATECH, INC.
00E04E	SANYO DENKI CO., LTD.
00E05E	JAPAN AVIATION ELECTRONICS INDUSTRY, LTD.
00E06E	FAR SYSTEMS S.p.A.
00E07E	WALT DISNEY IMAGINEERING
00E08E	UTSTARCOM
00E09E	Quantum Corporation
00E0AE	XAQTI CORPORATION
00E0BE	GENROCO INTERNATIONAL, INC.
00E0CE	Arn
00E0DE	DATAX NV
00E0EE	MAREL HF
00E0FE	Cisco
029D8E	CARDIAC RECORDERS, INC.
040CCE	Apple, Inc.
045C8E	gosund GROUP CO.,LTD
04766E	ALPS ELECTRIC CO.,LTD.
0481AE	Clack Corporation
0492EE	iway AG
04C23E	HTC Corporation
04F13E	Apple, Inc.
08000E	Ncr/At&T
08001E	Apollo
08002E	Metaphor
08003E	Motorola
08004E	BICC	[3com bought BICC, so may appear on 3com equipment as well]
08005E	COUNTERPOINT COMPUTER INC.
08006E	Excelan
08007E	AMALGAMATED WIRELESS(AUS) LTD
08008E	Tandem / Solbourne Computer ?
08028E	Netgear
080A4E	Planet Bingo® — 3rd Rock Gaming®
08115E	Bitel Co., Ltd.
0827CE	NAGANO KEIKI CO., LTD.
083E8E	Hon Hai Precision Ind. Co.,Ltd.
083F3E	WSH GmbH
08512E	Orion Diagnostica Oy
085B0E	Fortinet, Inc.
08606E	ASUSTek COMPUTER INC.
087CBE	Quintic Corp.
08FD0E	Samsung Electronics Co.,Ltd
0C383E	Fanvil Technology Co., Ltd.
0C413E	Microsoft Corporation
0C5A9E	Wi-SUN Alliance
0C73BE	Dongguan Haimai Electronie Technology Co.,Ltd
0C924E	Rice Lake Weighing Systems
0CB5DE	Alcatel Lucent
0CC47E	EUCAST Co., Ltd.
0CF3EE	EM Microelectronic
100E7E	Juniper Networks
1013EE	Justec International Technology INC.
10189E	Elmo Motion Control
1027BE	Tvip
1045BE	Norphonic AS
1078CE	Hanvit SI, Inc.
1088CE	Fiberhome Telecommunication Technologies Co.,LTD
10B9FE	Lika srl
10C67E	SHENZHEN JUCHIN TECHNOLOGY CO., LTD
10CDAE	Avaya Inc
10E6AE	Source Technologies, LLC
10E8EE	PhaseSpace
10F9EE	Nokia Corporation
10FACE	Reacheng Communication Technology Co.,Ltd
14568E	Samsung Electronics Co.,Ltd
14893E	VIXTEL TECHNOLOGIES LIMTED
14BB6E	Samsung Electronics Co.,Ltd
14D4FE	ARRIS Group, Inc.
14D76E	CONCH ELECTRONIC Co.,Ltd
14F28E	ShenYang ZhongKe-Allwin Technology Co.LTD
18104E	CEDINT-UPM
18227E	Samsung Electronics Co.,Ltd
1880CE	Barberry Solutions Ltd
18B79E	Invoxia
18CF5E	Liteon Technology Corporation
18FF2E	Shenzhen Rui Ying Da Technology Co., Ltd
1C19DE	eyevis GmbH
1C330E	PernixData
1C3ADE	Samsung Electronics Co.,Ltd
1C48CE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
1C56FE	Motorola Mobility LLC, a Lenovo Company
1C5A3E	Samsung Electronics Co.,Ltd
1C60DE	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
1C8E8E	DB Communication & Systems Co., ltd.
1C9D3E	Integrated Device Technology (Malaysia) Sdn. Bhd.
1CBD0E	Amplified Engineering Pty Ltd
1CC1DE	Hewlett Packard
1CEFCE	bebro electronic GmbH
1CF03E	Wearhaus Inc.
200A5E	Xiangshan Giant Eagle Technology Developing Co., Ltd.
20180E	Shenzhen Sunchip Technology Co., Ltd
203CAE	Apple, Inc.
204C9E	Cisco Systems, Inc
205B5E	Shenzhen Wonhe Technology Co., Ltd
20719E	SF Technology Co.,Ltd
20A90E	TCT mobile ltd
20F85E	Delta Electronics
24240E	Apple, Inc.
24470E	PentronicAB
245EBE	QNAP Systems, Inc.
24693E	innodisk Corporation
24920E	Samsung Electronics Co.,Ltd
24C86E	Chaney Instrument Co.
24C9DE	Genoray
24F57E	HWH CO., LTD.
28061E	NINGBO GLOBAL USEFUL ELECTRIC CO.,LTD
28162E	2Wire Inc
2817CE	Omnisense Ltd
28395E	Samsung Electronics Co.,Ltd
284FCE	Liaoning Wontel Science and Technology Development Co.,Ltd.
2857BE	Hangzhou Hikvision Digital Technology Co.,Ltd.
287AEE	ARRIS Group, Inc.
2893FE	Cisco Systems, Inc
28A5EE	Shenzhen SDGI CATV Co., Ltd
28C68E	Netgear
28C7CE	Cisco Systems, Inc
28D93E	Telecor Inc.
28F10E	Dell Inc.
28FF3E	zte corporation
2C18AE	Trend Electronics Co., Ltd.
2C3F3E	Alge-Timing GmbH
2C9D1E	HUAWEI TECHNOLOGIES CO.,LTD
2CA30E	POWER DRAGON DEVELOPMENT LIMITED
2CF0EE	Apple, Inc.
2E2E2E	LAA (Locally Administered Address) for Meditech Systems
3029BE	Shanghai MRDcom Co.,Ltd
304C7E	Panasonic Electric Works Automation Controls Techno Co.,Ltd.
306CBE	Skymotion Technology (HK) Limited
307C5E	Juniper Networks
30A9DE	LG Innotek
30B49E	TP-LINK TECHNOLOGIES CO.,LTD.
30C7AE	Samsung Electronics Co.,Ltd
30D17E	HUAWEI TECHNOLOGIES CO.,LTD
30E48E	Vodafone UK
34049E	IEEE Registration Authority
34159E	Apple, Inc.
342F6E	Anywire corporation
3482DE	Kiio Inc
348AAE	Sagemcom Broadband SAS
34A84E	Cisco Systems, Inc
34AAEE	Mikrovisatos Servisas UAB
34CDBE	HUAWEI TECHNOLOGIES CO.,LTD
3871DE	Apple, Inc.
38E08E	Mitsubishi Electric Corporation
38F23E	Microsoft Mobile Oy
38FDFE	IEEE Registration Authority
3C081E	Beijing Yupont Electric Power Technology Co.,Ltd
3C1CBE	JADAK LLC
3C438E	ARRIS Group, Inc.
3C591E	TCL King Electrical Appliances (Huizhou) Co., Ltd
3C831E	CKD Corporation
3C8BFE	Samsung Electronics Co.,Ltd
3C970E	Wistron InfoComm(Kunshan)Co.,Ltd.
3C977E	IPS Technology Limited
3CAB8E	Apple, Inc.
3CBD3E	Beijing Xiaomi Electronics Co., Ltd.
3CC99E	Huiyang Technology Co., Ltd
3CD16E	Telepower Communication Co., Ltd
3CD9CE	Eclipse WiFi
3CDF1E	Cisco Systems, Inc
3CFDFE	Intel Corporate
40167E	ASUSTek COMPUTER INC.
404D8E	HUAWEI TECHNOLOGIES CO.,LTD
405FBE	Rim
40618E	Stella-Green Co
4083DE	Zebra Technologies Inc
40862E	JDM MOBILE INTERNET SOLUTION CO., LTD.
40984E	Texas Instruments
40BD9E	Physio-Control, Inc
40D3AE	Samsung Electronics Co.,Ltd
40D40E	Biodata Ltd
40EACE	FOUNDER BROADBAND NETWORK SERVICE CO.,LTD
40F52E	Leica Microsystems (Schweiz) AG
444F5E	Pan Studios Co.,Ltd.
44666E	Ip-Line
446A2E	HUAWEI TECHNOLOGIES CO.,LTD
44783E	Samsung Electronics Co.,Ltd
44D15E	Shanghai Kingto Information Technology Ltd
44E08E	Cisco SPVTG
48137E	Samsung Electronics Co.,Ltd
484D7E	Dell Inc.
4865EE	IEEE Registration Authority
48746E	Apple, Inc.
48A74E	zte corporation
48B8DE	HOMEWINS TECHNOLOGY CO.,LTD.
48CB6E	Cello Electronics (UK) Ltd
48D18E	Metis Communication Co.,Ltd
48D8FE	ClarIDy Solutions, Inc.
48FD8E	HUAWEI TECHNOLOGIES CO.,LTD
4C022E	CMR KOREA CO., LTD
4C0BBE	Microsoft
4C0DEE	JABIL CIRCUIT (SHANGHAI) LTD.
4C0F6E	Hon Hai Precision Ind. Co.,Ltd.
4C334E	Hightech
4C60DE	Netgear
4C6E6E	Comnect Technology CO.,LTD
4C83DE	Cisco SPVTG
4CEDDE	ASKEY COMPUTER CORP
4CF02E	Vifa Denmark A/S
502A7E	Smart electronic GmbH
502ECE	Asahi Electronics Co.,Ltd
504A5E	Masimo Corporation
504A6E	Netgear
5067AE	Cisco Systems, Inc
50A9DE	Smartcom - Bulgaria AD
50AB3E	Qibixx AG
54271E	AzureWave Technology Inc.
5465DE	ARRIS Group, Inc.
546C0E	Texas Instruments
547FEE	Cisco Systems, Inc
54880E	SAMSUNG ELECTRO-MECHANICS(THAILAND)
5492BE	Samsung Electronics Co.,Ltd
54CDEE	ShenZhen Apexis Electronic Co.,Ltd
54EFFE	Fullpower Technologies, Inc.
54FA3E	Samsung Electronics Co.,Ltd
582EFE	Lighting Science Group
58404E	Apple, Inc.
584CEE	Digital One Technologies, Limited
58856E	QSC AG
58971E	Cisco Systems, Inc
58EECE	Icon Time Systems
58F98E	SECUDOS GmbH
5C313E	Texas Instruments
5C338E	Alpha Networks Inc.
5C7D5E	HUAWEI TECHNOLOGIES CO.,LTD
5C8D4E	Apple, Inc.
5C95AE	Apple, Inc.
5CB43E	HUAWEI TECHNOLOGIES CO.,LTD
5CBD9E	HONGKONG MIRACLE EAGLE TECHNOLOGY(GROUP) LIMITED
5CE30E	ARRIS Group, Inc.
5CEB4E	R. STAHL HMI Systems GmbH
60182E	ShenZhen Protruly Electronic Ltd co.
60380E	ALPS ELECTRIC CO.,LTD.
60455E	Liptel s.r.o.
60A8FE	Nokia
60E00E	SHINSEI ELECTRONICS CO LTD
60FE1E	China Palms Telecom.Ltd
6405BE	NEW LIGHT LED
640DCE	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
64317E	Dexin Corporation
64517E	LONG BEN (DONGGUAN) ELECTRONIC TECHNOLOGY CO.,LTD.
645EBE	Yahoo! JAPAN
648D9E	IVT Electronic Co.,Ltd
649ABE	Apple, Inc.
649C8E	Texas Instruments
64CC2E	Xiaomi Communications Co Ltd
64F50E	Kinion Technology Company Limited
6831FE	Teladin Co.,Ltd.
683B1E	Countwise LTD
68692E	Zycoo Co.,Ltd
689C5E	AcSiP Technology Corp.
68A40E	BSH Hausgeräte GmbH
68B35E	Shenzhen Neostra Technology Co.Ltd
68CC6E	HUAWEI TECHNOLOGIES CO.,LTD
68CE4E	L-3 Communications Infrared Products
68EBAE	Samsung Electronics Co.,Ltd
68FB7E	Apple, Inc.
6C160E	ShotTracker
6C32DE	Indieon Technologies Pvt. Ltd.
6C5CDE	SunReports, Inc.
6C6EFE	Core Logic Inc.
6C81FE	Mitsuba Corporation
6CB0CE	Netgear
6CE01E	Modcam AB
6CE4CE	Villiger Security Solutions AG
6CFFBE	MPB Communications Inc.
7011AE	Music Life LTD
70305E	Nanjing Zhongke Menglian Information Technology Co.,LTD
7038EE	Avaya Inc
703A0E	Aruba Networks
704AAE	Xstream Flow (Pty) Ltd
705A9E	Technicolor CH USA Inc.
705B2E	M2Communication Inc.
7060DE	LaVision GmbH
707EDE	NASTEC LTD.
70820E	as electronics GmbH
70828E	OleumTech Corporation
70B14E	ARRIS Group, Inc.
70BF3E	Charles River Laboratories
70D57E	Scalar Corporation
745FAE	TSL PPL
74A78E	zte corporation
74B57E	zte corporation
74E06E	Ergophone GmbH
78009E	Samsung Electronics Co.,Ltd
78192E	NASCENT Technology
7823AE	ARRIS Group, Inc.
78542E	D-Link International
78593E	RAFI GmbH & Co.KG
78595E	Samsung Electronics Co.,Ltd
7866AE	ZTEC Instruments, Inc.
7884EE	INDRA ESPACIO S.A.
78923E	Nokia Corporation
78B3CE	Elo touch solutions
78C40E	H&D Wireless
78CA5E	Elno
78CD8E	SMC Networks Inc
78DA6E	Cisco Systems, Inc
78F29E	PEGATRON CORPORATION
78F7BE	Samsung Electronics Co.,Ltd
7C051E	RAFAEL LTD.
7C0ECE	Cisco Systems, Inc
7C11BE	Apple, Inc.
7C336E	MEG Electronics Inc.
7C574E	COBI GmbH
7C787E	Samsung Electronics Co.,Ltd
7CA23E	HUAWEI TECHNOLOGIES CO.,LTD
7CB03E	OSRAM GmbH
7CD9FE	New Cosmos Electric Co., Ltd.
7CEBAE	Ridgeline Instruments
7CF90E	Samsung Electronics Co.,Ltd
7CFE4E	Shenzhen Safe vision Technology Co.,LTD
80006E	Apple, Inc.
8019FE	JianLing Technology CO., LTD
802FDE	Zurich Instruments AG
80414E	BBK EDUCATIONAL ELECTRONICS CORP.,LTD.
8079AE	ShanDong Tecsunrise  Co.,Ltd
807B1E	Corsair Components
80C16E	Hewlett Packard
80F25E	Kyynel
80F62E	Hangzhou H3C Technologies Co., Limited
84119E	Samsung Electronics Co.,Ltd
841B5E	Netgear
8427CE	Corporation of the Presiding Bishop of The Church of Jesus Christ of Latter-day Saints
843F4E	Tri-Tech Manufacturing, Inc.
84683E	Intel Corporate
84D47E	Aruba Networks
84FCFE	Apple, Inc.
84FE9E	RTC Industries, Inc.
88124E	Qualcomm Inc.
8818AE	Tamron Co., Ltd
8823FE	TTTech Computertechnik AG
8833BE	Ivenix, Inc.
88532E	Intel Corporate
8857EE	BUFFALO.INC
886B6E	Apple, Inc.
88797E	Motorola Mobility LLC, a Lenovo Company
88947E	Fiberhome Telecommunication Technologies Co.,LTD
88A25E	Juniper Networks
88C36E	Beijing Ereneben lnformation Technology Limited
8C4AEE	GIGA TMS INC
8C736E	FUJITSU LIMITED
8C8A6E	ESTUN AUTOMATION TECHNOLOY CO., LTD
8CAB8E	Shanghai Feixun Communication Co.,Ltd.
8CBEBE	Xiaomi Communications Co Ltd
90004E	Hon Hai Precision Ind. Co.,Ltd.
90185E	Apex Tool Group GmbH & Co OHG
9018AE	Shanghai Meridian Technologies, Co. Ltd.
901B0E	Fujitsu Technology Solutions GmbH
90356E	Vodafone Omnitel N.V.
903CAE	Yunnan KSEC Digital Technology Co.,Ltd.
9055AE	Ericsson, EAB/RWI/K
905F2E	TCT mobile ltd
90A4DE	Wistron Neweb Corporation
90D7BE	Wavelab Global Inc.
90DA4E	Avanu
94103E	Belkin International Inc.
94236E	Shenzhen Junlan Electronic Ltd
945B7E	TRILOBIT LTDA.
94611E	Wata Electronics Co.,Ltd.
94756E	QinetiQ North America
947C3E	Polewall Norge AS
94885E	Surfilter Network Technology Co., Ltd.
948FEE	Verizon Telematics
949F3E	Sonos, Inc.
94A04E	Bostex Technology Co., LTD
94ABDE	OMX Technology - FZE
94BBAE	Husqvarna AB
94BF1E	eflow Inc. / Smart Device Planning and Development Division
94D60E	shenzhen yunmao information technologies co., ltd
94DE0E	SmartOptics AS
94DF4E	Wistron InfoComm(Kunshan)Co.,Ltd.
94F19E	HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD
94FD2E	Shanghai Uniscope Technologies Co.,Ltd
980D2E	HTC Corporation
98208E	Definium Technologies
98234E	Micromedia AG
982CBE	2Wire Inc
98398E	Samsung Electronics Co.,Ltd
984FEE	Intel Corporate
98A40E	Snap, Inc.
98BB1E	BYD Precision Manufacture Company Ltd.
9C039E	Beijing Winchannel Software Technology Co., Ltd
9C066E	Hytera Communications Corporation Limited
9C220E	TASCAN Systems GmbH
9C4CAE	Mesa Labs
9C4E8E	ALT Systems Ltd
9C50EE	Cambridge Industries(Group) Co.,Ltd.
9C5C8E	ASUSTek COMPUTER INC.
9C645E	Harman Consumer Group
9C6ABE	QEES ApS.
9C934E	Xerox Corporation
9CC8AE	Becton, Dickinson  and Company
9CD21E	Hon Hai Precision Ind. Co.,Ltd.
9CDA3E	Intel Corporate
9CE10E	NCTech Ltd
9CF48E	Apple, Inc.
9CFFBE	OTSL Inc.
A0043E	Parker Hannifin Manufacturing Germany GmbH & Co. KG
A0415E	Opsens Solution Inc.
A055DE	ARRIS Group, Inc.
A067BE	Sicon srl
A090DE	VEEDIMS,LLC
A0BB3E	IEEE Registration Authority
A0C2DE	Costar Video Systems
A0C3DE	Triton Electronic Systems Ltd.
A0FC6E	Telegrafia a.s.
A4059E	STA Infinity LLP
A4134E	Luxul
A481EE	Nokia Corporation
A4B1EE	H. ZANDER GmbH & Co. KG
A4C7DE	Cambridge Industries(Group) Co.,Ltd.
A4DB2E	Kingspan Environmental Ltd
A4DCBE	HUAWEI TECHNOLOGIES CO.,LTD
A4E32E	Silicon & Software Systems Ltd.
A4ED4E	ARRIS Group, Inc.
A4FCCE	Security Expert Ltd.
A8574E	TP-LINK TECHNOLOGIES CO.,LTD.
A88CEE	MicroMade Galka i Drozdz sp.j.
A8B0AE	Leoni
A8B86E	LG Electronics (Mobile Communications)
A8E3EE	Sony Interactive Entertainment Inc.
AC0DFE	Ekon GmbH - myGEKKO
AC202E	Hitron Technologies. Inc
AC2B6E	Intel Corporate
AC4AFE	Hisense Broadband Multimedia Technology Co.,Ltd.
AC51EE	Cambridge Communication Systems Ltd
AC5F3E	SAMSUNG ELECTRO-MECHANICS(THAILAND)
AC63BE	Amazon Technologies Inc.
AC7F3E	Apple, Inc.
AC867E	Create New Technology (HK) Limited Company
ACA31E	Aruba Networks
ACAB2E	Beijing LasNubes Technology Co., Ltd.
ACC1EE	Xiaomi Communications Co Ltd
ACCA8E	ODA Technologies
ACCC8E	Axis Communications AB
ACE42E	SK hynix
ACE87E	Bytemark Computer Consulting Ltd
ACEE9E	Samsung Electronics Co.,Ltd
ACF97E	ELESYS INC.
ACFDCE	Intel Corporate
B0518E	Holl technology CO.Ltd.
B083FE	Dell Inc.
B0869E	Chloride S.r.L
B0958E	TP-LINK TECHNOLOGIES CO.,LTD.
B0A37E	Qingdao Haier Telecom Co.，Ltd
B0A86E	Juniper Networks
B0E50E	NRG SYSTEMS INC
B0E97E	Advanced Micro Peripherals
B42A0E	Technicolor CH USA Inc.
B42CBE	Direct Payment Solutions Limited
B4475E	Avaya Inc
B4527E	Sony Mobile Communications AB
B4750E	Belkin International Inc.
B47F5E	Foresight Manufacture (S) Pte Ltd
B482FE	ASKEY COMPUTER CORP
B4944E	WeTelecom Co., Ltd.
B4A9FE	GHIA Technology (Shenzhen) LTD
B4C44E	VXL eTech Pvt Ltd
B4D8DE	iota Computing, Inc.
B4F81E	Kinova
B83D4E	Shenzhen Cultraview Digital Technology Co.,Ltd Shanghai Branch
B85AFE	Handaer Communication Technology (Beijing) Co., Ltd
B8782E	Apple, Inc.
B8797E	Secure Meters (UK) Limited
B8871E	Good Mind Industries Co., Ltd.
B8AD3E	Bluecom
B8AE6E	Nintendo Co., Ltd.
B8B42E	Gionee Communication Equipment Co,Ltd.ShenZhen
B8B81E	Intel Corporate
B8B94E	Shenzhen iBaby Labs, Inc.
B8C68E	Samsung Electronics Co.,Ltd
B8D9CE	Samsung Electronics Co.,Ltd
B8F8BE	Bluecom
B8FFFE	Texas Instruments
BC125E	Beijing  WisVideo  INC.
BC307E	Wistron Neweb Corporation
BC452E	Knowledge Development for POF S.L.
BC51FE	Swann communications Pty Ltd
BC620E	HUAWEI TECHNOLOGIES CO.,LTD
BC66DE	Shadow Creator Information Technology Co.,Ltd.
BC764E	Rackspace US, Inc.
BC765E	Samsung Electronics Co.,Ltd
BC8D0E	Nokia
C00D7E	Additech, Inc.
C02DEE	Cuff
C0335E	Microsoft
C03F0E	Netgear
C08ADE	Ruckus Wireless
C0A0DE	Multi Touch Oy
C0A39E	EarthCam, Inc.
C0E54E	ARIES Embedded GmbH
C401CE	PRESITION (2000) CO., LTD.
C417FE	Hon Hai Precision Ind. Co.,Ltd.
C41ECE	HMI Sources Ltd.
C4242E	Galvanic Applied Sciences Inc
C43ABE	Sony Mobile Communications AB
C456FE	Lava International Ltd.
C4576E	Samsung Electronics Co.,Ltd
C4693E	Turbulence Design Inc.
C471FE	Cisco Systems, Inc
C4731E	Samsung Electronics Co.,Ltd
C47DFE	A.N. Solutions GmbH
C4824E	Changzhou Uchip Electronics Co., LTD.
C4C0AE	MIDORI ELECTRONIC CO., LTD.
C4E7BE	SCSpro Co.,Ltd
C4EEAE	VSS Monitoring
C81AFE	DLOGIC GmbH
C81E8E	ADV Security (S) Pte Ltd
C81FBE	HUAWEI TECHNOLOGIES CO.,LTD
C8208E	Storagedata
C8348E	Intel Corporate
C8675E	Aerohive Networks Inc.
C86C1E	Display Systems Ltd
C8903E	Pakton Technologies
C8A2CE	Oasis Media Systems LLC
C8B21E	CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.
C8C50E	Shenzhen Primestone Network Technologies.Co., Ltd.
C8D15E	HUAWEI TECHNOLOGIES CO.,LTD
C8D5FE	Shenzhen Zowee Technology Co., Ltd
C8EF2E	Beijing Gefei Tech. Co., Ltd
CC167E	Cisco Systems, Inc
CC3B3E	Lester Electrical
CC593E	TOUMAZ LTD
CC5D4E	ZyXEL Communications Corporation
CCCC4E	Sun Fountainhead USA. Corp
CCCE1E	AVM Audiovisuelles Marketing und Computersysteme GmbH
CCD31E	IEEE Registration Authority
D0131E	Sunrex Technology Corp
D022BE	SAMSUNG ELECTRO-MECHANICS(THAILAND)
D0431E	Dell Inc.
D04F7E	Apple, Inc.
D05FCE	Hitachi Data Systems
D0699E	LUMINEX Lighting Control Equipment
D0738E	DONG OH PRECISION CO., LTD.
D075BE	Reno A&E
D08B7E	Passif Semiconductor
D0929E	Microsoft Corporation
D0CF5E	Energy Micro AS
D0EB9E	Seowoo Inc.
D4224E	Alcatel Lucent
D43D7E	Micro-Star Int'l Co, Ltd
D44B5E	TAIYO YUDEN CO., LTD.
D455BE	SHENZHEN FAST TECHNOLOGIES CO.,LTD
D4612E	HUAWEI TECHNOLOGIES CO.,LTD
D461FE	Hangzhou H3C Technologies Co., Limited
D463FE	Arcadyan Corporation
D46E0E	TP-LINK TECHNOLOGIES CO.,LTD.
D4823E	Argosy Technologies, Ltd.
D49C8E	University of FUKUI
D4AC4E	BODi rS, LLC
D4B43E	Messcomp Datentechnik GmbH
D4CA6E	u-blox AG
D4E08E	ValueHD Corporation
D4EA0E	Avaya Inc
D4F4BE	Palo Alto Networks
D8052E	Skyviia Corporation
D819CE	Telesquare
D81BFE	TWINLINX CORPORATION
D81EDE	B&W Group Ltd
D82A7E	Nokia Corporation
D837BE	Shanghai Gongjing Telecom Technology Co,LTD
D848EE	Hangzhou Xueji Technology Co., Ltd.
D866EE	BOXIN COMMUNICATION CO.,LTD.
D881CE	AHN INC.
D888CE	RF Technology Pty Ltd
D8A25E	Apple, Inc.
D8B02E	Guangzhou Zonerich Business Machine Co., LTD.
D8B90E	Triple Domain Vision Co.,Ltd.
D8D67E	GSK CNC EQUIPMENT CO.,LTD
D8DECE	ISUNG CO.,LTD
D8E3AE	CIRTEC MEDICAL SYSTEMS
D8FB5E	ASKEY COMPUTER CORP
DC028E	zte corporation
DC3A5E	Roku, Inc.
DC3C2E	Manufacturing System Insights, Inc.
DC4A3E	Hewlett Packard
DC4EDE	SHINYEI TECHNOLOGY CO., LTD.
DC85DE	AzureWave Technology Inc.
DC9A8E	Nanjing Cocomm electronics co., LTD
DC9B1E	Intercom, Inc.
DCAD9E	GreenPriz
E0143E	Modoosis Inc.
E01CEE	Bravo Tech, Inc.
E0319E	Valve Corporation
E0589E	Laerdal Medical
E08A7E	Exponent
E0ABFE	Orb Networks, Inc.
E0AE5E	ALPS ELECTRIC CO.,LTD.
E0CB4E	ASUSTek COMPUTER INC.
E0CBEE	Samsung Electronics Co.,Ltd
E0D55E	GIGA-BYTE TECHNOLOGY CO.,LTD.
E0F9BE	Cloudena Corp.
E4751E	Getinge Sterilization AB
E4907E	Motorola Mobility LLC, a Lenovo Company
E4956E	IEEE Registration Authority
E496AE	ALTOGRAPHICS Inc.
E8102E	Really Simple Software, Inc
E8150E	Nokia Corporation
E8343E	Beijing Infosec Technologies Co., LTD.
E8447E	Bitdefender SRL
E84ECE	Nintendo Co., Ltd.
E8516E	TSMART Inc.
E8617E	Liteon Technology Corporation
E861BE	Melec Inc.
E86D6E	voestalpine SIGNALING Fareham Ltd.
E8802E	Apple, Inc.
E8B4AE	Shenzhen C&D Electronics Co.,Ltd
E8DE8E	Integrated Device Technology (Malaysia) Sdn. Bhd.
EC01EE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
EC2E4E	Hitachi-               # HITACHI-LG DATA STORAGE INC
EC542E	Shanghai XiMei Electronic Technology Co. Ltd
EC8EAE	Nagravision SA
ECBAFE	Giroptic
ECBBAE	Digivoice Tecnologia em Eletronica Ltda
ECD00E	MiraeRecognition Co., Ltd.
ECF00E	Abocom
ECFE7E	BlueRadios, Inc.
F0224E	Esan electronic co.
F073AE	PEAK-System Technik
F08BFE	COSTEL.,CO.LTD
F0AD4E	Globalscale Technologies, Inc.
F0E77E	Samsung Electronics Co.,Ltd
F0ED1E	Bilkon Bilgisayar Kontrollu Cih. Im.Ltd.
F0F5AE	Adaptrum Inc.
F4573E	Fiberhome Telecommunication Technologies Co.,LTD
F47A4E	Woojeon&               # Woojeon&Handan
F47B5E	Samsung Electronics Co.,Ltd
F4911E	ZHUHAI EWPE INFORMATION TECHNOLOGY INC
F4B85E	Texas Instruments
F4DD9E	Gopro
F4EF9E	SGSG SCIENCE & TECHNOLOGY CO. LTD
F8042E	SAMSUNG ELECTRO-MECHANICS(THAILAND)
F80BBE	ARRIS Group, Inc.
F8313E	endeavour GmbH
F83D4E	Softlink Automation System Co., Ltd
F8572E	Core Brands, LLC
F871FE	The Goldman Sachs Group, Inc.
F8A9DE	PUISSANCE PLUS
F8E71E	Ruckus Wireless
FC019E	Vievu
FC2D5E	zte corporation
FC52CE	Control iD
FC539E	Shanghai Wind Technologies Co.,Ltd
FC626E	Beijing MDC Telecom
FC683E	Directed Perception, Inc
FC8E7E	ARRIS Group, Inc.
FC9FAE	Fidus Systems Inc
FCA13E	Samsung Electronics Co.,Ltd
FCC2DE	Murata Manufacturing Co., Ltd.
FCF8AE	Intel Corporate
