000009	powerpipes?
04C9D9	Echostar Technologies Corp
04DF69	Car Connectivity Consortium
080009	HP
080019	GENERAL ELECTRIC CORPORATION
080029	Megatek Corporation
080039	Spider Systems
080049	Univation
080059	A/S MYCRON
080069	SGI
080079	SGI
080089	Kinetics			AppleTalk-Ethernet interface
080CC9	Mission Technology Group, dba Magma
082719	APS systems/electronic AG
087999	AIM GmbH
088039	Cisco SPVTG
08BE09	Astrol Electronic AG
08EB29	Jiangsu Huitong Group Co.,Ltd.
08ECA9	Samsung Electronics Co.,Ltd
08EDB9	Hon Hai Precision Ind. Co.,Ltd.
0C1539	Apple, Inc.
0C2A69	electric imp, incorporated
0C2D89	QiiQ Communications Inc.
0C47C9	Amazon Technologies Inc.
0C4C39	MitraStar Technology Corp.
0C4DE9	Apple, Inc.
0C54B9	Nokia
0C5A19	Axtion Sdn Bhd
0CB319	Samsung Electronics Co.,Ltd
0CE709	Fox Crypto B.V.
0CF019	Malgn Technology Co., Ltd.
100BA9	Intel Corporate
102279	ZeroDesktop, Inc.
103B59	Samsung Electronics Co.,Ltd
104369	Soundmax Electronic Limited
105F49	Cisco SPVTG
1062C9	Adatis GmbH & Co. KG
1071F9	Cloud Telecomputers, LLC
1093E9	Apple, Inc.
109AB9	Tosibox Oy
109FA9	Actiontec Electronics, Inc
10A659	Mobile Create Co.,Ltd.
10EA59	Cisco SPVTG
10EED9	Canoga Perkins Corporation
144319	Creative&Link Technology Limited
149D09	HUAWEI TECHNOLOGIES CO.,LTD
14C089	DUNE HD LTD
14DAE9	ASUSTek COMPUTER INC.
14DDA9	ASUSTek COMPUTER INC.
1816C9	Samsung Electronics Co.,Ltd
183009	Woojin Industrial Systems Co., Ltd.
183919	Unicoi Systems
186D99	Adanis Inc.
188219	Alibaba Cloud Computing Ltd.
188EF9	G2C Co. Ltd.
18B169	Sonicwall
18B209	Torrey Pines Logic, Inc
18D949	Qvis Labs, LLC
18EE69	Apple, Inc.
1C4419	TP-LINK TECHNOLOGIES CO.,LTD.
1C48F9	GN Netcom A/S
1C4BB9	SMG ENTERPRISE, LLC
1C7839	Shenzhen Tencent Computer System Co., Ltd.
1C9179	Integrated System Technologies Ltd
1CBDB9	D-Link International
1CCB99	TCT mobile ltd
1CEEC9	Elo touch solutions
2046F9	Advanced Network Devices (dbaAND)
2091D9	I'M SPA
209AE9	Volacomm Co., Ltd
20A8B9	Siemens
20B399	Enterasys
20CD39	Texas Instruments
247189	Texas Instruments
24B0A9	Shanghai Mobiletek Communication Ltd.
24C3F9	Securitas Direct AB
24EC99	ASKEY COMPUTER CORP
2829D9	GlobalBeiMing technology (Beijing)Co. Ltd
283F69	Sony Mobile Communications AB
28B9D9	Radisys Corporation
28BB59	RNET Technologies, Inc.
28CA09	ThyssenKrupp Elevators (Shanghai) Co.,Ltd
28CFE9	Apple, Inc.
28E6E9	SIS Sat Internet Services GmbH
2C0BE9	Cisco Systems, Inc
2C4D79	GoerTek Inc.
2C5089	Shenzhen Kaixuan Visual Technology Co.,Limited
2C6289	Regenersis (Glenrothes) Ltd
2C6FC9	Hon Hai Precision Ind. Co.,Ltd.
2CA539	Parallel Wireless, Inc
2CCD69	Aqavi.com
304449	PLATH GmbH
3085A9	ASUSTek COMPUTER INC.
3087D9	Ruckus Wireless
308999	Guangdong East Power Co.,
308D99	Hewlett Packard
30D6C9	Samsung Electronics Co.,Ltd
30F6B9	Ecocentric Energy
342109	Jensen Scandinavia AS
343759	zte corporation
344F69	EKINOPS SAS
3451C9	Apple, Inc.
3464A9	Hewlett Packard
347E39	Nokia Danmark A/S
34A709	Trevil srl
34AA99	Nokia
34BDF9	Shanghai WDK Industrial Co.,Ltd.
34C059	Apple, Inc.
34C0F9	Rockwell Automation
34FCB9	Hewlett Packard Enterprise
381DD9	FN-LINK TECHNOLOGY LIMITED
384369	Patrol Products Consortium LLC
3859F9	Hon Hai Precision Ind. Co.,Ltd.
38C9A9	SMART High Reliability Solutions, Inc.
38D269	Texas Instruments
38F889	HUAWEI TECHNOLOGIES CO.,LTD
3C1A79	Huayuan Technology CO.,LTD
3C4C69	Infinity System S.L.
3C7059	MakerBot Industries
3C9509	Liteon Technology Corporation
3CAE69	ESA Elektroschaltanlagen Grimma GmbH
3CDD89	SOMO HOLDINGS & TECH. CO.,LTD.
3CDFA9	ARRIS Group, Inc.
4013D9	Global ES
401D59	Biometric Associates, LP
405539	Cisco Systems, Inc
407009	ARRIS Group, Inc.
40A6D9	Apple, Inc.
40C729	Sagemcom Broadband SAS
40C7C9	Naviit Inc.
40D559	MICRO S.E.R.I.
40F2E9	Ibm
40FC89	ARRIS Group, Inc.
441319	WKK TECHNOLOGY LTD.
443719	2 Save Energy Ltd
443839	Cumulus Networks, inc
444649	DFI (Diamond Flower Industries)
445829	Cisco SPVTG
44A689	PROMAX ELECTRONICA SA
44ADD9	Cisco Systems, Inc
44C4A9	Opticom Communication, LLC
44E4D9	Cisco Systems, Inc
44F459	Samsung Electronics Co.,Ltd
44F849	Union Pacific Railroad
480C49	NAKAYO Inc
481249	Luxcom Technologies Inc.
485929	LG Electronics (Mobile Communications)
485B39	ASUSTek COMPUTER INC.
487119	SGB GROUP LTD.
48C049	Broad Telecom SA
48D539	HUAWEI TECHNOLOGIES CO.,LTD
4C0289	LEX COMPUTECH CO., LTD
4C07C9	COMPUTER OFFICE Co.,Ltd.
4C3089	Thales Transportation Systems GmbH
4C32D9	M Rutty Holdings Pty. Ltd.
4C3909	HPL Electric & Power Private Limited
4C5499	HUAWEI TECHNOLOGIES CO.,LTD
4C64D9	Guangdong Leawin Group Co., Ltd
4C72B9	PEGATRON CORPORATION
4C8D79	Apple, Inc.
4CB199	Apple, Inc.
5001D9	HUAWEI TECHNOLOGIES CO.,LTD
500959	Technicolor CH USA Inc.
508569	Samsung Electronics Co.,Ltd
508789	Cisco Systems, Inc
50E549	GIGA-BYTE TECHNOLOGY CO.,LTD.
50FF99	IEEE Registration Authority
541379	Hon Hai Precision Ind. Co.,Ltd.
542F89	Euclid Laboratories, Inc.
544249	Sony Corporation
545FA9	Teracom Limited
546009	Google, Inc.
5464D9	Sagemcom Broadband SAS
547C69	Cisco Systems, Inc
549359	SHENZHEN TWOWING TECHNOLOGIES CO.,LTD.
54A619	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
5835D9	Cisco Systems, Inc
584C19	Chongqing Guohong Technology Development Company Limited
5869F9	Fusion Transactive Ltd.
587BE9	AirPro Technology India Pvt. Ltd
588D09	Cisco Systems, Inc
58A839	Intel Corporate
58BDF9	Sigrand
5C2479	Baltech AG
5C2E59	Samsung Electronics Co.,Ltd
5C4979	AVM Audiovisuelles Marketing und Computersysteme GmbH
5C4CA9	HUAWEI TECHNOLOGIES CO.,LTD
5CB559	CNEX Labs
5CC6E9	Edifier International
5CEE79	Global Digitech Co LTD
601199	Siama Systems Inc
601929	VOLTRONIC POWER TECHNOLOGY(SHENZHEN) CORP.
6063F9	Ciholas, Inc.
6081F9	Helium Systems, Inc
60CDA9	Abloomy
60D0A9	Samsung Electronics Co.,Ltd
60D2B9	REALAND BIO CO., LTD.
60D819	Hon Hai Precision Ind. Co.,Ltd.
60EB69	QUANTA COMPUTER INC.
60F189	Murata Manufacturing Co., Ltd.
60FEF9	Thomas & Betts
641269	ARRIS Group, Inc.
643409	BITwave Pte Ltd
645299	The Chamberlain Group, Inc
648099	Intel Corporate
64A769	HTC Corporation
64D989	Cisco Systems, Inc
64E599	EFM Networks
681729	Intel Corporate
6837E9	Amazon Technologies Inc.
686359	Advanced Digital Broadcast SA
689E19	Texas Instruments
68B599	Hewlett Packard
68B8D9	Act KDE, Inc.
6C15F9	Nautronix Limited
6C23B9	Sony Mobile Communications AB
6C25B9	BBK EDUCATIONAL ELECTRONICS CORP.,LTD.
6C2779	Microsoft Mobile Oy
6C33A9	Magicjack LP
6C4A39	Bita
6C5779	Aclima, Inc.
6C7039	Novar GmbH
6C71D9	AzureWave Technology Inc.
6C9989	Cisco Systems, Inc
6C9AC9	Valentine Research, Inc.
6C9CE9	Nimble Storage
6CA849	Avaya Inc
6CBEE9	Alcatel-               # Alcatel-Lucent IPD
6CF049	GIGA-BYTE TECHNOLOGY CO.,LTD.
6CFA89	Cisco Systems, Inc
6CFDB9	Proware Technologies Co Ltd.
702559	CyberTAN Technology Inc.
703C39	SEAWING Kft
706879	Saijo Denki International Co., Ltd.
707C69	Avaya Inc
708A09	HUAWEI TECHNOLOGIES CO.,LTD
708D09	Nokia Corporation
709E29	Sony Interactive Entertainment Inc.
70B599	Embedded Technologies s.r.o.
70D379	Cisco Systems, Inc
70E139	3view Ltd
741489	SRT Wireless
743889	ANNAX Anzeigesysteme GmbH
744BE9	EXPLORER HYPERTECH CO.,LTD
744D79	Arrive Systems Inc.
746A89	Rezolt Corporation
746F19	ICARVISIONS (SHENZHEN) TECHNOLOGY CO., LTD.
7487A9	OCT Technology Co., Ltd.
748A69	Korea Image Technology Co., Ltd
74CC39	Fiberhome Telecommunication Technologies Co.,LTD
782079	ID Tech
784859	Hewlett Packard
786A89	HUAWEI TECHNOLOGIES CO.,LTD
78B3B9	ShangHai sunup lighting CO.,LTD
78BAF9	Cisco Systems, Inc
78C3E9	Samsung Electronics Co.,Ltd
78CA39	Apple, Inc.
78D129	Vicos
78EB39	Instituto Nacional de Tecnología Industrial
7C03C9	Shenzhen YOUHUA Technology Co., Ltd
7C08D9	Shanghai B-Star Technology Co
7C1DD9	Xiaomi Communications Co Ltd
7C49B9	Plexus Manufacturing Sdn Bhd
7C5049	Apple, Inc.
7C6C39	PIXSYS SRL
7CC709	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
7CEC79	Texas Instruments
7CF429	NUUO Inc.
802689	D-Link International
805719	Samsung Electronics Co.,Ltd
806459	Nimbus Inc.
8065E9	BenQ Corporation
806629	Prescope Technologies CO.,LTD.
807459	K's Co.,Ltd.
80A589	AzureWave Technology Inc.
80B219	ELEKTRON TECHNOLOGY UK LIMITED
80B289	Forworld Electronics Ltd.
80B709	Viptela, Inc
80D019	Embed, Inc
8416F9	TP-LINK TECHNOLOGIES CO.,LTD.
842519	Samsung Electronics
842999	Apple, Inc.
848319	Hangzhou Zero Zero Technology Co., Ltd.
848F69	Dell Inc.
84C7A9	C3PO S.A.
84DF19	Chuango Security Technology Corporation
84E4D9	Shenzhen NEED technology Ltd.
84E629	Bluwan SA
84EA99	Vieworks
84F129	Metrascale Inc.
881B99	SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.
884B39	Siemens AG, Healthcare Sector
886639	HUAWEI TECHNOLOGIES CO.,LTD
888C19	Brady Corp Asia Pacific Ltd
8894F9	Gemicom Technology, Inc.
8895B9	Unified Packet Systems Crop
889B39	Samsung Electronics Co.,Ltd
88DD79	Voltaire
88DEA9	Roku, Inc.
8C18D9	Shenzhen RF Technology Co., Ltd
8C2F39	IBA Dosimetry GmbH
8C4B59	3D Imaging & Simulations Corp
8C4DB9	Unmonday Ltd
8C8FE9	Apple, Inc.
8C9109	Toyoshima Electric Technoeogy(Suzhou) Co.,Ltd.
8CAE89	Y-cam Solutions Ltd
8CD2E9	NIPPON SMT Co.Ltｄ
8CDE99	Comlab Inc.
8CF9C9	MESADA Technology Co.,Ltd.
9002A9	Zhejiang Dahua Technology Co., Ltd.
900A39	Wiio, Inc.
903809	Ericsson AB
906FA9	NANJING PUTIAN TELECOMMUNICATIONS TECHNOLOGY CO.,LTD.
908C09	Total Phase
90EED9	UNIVERSAL DE DESARROLLOS ELECTRÓNICOS, SA
90FF79	Metro Ethernet Forum
940149	AutoHotBox
943DC9	Asahi Net, Inc.
944A09	BitWise Controls
945089	SimonsVoss Technologies GmbH
946269	ARRIS Group, Inc.
948E89	INDUSTRIAS UNIDAS SA DE CV
949AA9	Microsoft Corporation
94B819	Nokia
94C4E9	PowerLayer Microsystems HongKong Limited
94CCB9	ARRIS Group, Inc.
94D019	Cydle Corp.
94D469	Cisco Systems, Inc
94D859	TCT mobile ltd
94DB49	Sitcorp
94DBC9	AzureWave Technology Inc.
94E979	Liteon Technology Corporation
94FB29	Zebra Technologies Inc.
988389	Samsung Electronics Co.,Ltd
989449	Skyworth Wireless Technology Ltd.
98B039	Nokia
98B6E9	Nintendo Co.,Ltd
98BC99	Edeltech Co.,Ltd.
98DCD9	UNITEC Co., Ltd.
98E0D9	Apple, Inc.
98F199	NEC Platforms, Ltd.
98F5A9	OHSUNG ELECTRONICS CO.,LTD.
9C32A9	SICHUAN TIANYI COMHEART TELECOMCO., LTD
9C5CF9	Sony Mobile Communications AB
9C65F9	AcSiP Technology Corp.
9C8E99	Hewlett Packard
9CA3A9	Guangzhou Juan Optical and Electronical Tech Joint Stock Co., Ltd
9CCAD9	Nokia Corporation
A01859	Shenzhen Yidashi Electronics Co Ltd
A01B29	Sagemcom Broadband SAS
A03299	Lenovo (Beijing) Co., Ltd.
A06D09	Intelcan Technosystems Inc.
A071A9	Nokia Corporation
A08869	Intel Corporate
A09169	LG Electronics (Mobile Communications)
A0C589	Intel Corporate
A0E5E9	enimai Inc
A0ECF9	Cisco Systems, Inc
A0F419	Nokia Corporation
A0F459	FN-LINK TECHNOLOGY LIMITED
A0F479	HUAWEI TECHNOLOGIES CO.,LTD
A0F849	Cisco Systems, Inc
A402B9	Intel Corporate
A434D9	Intel Corporate
A43A69	Vers Inc
A44F29	IEEE Registration Authority
A46E79	DFT System Co.Ltd
A47E39	zte corporation
A48269	Datrium, Inc.
A49D49	Ketra, Inc.
A49F89	Shanghai Rui Rui Communication Technology Co.Ltd.
A4A6A9	Private
A4B1E9	Technicolor
A4DEC9	QLove Mobile Intelligence Information Technology (W.H.) Co. Ltd.
A81559	Breathometer, Inc.
A826D9	HTC Corporation
A845E9	Firich Enterprises CO., LTD.
A87B39	Nokia Corporation
A8A089	Tactical Communications
A8D409	USA 111 Inc
A8D579	Beijing Chushang Science and Technology Co.,Ltd
A8E539	Moimstone Co.,Ltd
AC6FD9	Valueplus Inc.
AC7289	Intel Corporate
AC7409	Hangzhou H3C Technologies Co., Limited
AC84C9	Sagemcom Broadband SAS
ACA919	TrekStor GmbH
ACB859	Uniband Electronic Corp,
ACCB09	Hefcom Metering (Pty) Ltd
ACE069	ISAAC Instruments
B03829	Siliconware Precision Industries Co., Ltd.
B04089	Senient Systems LTD
B04519	TCT mobile ltd
B07FB9	Netgear
B0BF99	WIZITDONGDO
B0C559	Samsung Electronics Co.,Ltd
B407F9	SAMSUNG ELECTRO MECHANICS CO., LTD.
B41489	Cisco Systems, Inc
B42A39	ORBIT MERRET, spol. s r. o.
B436A9	Fibocom Wireless Inc.
B451F9	NB Software
B456B9	Teraspek Technologies Co.,Ltd
B467E9	Qingdao GoerTek Technology Co., Ltd.
B47C29	Shenzhen Guzidi Technology Co.,Ltd
B48B19	Apple, Inc.
B4A5A9	MODI GmbH
B4B859	Texa Spa
B4C799	Extreme Networks
B4CCE9	Prosyst
B4D8A9	BetterBots
B4ED19	Pie Digital, Inc.
B4EF39	Samsung Electronics Co.,Ltd
B813E9	Trace Live Network
B81619	ARRIS Group, Inc.
B81999	Nesys
B83E59	Roku, Inc.
B844D9	Apple, Inc.
B87879	Roche Diagnostics GmbH
B87AC9	Siemens Ltd.
B89919	7signal Solutions, Inc
B89BC9	SMC Networks Inc
B8BD79	TrendPoint Systems
B8E589	Payter BV
B8E779	9Solutions Oy
B8EE79	YWire Technologies, Inc.
BC39D9	Z-Tec
BC4699	TP-LINK TECHNOLOGIES CO.,LTD.
BC4B79	SensingTek
BC54F9	Drogoo Technology Co., Ltd.
BC6A29	Texas Instruments
BC8199	BASIC Co.,Ltd.
BC9889	Fiberhome Telecommunication Technologies Co.,LTD
BCBBC9	Kellendonk Elektronik GmbH
C025E9	TP-LINK TECHNOLOGIES CO.,LTD.
C027B9	Beijing National Railway Research & Design Institute  of Signal & Communication Co., Ltd.
C038F9	Nokia Danmark A/S
C04A09	Zhejiang Everbright Communication Equip. Co,. Ltd
C05E79	SHENZHEN HUAXUN ARK TECHNOLOGIES CO.,LTD
C06599	Samsung Electronics Co.,Ltd
C07009	HUAWEI TECHNOLOGIES CO.,LTD
C09879	Acer Inc.
C0B339	Comigo Ltd.
C0C569	SHANGHAI LYNUC CNC TECHNOLOGY CO.,LTD
C40049	Kamama
C40F09	Hermes electronic GmbH
C44619	Hon Hai Precision Ind. Co.,Ltd.
C46699	vivo Mobile Communication Co., Ltd.
C486E9	HUAWEI TECHNOLOGIES CO.,LTD
C4BA99	I+ME Actia Informatik und Mikro-Elektronik GmbH
C4C919	Energy Imports Ltd
C4CAD9	Hangzhou H3C Technologies Co., Limited
C4D489	JiangSu Joyque Information Industry Co.,Ltd
C808E9	LG Electronics
C80AA9	QUANTA COMPUTER INC.
C81479	Samsung Electronics Co.,Ltd
C83E99	Texas Instruments
C84529	IMK Networks Co.,Ltd
C88439	Sunrise Technologies
C891F9	Sagemcom Broadband SAS
C8A729	SYStronics Co., Ltd.
C8BE19	D-Link International
C8D019	Shanghai Tigercel Communication Technology Co.,Ltd
C8D429	Muehlbauer AG
C8D719	Cisco-Linksys, LLC
C8D779	Qingdao Haier Telecom Co.，Ltd
C8DDC9	Lenovo Mobile Communication Technology Ltd.
C8F9F9	Cisco Systems, Inc
C8FD19	Texas Instruments
CC3429	TP-LINK TECHNOLOGIES CO.,LTD.
CC5459	OnTime Networks AS
CC7669	Seetech
CCA219	SHENZHEN ALONG INVESTMENT CO.,LTD
CCBE59	Calix Inc.
CCD539	Cisco Systems, Inc
CCD9E9	SCR Engineers Ltd.
CCEED9	VAHLE DETO GmbH
D00ED9	Taicang T&W Electronics
D05099	ASRock Incorporation
D05349	Liteon Technology Corporation
D08999	APCON, Inc.
D0C789	Cisco Systems, Inc
D40129	Broadcom
D40AA9	ARRIS Group, Inc.
D40BB9	Solid Semecs bv.
D43639	Texas Instruments
D43AE9	DONGGUAN ipt INDUSTRIAL CO., LTD
D48DD9	Meld Technology, Inc
D4A499	InView Technology Corporation
D4B169	Le Shi Zhi Xin Electronic Technology (Tianjin) Limited
D4BED9	Dell Inc.
D4CFF9	Shenzhen Sen5 Technology Co., Ltd.
D4D249	Power Ethernet
D4D7A9	Shanghai Kaixiang Info Tech LTD
D4D919	Gopro
D80F99	Hon Hai Precision Ind. Co.,Ltd.
D826B9	Guangdong Coagent Electronics S&amp;T Co.,Ltd.
D828C9	General Electric Consumer and Industrial
D83C69	Shenzhen TINNO Mobile Technology Corp.
D867D9	Cisco Systems, Inc
D86CE9	Sagemcom Broadband SAS
D88039	Microchip Technology Inc.
D89DB9	eMegatech International Corp.
D8C4E9	Samsung Electronics Co.,Ltd
D8C8E9	Phicomm (Shanghai) Co., Ltd.
D8D5B9	Rainforest Automation, Inc.
D8DCE9	Kunshan Erlab ductless filtration system Co.,Ltd
DC3979	Skyport Systems
DC49C9	CASCO SIGNAL LTD
DCA7D9	Compressor Controls Corp
DCA989	Macandc
DCEF09	Netgear
E00DB9	Cree, Inc.
E03F49	ASUSTek COMPUTER INC.
E05FB9	Cisco Systems, Inc
E09579	ORTHOsoft inc, d/b/a Zimmer CAS
E0F379	Vaddio
E40439	TomTom Software Ltd
E41289	topsystem Systemhaus GmbH
E425E9	Color-Chip
E44F29	MA Lighting Technology GmbH
E46449	ARRIS Group, Inc.
E47CF9	Samsung Electronics Co.,Ltd
E48399	ARRIS Group, Inc.
E49069	Rockwell Automation
E49A79	Apple, Inc.
E4A749	Palo Alto Networks
E4BAD9	360 Fly Inc.
E4DD79	En-Vision America, Inc.
E4E409	LEIFHEIT AG
E4F939	Minxon Hotel Technology INC.
E4FED9	EDMI Europe Ltd
E80959	Guoguang Electric Co.,Ltd
E85659	Advanced-Connectek Inc.
E86549	Cisco Systems, Inc
E89309	Samsung Electronics Co.,Ltd
E8C229	H-Displays (MSC) Bhd
E8EF89	OPMEX Tech.
EC1A59	Belkin International Inc.
EC2C49	University of Tokyo
EC3E09	PERFORMANCE DESIGNED PRODUCTS, LLC
EC55F9	Hon Hai Precision Ind. Co.,Ltd.
EC5C69	MITSUBISHI HEAVY INDUSTRIES MECHATRONICS SYSTEMS,LTD.
EC8009	NovaSparks
ECBD09	FUSION Electronics Ltd
ECE1A9	Cisco Systems, Inc
F015B9	PlayFusion Limited
F02329	SHOWA DENKI CO.,LTD.
F02929	Cisco Systems, Inc
F03D29	Actility
F05849	CareView Communications
F05A09	Samsung Electronics Co.,Ltd
F05C19	Aruba Networks
F05D89	Dycon Limited
F07959	ASUSTek COMPUTER INC.
F084C9	zte corporation
F09CE9	Aerohive Networks Inc.
F0B429	Xiaomi Communications Co Ltd
F0B479	Apple, Inc.
F0D1A9	Apple, Inc.
F0DEB9	ShangHai Y&Y Electronics Co., Ltd
F0EC39	Essec
F0F249	Hitron Technologies. Inc
F0F669	Motion Analysis Corporation
F40669	Intel Corporate
F45C89	Apple, Inc.
F45F69	Matsufu Electronics distribution Company
F46349	Diffon Corporation
F48139	CANON INC.
F48E09	Nokia Corporation
F4A739	Juniper Networks
F4B549	Xiamen Yeastar Information Technology Co., Ltd.
F4DCF9	HUAWEI TECHNOLOGIES CO.,LTD
F85BC9	M-Cube Spa
F88479	Yaojin Technology(Shenzhen)Co.,Ltd
F898B9	HUAWEI TECHNOLOGIES CO.,LTD
F8B599	Guangzhou CHNAVS Digital Technology Co.,Ltd
F8BF09	HUAWEI TECHNOLOGIES CO.,LTD
F8D3A9	AXAN Networks
F8E079	Motorola Mobility LLC, a Lenovo Company
FC1349	Global Apps Corp.
FC1D59	I Smart Cities HK Ltd
FC1F19	SAMSUNG ELECTRO MECHANICS CO., LTD.
FC3CE9	Tsingtong Technologies Co, Ltd.
FC4499	Swarco LEA d.o.o.
FC4AE9	Castlenet Technology Inc.
FC5B39	Cisco Systems, Inc
FC62B9	ALPS ELECTRIC CO.,LTD.
FC8329	Trei technics
FC8399	Avaya Inc
FCD5D9	Shenzhen SDMC Technology Co., Ltd.
FCE1D9	Stable Imaging Solutions LLC
FCEDB9	Arrayent
