000000	Officially Xerox
080070	Mitsubishi
080080	Xios
080090	Retix
082AD0	SRD Innovations Inc.
082CB0	Network Instruments
085240	EbV Elektronikbau- und Vertriebs GmbH
085700	TP-LINK TECHNOLOGIES CO.,LTD.
085AE0	Recovision Technology Co., Ltd.
0868D0	Japan System Design
088620	TECNO MOBILE LIMITED
08D5C0	Seers Technology Co., Ltd
08EA40	SHENZHEN BILIAN ELECTRONIC CO.，LTD
08FAE0	Fohhn Audio AG
0C0400	Jantar d.o.o.
0C1420	Samsung Electronics Co.,Ltd
0C1A10	Acoustic Stream
0C8230	SHENZHEN MAGNUS TECHNOLOGIES CO.,LTD
0C8610	Juniper Networks
0C8910	Samsung Electronics Co.,Ltd
0C9160	Hui Zhou Gaoshengda Technology Co.,LTD
0CC0C0	MAGNETI MARELLI SISTEMAS ELECTRONICOS MEXICO
0CF9C0	BSkyB Ltd
100000	Private
100090	HP
1000E0	Apple A/UX			(modified addresses for licensing)
101250	Integrated Device Technology (Malaysia) Sdn. Bhd.
101DC0	Samsung Electronics Co.,Ltd
104780	HUAWEI TECHNOLOGIES CO.,LTD
1077B0	Fiberhome Telecommunication Technologies Co.,LTD
10A5D0	Murata Manufacturing Co., Ltd.
10AE60	Private
10FBF0	KangSheng LTD.
1407E0	Abrantix AG
141330	Anakreon UK LLP
141BF0	Intellimedia Systems Ltd
143E60	Nokia
1449E0	SAMSUNG ELECTRO-MECHANICS(THAILAND)
1458D0	Hewlett Packard
146080	zte corporation
147590	TP-LINK TECHNOLOGIES CO.,LTD.
148A70	ADS GmbH
149090	KongTop industrial(shen zhen)CO.,LTD
149A10	Microsoft Corporation
14ABF0	ARRIS Group, Inc.
14B370	Gigaset Digital Technology (Shenzhen) Co., Ltd.
14CC20	TP-LINK TECHNOLOGIES CO.,LTD.
181420	TEB SAS
181EB0	Samsung Electronics Co.,Ltd
1853E0	Hanyang Digitech Co.Ltd
186590	Apple, Inc.
1867B0	Samsung Electronics Co.,Ltd
188410	CoreTrust Inc.
18B430	Nest Labs Inc.
18F650	Multimedia Pacific Limited
1C1AC0	Apple, Inc.
1C4840	IMS Messsysteme GmbH
1C5C60	Shenzhen Belzon Technology Co.,LTD.
1C7370	Neotech
1C83B0	Linked IP GmbH
1CA770	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
1CABC0	Hitron Technologies. Inc
2013E0	Samsung Electronics Co.,Ltd
2059A0	Paragon Technologies Inc.
205A00	Coval
207600	Actiontec Electronics, Inc
2078F0	Apple, Inc.
2082C0	Xiaomi Communications Co Ltd
20A680	HUAWEI TECHNOLOGIES CO.,LTD
20B7C0	OMICRON electronics GmbH
20BBC0	Cisco Systems, Inc
20C9D0	Apple, Inc.
20CF30	ASUSTek COMPUTER INC.
20D160	Private
20D390	Samsung Electronics Co.,Ltd
20F510	Codex Digital Limited
2411D0	Chongqing Ehs Science and Technology Development Co.,Ltd.
241FA0	HUAWEI TECHNOLOGIES CO.,LTD
243C20	Dynamode Group
245BF0	Liteon, Inc.
247260	IOTTECH Corp
247F20	Sagemcom Broadband SAS
248000	Westcontrol AS
24BA30	Technical Consumer Products, Inc.
24EA40	Helmholz GmbH & Co. KG
2804E0	FERMAX ELECTRONICA S.A.U.
283410	Enigma Diagnostics Limited
284430	GenesisTechnical Systems (UK) Ltd
2852E0	Layon international Electronic & Telecom Co.,Ltd
2872F0	Athena
287610	IgniteNet
2891D0	Stage Tec Entwicklungsgesellschaft für professionelle Audiotechnik mbH
28FAA0	vivo Mobile Communication Co., Ltd.
28FD80	IEEE Registration Authority
2C36A0	Capisco Limited
2CA780	True Technologies Inc.
2CAB00	HUAWEI TECHNOLOGIES CO.,LTD
2CC260	Oracle Corporation
305890	Frontier Silicon Ltd
307350	Inpeco SA
307C30	Rim
308730	HUAWEI TECHNOLOGIES CO.,LTD
30A220	ARG Telecom
30C750	MIC Technology Group
30E090	Linctronix Ltd,
340B40	MIOS ELETTRONICA SRL
341290	Treeview Co.,Ltd.
3428F0	ATN International Limited
344B50	zte corporation
345760	MitraStar Technology Corp.
345C40	Cargt Holdings LLC
345D10	Wytek
346F90	Cisco Systems, Inc
347A60	ARRIS Group, Inc.
349D90	Heinzmann GmbH & CO. KG
34BE00	Samsung Electronics Co.,Ltd
34BF90	Fiberhome Telecommunication Technologies Co.,LTD
34C5D0	Hagleitner Hygiene International GmbH
34C9F0	LM Technologies Ltd
34CE00	XIAOMI Electronics,CO.,LTD
34D270	Amazon Technologies Inc.
34FA40	Guangzhou Robustel Technologies Co., Limited
380B40	Samsung Electronics Co.,Ltd
383F10	DBL Technology Ltd.
384C90	ARRIS Group, Inc.
384FF0	AzureWave Technology Inc.
385610	CANDY HOUSE, Inc.
3872C0	Comtrend Corporation
388C50	LG Electronics
38DE60	Mohlenhoff GmbH
3C0000	3Com
3C1040	daesung network
3C18A0	Luxshare Precision Industry Co.,Ltd.
3C3300	Shenzhen Bilian electronic CO.,LTD
3C6200	Samsung Electronics Co.,Ltd
3C8970	Neosfar
3C8AB0	Juniper Networks
3C8C40	Hangzhou H3C Technologies Co., Limited
4000E0	Derek(Shaoguan)Limited
4007C0	Railtec Systems GmbH
400D10	ARRIS Group, Inc.
4050E0	Milton Security Group LLC
407A80	Nokia Corporation
407FE0	Glory Star Technics (ShenZhen) Limited
4088E0	Beijing Ereneben Information Technology Limited Shenzhen Branch
40A8F0	Hewlett Packard
40B4F0	Juniper Networks
40E230	AzureWave Technology Inc.
40E730	DEY Storage Systems, Inc.
40F420	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
440010	Apple, Inc.
442A60	Apple, Inc.
444450	Ottoq
4454C0	Thompson Aerospace
448500	Intel Corporate
44AA50	Juniper Networks
44D4E0	Sony Mobile Communications AB
44EE30	Budelmann Elektronik GmbH
481D70	Cisco SPVTG
484520	Intel Corporate
484C00	Network Solutions
485D60	AzureWave Technology Inc.
48A380	Gionee Communication Equipment Co.,Ltd.
48B620	ROLI Ltd.
48DB50	HUAWEI TECHNOLOGIES CO.,LTD
48EB30	ETERNA TECHNOLOGY, INC.
48ED80	daesung eltec
48F230	Ubizcore Co.,LTD
48F7C0	Technicolor CH USA Inc.
4C1480	NOREGON SYSTEMS, INC
4C21D0	Sony Mobile Communications AB
4C2C80	Beijing Skyway Technologies Co.,Ltd
4C3910	Newtek Electronics co., Ltd.
4C8120	Taicang T&W Electronics
4C8B30	Actiontec Electronics, Inc
4C9E80	KYOKKO ELECTRIC Co., Ltd.
4CEEB0	SHC Netzwerktechnik GmbH
4CF5A0	Scalable Network Technologies Inc
502690	FUJITSU LIMITED
503AA0	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
505800	WyTec International, Inc.
5067F0	ZyXEL Communications Corporation
50A4D0	IEEE Registration Authority
50C9A0	SKIPPER Electronics AS
50DA00	Hangzhou H3C Technologies Co., Limited
50F520	Samsung Electronics Co.,Ltd
50FC30	Treehouse Labs
50FF20	Keenetic Limited
525400	Realtek (UpTech? also reported)
542160	Resolution Products
543530	Hon Hai Precision Ind. Co.,Ltd.
543B30	duagon AG
544A00	Cisco Systems, Inc
544E90	Apple, Inc.
5475D0	Cisco Systems, Inc
548CA0	Liteon Technology Corporation
54A050	ASUSTek COMPUTER INC.
54B620	SuhdolE&               # SUHDOL E&C Co.Ltd.
54CD10	Panasonic Mobile Communications Co.,Ltd.
54D1B0	Universal Laser Systems, Inc
54DF00	Ulterius Technologies, LLC
54E140	Ingenico
54E2E0	ARRIS Group, Inc.
54E3B0	JVL Industri Elektronik
580A20	Cisco Systems, Inc
5848C0	Coflec
5853C0	Beijing Guang Runtong Technology Development Company co.,Ltd
58FD20	Bravida Sakerhet AB
5C20D0	Asoni Communication Co., Ltd.
5C38E0	Shanghai Super Electronics Technology Co.,LTD
5C6A80	ZyXEL Communications Corporation
5C6D20	Hon Hai Precision Ind. Co.,Ltd.
5C8FE0	ARRIS Group, Inc.
5C9960	Samsung Electronics Co.,Ltd
5CC6D0	Skyworth Digital Technology(Shenzhen) Co.,Ltd
5CCCA0	Gridwiz Inc.
5CDD70	Hangzhou H3C Technologies Co., Limited
5CF370	CC&C Technologies, Inc
5CF9F0	Atomos Engineering P/L
600810	HUAWEI TECHNOLOGIES CO.,LTD
601970	HUIZHOU QIAOXING ELECTRONICS TECHNOLOGY CO., LTD.
6021C0	Murata Manufacturing Co., Ltd.
602AD0	Cisco SPVTG
6032F0	Mplus technology
6038E0	Belkin International Inc.
6052D0	FACTS Engineering
606720	Intel Corporate
609620	Private
60A4D0	Samsung Electronics Co.,Ltd
60A9B0	Merchandising Technologies, Inc
60C980	Trymus
60D9A0	Lenovo Mobile Communication Technology Ltd.
60FE20	2Wire Inc
640980	Xiaomi Communications Co Ltd
6416F0	HUAWEI TECHNOLOGIES CO.,LTD
642400	Xorcom Ltd.
643150	Hewlett Packard
644BF0	CalDigit, Inc
644D70	dSPACE GmbH
644FB0	Hyunjin.com
6465C0	Nuvon, Inc
6499A0	AG Elektronik AB
64B310	Samsung Electronics Co.,Ltd
64B370	PowerComm Solutions LLC
64DAA0	Robert Bosch Smart Home GmbH
64DBA0	Select Comfort
64E950	Cisco Systems, Inc
64F970	Kenade Electronics Technology Co.,LTD.
681590	Sagemcom Broadband SAS
688470	eSSys Co.,Ltd
688540	IGI Mobile, Inc.
688AF0	zte corporation
6891D0	IEEE Registration Authority
689C70	Apple, Inc.
689FF0	zte corporation
68AE20	Apple, Inc.
68CA00	Octopus Systems Limited
6C0460	RBH Access Technologies Inc.
6C19C0	Apple, Inc.
6C1E70	Guangzhou YBDS IT Co.,Ltd
6C1E90	Hansol Technics Co., Ltd.
6C4B90	Liteon
6C5940	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
6C7220	D-Link International
6C7660	KYOCERA Corporation
6CA100	Intel Corporate
6CA780	Nokia Corporation
6CAC60	Venetex Corp
6CB350	Anhui comhigher tech co.,ltd
6CD1B0	WING SING ELECTRONICS HONG KONG LIMITED
6CE0B0	Sound4
700BC0	Dewav Technology Company
702900	Shenzhen ChipTrip Technology Co,Ltd
707630	ARRIS Group, Inc.
7076F0	LevelOne Communications (India) Private Limited
707990	HUAWEI TECHNOLOGIES CO.,LTD
70CD60	Apple, Inc.
70D880	Upos System sp. z o.o.
70EE50	Netatmo
743170	Arcadyan Technology Corporation
7446A0	Hewlett Packard
745F00	Samsung Semiconductor Inc.
746630	Tmi Ytti
7472B0	Guangzhou Shiyuan Electronics Co., Ltd.
749050	Renesas Electronics Corporation
74C330	SHENZHEN FAST TECHNOLOGIES CO.,LTD
74D850	Evrisko Systems
74FDA0	Compupal (Group) Corporation
788A20	Ubiquiti Networks Inc.
789ED0	Samsung Electronics Co.,Ltd
789F70	Apple, Inc.
78A2A0	Nintendo Co., Ltd.
78AB60	ABB Australia
78ACC0	Hewlett Packard
78BAD0	Shinybow Technology Co. Ltd.
78C2C0	IEEE Registration Authority
78D6F0	SAMSUNG ELECTRO MECHANICS CO., LTD.
78E400	Hon Hai Precision Ind. Co.,Ltd.
78E980	RainUs Co.,Ltd
78F7D0	Silverbrook Research
7C04D0	Apple, Inc.
7C0A50	J-MEX Inc.
7C2F80	Gigaset Communications GmbH
7C3920	SSOMA SECURITY
7CB960	Shanghai X-Cheng telecom LTD
7CC8D0	TIANJIN YAAN TECHNOLOGY CO., LTD.
7CDD20	IOXOS Technologies S.A.
7CDD90	Shenzhen Ogemray Technology Co., Ltd.
7CFE90	Mellanox Technologies, Inc.
800010	AT&T [misrepresented as 080010? One source claims this is correct]
800A80	IEEE Registration Authority
801440	Sunlit System Technology Corp
804B20	Ventilation Control
805EC0	YEALINK(XIAMEN) NETWORK TECHNOLOGY CO.,LTD.
806AB0	Shenzhen TINNO Mobile Technology Corp.
8091C0	AgileMesh, Inc.
809B20	Intel Corporate
80AD00	CNET Technology Inc. (Probably an error, see instead 0080AD)
80D160	Integrated Device Technology (Malaysia) Sdn. Bhd.
80E650	Apple, Inc.
842690	BEIJING THOUGHT SCIENCE CO.,LTD.
842B50	Huria Co.,Ltd.
8461A0	ARRIS Group, Inc.
847D50	Holley Metering Limited
847E40	Texas Instruments
849000	Arnold & Richter Cine Technik
84D6D0	Amazon Technologies Inc.
84DD20	Texas Instruments
880F10	Huami Information Technology Co.,Ltd.
882950	Dalian Netmoon Tech Develop Co.,Ltd
885D90	IEEE Registration Authority
8886A0	Simton Technologies, Ltd.
88B8D0	Dongguan Koppo Electronic Co.,Ltd
88C9D0	LG Electronics (Mobile Communications)
88E0A0	Shenzhen VisionSTOR Technologies Co., Ltd
88F490	Jetmobile Pte Ltd
8C0C90	Ruckus Wireless
8C3330	EmFirst Co., Ltd.
8C5AF0	Exeltech Solar Products
8C5D60	UCI Corporation Co.,Ltd.
8C6D50	SHENZHEN MTC CO LTD
8CC7D0	zhejiang ebang communication co.,ltd
8CFDF0	Qualcomm Inc.
901900	SCS SA
903AA0	Nokia
907240	Apple, Inc.
907990	Benchmark Electronics Romania SRL
908260	IEEE 1904.1 Working Group
909060	RSI VIDEO TECHNOLOGIES
909DE0	Newland Design + Assoc. Inc.
90A210	United Telecoms Ltd
90B8D0	Joyent, Inc.
90E0F0	IEEE 1722a Working Group
90EA60	SPI Lasers Ltd
90F1B0	Hangzhou Anheng Info&Tech CO.,LTD
940070	Nokia Corporation
9436E0	Sichuan Bihong Broadcast &amp; Television New Technologies Co.,Ltd
943AF0	Nokia Corporation
945330	Hon Hai Precision Ind. Co.,Ltd.
948D50	Beamex Oy Ab
9495A0	Google, Inc.
94C150	2Wire Inc
94C960	Zhongshan B&T technology.co.,ltd
94DE80	GIGA-BYTE TECHNOLOGY CO.,LTD.
94E0D0	HealthStream Taiwan Inc.
94F720	Tianjin Deviser Electronics Instrument Co., Ltd
9803A0	ABB n.v. Power Quality Products
983000	Beijing KEMACOM Technologies Co., Ltd.
985BB0	KMDATA INC.
987770	Pep Digital Technology (Guangzhou) Co., Ltd
989080	Linkpower Network System Inc Ltd.
98A7B0	MCST ZAO
98DED0	TP-LINK TECHNOLOGIES CO.,LTD.
98F170	Murata Manufacturing Co., Ltd.
98FFD0	Lenovo Mobile Communication Technology Ltd.
9C2840	Discovery Technology,LTD..
9C2A70	Hon Hai Precision Ind. Co.,Ltd.
9C4E20	Cisco Systems, Inc
9C65B0	Samsung Electronics Co.,Ltd
9C6650	Glodio Technolies Co.,Ltd Tianjin Branch
9C8BA0	Apple, Inc.
9C99A0	Xiaomi Communications Co Ltd
9CA5C0	vivo Mobile Communication Co., Ltd.
9CB6D0	Rivet Networks
9CBEE0	Biosoundlab Co., Ltd.
9CE230	JULONG CO,.LTD.
A00460	Netgear
A01290	Avaya Inc
A036F0	Comprehensive Power
A040A0	Netgear
A06090	Samsung Electronics Co.,Ltd
A06A00	Verilink Corporation
A06E50	Nanotek Elektronik Sistemler Ltd. Sti.
A0A130	DLI Taiwan Branch office
A0B100	ShenZhen Cando Electronics Co.,Ltd
A0BF50	S.C. ADD-PRODUCTION S.R.L.
A0EC80	zte corporation
A0F450	HTC Corporation
A0F9E0	VIVATEL COMPANY LIMITED
A40130	ABIsystems Co., LTD
A41BC0	Fastec Imaging Corporation
A42940	Shenzhen YOUHUA Technology Co., Ltd
A42BB0	TP-LINK TECHNOLOGIES CO.,LTD.
A45630	Cisco Systems, Inc
A45E60	Apple, Inc.
A47760	Nokia Corporation
A4AD00	Ragsdale Technology
A4B980	Parking BOXX Inc.
A4CAA0	HUAWEI TECHNOLOGIES CO.,LTD
A4DB30	Liteon Technology Corporation
A4DE50	Total Walther GmbH
A4F7D0	LAN Accessories Co., Ltd.
A80180	IMAGO Technologies GmbH
A80600	Samsung Electronics Co.,Ltd
A85840	Cambridge Industries(Group) Co.,Ltd.
A85BB0	Shenzhen Dehoo Technology Co.,Ltd
A895B0	Aker Subsea Ltd
A89B10	inMotion Ltd.
A8BB50	WiZ IoT Company Limited
A8CE90	Cvc
A8F470	Fujian Newland Communication Science Technologies Co.,Ltd.
A8F7E0	PLANET Technology Corporation
A8FB70	WiseSec L.t.d
AA0000	DEC				obsolete
AC3870	Lenovo Mobile Communication Technology Ltd.
AC5D10	Pace Americas
AC83F0	ImmediaTV Corporation
ACA430	Peerless AV
ACA9A0	Audioengine, Ltd.
ACD180	Crexendo Business Solutions, Inc.
ACE010	Liteon Technology Corporation
ACE5F0	Doppler Labs
ACEC80	ARRIS Group, Inc.
B03850	Nanjing CAS-ZDC IOT SYSTEM CO.,LTD
B03EB0	MICRODIA Ltd.
B07870	Wi-NEXT, Inc.
B078F0	Beijing HuaqinWorld Technology Co.,Ltd.
B07E70	Zadara Storage Ltd.
B08900	HUAWEI TECHNOLOGIES CO.,LTD
B0C090	Chicony Electronics Co., Ltd.
B0DA00	CERA ELECTRONIQUE
B41780	DTI Group Ltd
B45570	Borea
B45D50	Aruba Networks
B48910	Coster T.E. S.P.A.
B4C810	UMPI Elettronica
B4E9B0	Cisco Systems, Inc
B82410	Magneti Marelli Slovakia s.r.o.
B824F0	SOYO Technology Development Co., Ltd.
B82CA0	Honeywell HomMed
B85510	Zioncom Electronics (Shenzhen) Ltd.
B85810	NUMERA, INC.
B875C0	PayPal, Inc.
B88A60	Intel Corporate
B898B0	Atlona Inc.
B899B0	Cohere Technologies
B8A3E0	BenRui Technology Co.,Ltd
B8F080	SPS, INC.
B8F4D0	Herrmann Ultraschalltechnik GmbH & Co. Kg
BC0200	Stewart Audio
BC25E0	HUAWEI TECHNOLOGIES CO.,LTD
BC25F0	3D Display Technologies Co., Ltd.
BC3400	IEEE Registration Authority
BC4100	CODACO ELECTRONIC s.r.o.
BC44B0	Elastifile
BC4760	Samsung Electronics Co.,Ltd
BC6010	Qingdao Hisense Communications Co.,Ltd.
BC7670	HUAWEI TECHNOLOGIES CO.,LTD
BC9680	Shenzhen Gongjin Electronics Co.,Ltd
BCA920	Apple, Inc.
BCC810	Cisco SPVTG
BCD940	ASR Co,.Ltd.
C00000	Western Digital (may be reversed 00 00 C0?)
C02250	Private
C03580	A&R TECH
C04A00	TP-LINK TECHNOLOGIES CO.,LTD.
C07E40	SHENZHEN XDK COMMUNICATION EQUIPMENT CO.,LTD
C08170	Effigis GeoSolutions
C08C60	Cisco Systems, Inc
C0BFC0	HUAWEI TECHNOLOGIES CO.,LTD
C0C1C0	Cisco-Linksys, LLC
C0C520	Ruckus Wireless
C0D3C0	Samsung Electronics Co.,Ltd
C0EE40	Laird Technologies
C40880	Shenzhen UTEPO Tech Co., Ltd.
C411E0	Bull Group Co., Ltd
C42F90	Hangzhou Hikvision Digital Technology Co.,Ltd.
C44AD0	FIREFLIES SYSTEMS
C45600	Galleon Embedded Computing
C47130	Fon Technology S.L.
C49300	8devices
C49380	Speedytel technology
C4E510	Mechatro, Inc.
C4EF70	Home Skinovations
C80210	LG Innotek
C83870	Samsung Electronics Co.,Ltd
C86000	ASUSTek COMPUTER INC.
C88550	Apple, Inc.
C8A030	Texas Instruments
C8A620	Nebula, Inc
C8AF40	marco Systemanalyse und Entwicklung GmbH
C8D590	FLIGHT DATA SYSTEMS
C8E130	Milkyway Group Ltd
C8F230	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
C8F650	Apple, Inc.
C8FE30	Bejing DAYO Mobile Communication Technology Ltd.
CC0080	BETTINI SRL
CC08E0	Apple, Inc.
CC1BE0	IEEE Registration Authority
CC2A80	Micro-Biz intelligence solutions Co.,Ltd
CC3080	VAIO Corporation
CC3540	Technicolor CH USA Inc.
CC69B0	Global Traffic Technologies, LLC
CC6DA0	Roku, Inc.
CC7A30	CMAX Wireless Co., Ltd.
CC9470	Kinestral Technologies, Inc.
CC96A0	HUAWEI TECHNOLOGIES CO.,LTD
CC9E00	Nintendo Co., Ltd.
CCA260	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
CCC760	Apple, Inc.
CCCE40	Janteq Corp
CCF8F0	Xi'an HISU Multimedia Technology Co.,Ltd.
CCFA00	LG Electronics (Mobile Communications)
D00790	Texas Instruments
D03110	Ingenic Semiconductor Co.,Ltd
D062A0	China Essence Technology (Zhumadian) Co., Ltd.
D069D0	Verto Medical Solutions, LLC
D07650	IEEE Registration Authority
D084B0	Sagemcom Broadband SAS
D09380	Ducere Technologies Pvt. Ltd.
D09C30	Foster Electric Company, Limited
D0BB80	SHL Telemedicine International Ltd.
D0C7C0	TP-LINK TECHNOLOGIES CO.,LTD.
D0E140	Apple, Inc.
D0FF50	Texas Instruments
D41090	iNFORM Systems AG
D440F0	HUAWEI TECHNOLOGIES CO.,LTD
D44F80	Kemper Digital GmbH
D45C70	Wi-Fi Alliance
D46D50	Cisco Systems, Inc
D47BB0	ASKEY COMPUTER CORP
D48890	Samsung Electronics Co.,Ltd
D490E0	Wachendorff Automation GmbH & Co KG
D493A0	Fidelix Oy
D49A20	Apple, Inc.
D4B110	HUAWEI TECHNOLOGIES CO.,LTD
D4C8B0	Prime Electronics & Satellitics Inc.
D825B0	Rockeetech Systems Co.,Ltd.
D84710	Sichuan Changhong Electric Ltd.
D860B0	bioMérieux Italia S.p.A.
D86960	Steinsvik
D896E0	Alibaba Cloud Computing Ltd.
D89760	C2 Development, Inc.
D8AE90	Itibia Technologies
D8B190	Cisco Systems, Inc
D8F710	Libre Wireless Technologies Inc.
DC0D30	Shenzhen Feasycom Technology Co., Ltd.
DC3350	TechSAT GmbH
DC5360	Intel Corporate
DC6F00	Livescribe, Inc.
DCBF90	HUIZHOU QIAOXING TELECOMMUNICATION INDUSTRY CO.,LTD.
DCDB70	Tonfunk Systementwicklung und Service GmbH
DCF090	Private
DCF110	Nokia Corporation
E00370	ShenZhen Continental Wireless Technology Co., Ltd.
E02630	Intrigue Technologies, Inc.
E031D0	SZ Telstar CO., LTD
E03560	Challenger Supply Holdings, LLC
E05B70	Innovid, Co., Ltd.
E06290	Jinan Jovision Science & Technology Co., Ltd.
E076D0	AMPAK Technology, Inc.
E0A670	Nokia Corporation
E0A700	Verkada Inc
E0AAB0	GENERAL VISION ELECTRONICS CO. LTD.
E0DB10	Samsung Electronics Co.,Ltd
E0DCA0	Siemens Industrial Automation Products Ltd Chengdu
E0DDC0	vivo Mobile Communication Co., Ltd.
E44790	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
E45740	ARRIS Group, Inc.
E497F0	Shanghai VLC Technologies Ltd. Co.
E4A7A0	Intel Corporate
E4CE70	Health & Life co., Ltd.
E4EC10	Nokia Corporation
E80410	Private
E84040	Cisco Systems, Inc
E84DD0	HUAWEI TECHNOLOGIES CO.,LTD
E85BF0	Imaging Diagnostics
E88E60	NSD Corporation
E89120	Motorola Mobility LLC, a Lenovo Company
E8BA70	Cisco Systems, Inc
E8C320	Austco Communication Systems Pty Ltd
E8D4E0	Beijing BenyWave Technology Co., Ltd.
E8E770	Warp9 Tech Design, Inc.
E8F1B0	Sagemcom Broadband SAS
E8FC60	ELCOM Innovations Private Limited
E8FD90	Turbostor
EC1000	Enance Source Co., Ltd.	PC clones(?)
EC1120	FloDesign Wind Turbine Corporation
EC2280	D-Link International
EC2AF0	Ypsomed AG
EC3BF0	Novelsat
EC42F0	ADL Embedded Solutions, Inc.
EC4670	Meinberg Funkuhren GmbH & Co. KG
EC60E0	AVI-ON LABS
ECAAA0	PEGATRON CORPORATION
ECB870	Beijing Heweinet Technology Co.,Ltd.
ECCB30	HUAWEI TECHNOLOGIES CO.,LTD
ECD040	GEA Farm Technologies GmbH
ECD950	IRT SA
F015A0	KyungDong One Co., Ltd.
F03E90	Ruckus Wireless
F06130	Advantage Pharmacy Services, LLC
F077D0	Xcellen
F07960	Apple, Inc.
F0C850	HUAWEI TECHNOLOGIES CO.,LTD
F0DB30	Yottabyte
F0EBD0	Shanghai Feixun Communication Co.,Ltd.
F0EE10	Samsung Electronics Co.,Ltd
F0F260	Mobitec AB
F0FDA0	Acurix Networks Pty Ltd
F43D80	FAG Industrial Services GmbH
F44450	BND Co., Ltd.
F44D30	Elitegroup Computer Systems Co.,Ltd.
F455E0	Niceway CNC Technology Co.,Ltd.Hunan Province
F462D0	Not for Radio, LLC
F48C50	Intel Corporate
F4CD90	Vispiron Rotec GmbH
F80BD0	Datang Telecom communication terminal (Tianjin) Co., Ltd.
F80D60	CANON INC.
F85A00	Sanford LP
F89550	Proton Products Chengdu Ltd
F8A9D0	LG Electronics (Mobile Communications)
FC07A0	LRE Medical GmbH
FC1910	Samsung Electronics Co.,Ltd
FC19D0	Cloud Vision Networks Technology Co.,Ltd.
FC1FC0	Eurecam
FC2F40	Calxeda, Inc.
FC5090	SIMEX Sp. z o.o.
FC6DC0	BME CORPORATION
FC8F90	Samsung Electronics Co.,Ltd
FCA9B0	MIARTECH (SHANGHAI),INC.
