00000B	MATRIX CORPORATION
00E05B	WEST END SYSTEMS CORP.
00E06B	W&G SPECIAL PRODUCTS
00E07B	BAY NETWORKS
00E08B	QLogic Corporation
00E09B	ENGAGE NETWORKS, INC.
00E0AB	DIMAT S.A.
00E0BB	NBX CORPORATION
00E0CB	RESON, INC.
00E0DB	ViaVideo Communications, Inc.
00E0EB	DIGICOM SYSTEMS, INCORPORATED
00E0FB	LEIGHTRONIX, INC.
00E8AB	Meggitt Training Systems, Inc.
00F28B	Cisco Systems, Inc
00F3DB	WOO Sports
00FA3B	CLOOS ELECTRONIC GMBH
02E03B	Prominet Corporation		Gigabit Ethernet Switch
042BBB	PicoCELA, Inc.
044F8B	Adapteva, Inc.
045D4B	Sony Corporation
047D7B	QUANTA COMPUTER INC.
04946B	TECNO MOBILE LIMITED
04C05B	Tigo Energy
04DEDB	Rockport Networks Inc
08000B	Unisys also Ascom-Timeplex (former Unisys subsidiary)
08001B	Data General
08002B	Dec
08003B	Torus Systems
08004B	Planning Research Corp.
08005B	VTA TECHNOLOGIES INC.
08006B	ACCEL TECHNOLOGIES INC.
08007B	SANYO ELECTRIC CO. LTD.
08008B	Pyramid
080C0B	SysMik GmbH Dresden
081DFB	Shanghai Mexon Communication Technology Co.,Ltd
081FEB	Bincube
08863B	Belkin International Inc.
089B4B	iKuai Networks
08A12B	ShenZhen EZL Technology Co., Ltd
08CD9B	samtec automotive electronics & software GmbH
08D34B	Techman Electronics (Changshu) Co., Ltd.
08D42B	Samsung Electronics Co.,Ltd
08EE8B	Samsung Electronics Co.,Ltd
08EF3B	MCS Logic Inc.
08EFAB	SAYME WIRELESS SENSOR NETWORK
0C130B	Uniqoteq Ltd.
0C57EB	Mueller Systems
0C8DDB	Cisco Meraki
0C93FB	BNS Solutions
0CCDFB	EDIC Systems Inc.
100E2B	NEC CASIO Mobile Communications
102F6B	Microsoft Corporation
105C3B	Perma-Pipe, Inc.
10604B	Hewlett Packard
1062EB	D-Link International
10785B	Actiontec Electronics, Inc
108A1B	RAONIX Inc.
10954B	Megabyte Ltd.
10A13B	FUJIKURA RUBBER LTD.
10B26B	base Co.,Ltd.
10C37B	ASUSTek COMPUTER INC.
10CC1B	Liverock technologies,INC
10CCDB	AXIMUM PRODUITS ELECTRONIQUES
10D0AB	zte corporation
10DF8B	Shenzhen CareDear Communication Technology Co.,Ltd
10F3DB	Gridco Systems, Inc.
140C5B	PLNetworks
14144B	FUJIAN STAR-NET COMMUNICATION CO.,LTD
1422DB	eero inc.
142D8B	Incipio Technologies, Inc
14358B	Mediabridge Products, LLC.
14373B	PROCOM Systems
14488B	Shenzhen Doov Technology Co.,Ltd
146A0B	Cypress Electronics Limited
14825B	Hefei Radio Communication Technology Co., Ltd
14A78B	Zhejiang Dahua Technology Co., Ltd.
14A86B	ShenZhen Telacom Science&Technology Co., Ltd
14AEDB	VTech Telecommunications Ltd.
14EDBB	2Wire Inc
1800DB	Fitbit Inc.
181BEB	Actiontec Electronics, Inc
182A7B	Nintendo Co., Ltd.
1868CB	Hangzhou Hikvision Digital Technology Co.,Ltd.
18895B	Samsung Electronics Co.,Ltd
18A99B	Dell Inc.
18AEBB	Siemens Convergence Creators GmbH&Co.KG
18F76B	Zhejiang Winsight Technology CO.,LTD
18FB7B	Dell Inc.
1C497B	Gemtek Technology Co., Ltd.
1C5A0B	Tegile Systems
1C5A6B	Philips Electronics Nederland BV
1C5F2B	D-Link International
1C9ECB	Beijing Nari Smartchip Microelectronics Company Limited
1CE62B	Apple, Inc.
1CEA1B	Nokia
1CFCBB	Realfiction ApS
2031EB	Hdsn
204E6B	Axxana(israel) ltd
20780B	Delta Faucet Company
20A99B	Microsoft Corporation
20AA4B	Cisco-Linksys, LLC
20BFDB	Dvl
20C6EB	Panasonic Corporation AVC Networks Company
20D5AB	Korea Infocom Co.,Ltd.
20DBAB	Samsung Electronics Co., Ltd.
20F41B	Shenzhen Bilian electronic CO.,LTD
20FABB	Cambridge Executive Limited
20FEDB	M2M Solution S.A.S.
241EEB	Apple, Inc.
2421AB	Sony Mobile Communications AB
24497B	Innovative Converged Devices Inc
244E7B	IEEE Registration Authority
24590B	White Sky Inc. Limited
246AAB	IT-IS International
249EAB	HUAWEI TECHNOLOGIES CO.,LTD
24DA9B	Motorola Mobility LLC, a Lenovo Company
24FD5B	SmartThings, Inc.
280E8B	Beijing Spirit Technology Development Co., Ltd.
28101B	Magnacom
28107B	D-Link International
285AEB	Apple, Inc.
285FDB	HUAWEI TECHNOLOGIES CO.,LTD
28656B	Keystone Microtech Corporation
287CDB	Hefei  Toycloud Technology Co.,ltd
28987B	Samsung Electronics Co.,Ltd
289A4B	SteelSeries ApS
28A02B	Apple, Inc.
28A1EB	ETEK TECHNOLOGY (SHENZHEN) CO.,LTD
28A24B	Juniper Networks
28A6DB	HUAWEI TECHNOLOGIES CO.,LTD
28B3AB	Genmark Automation
28BE9B	Technicolor CH USA Inc.
28CBEB	One
2C010B	NASCENT Technology, LLC - RemKon
2C09CB	COBS AB
2C200B	Apple, Inc.
2C228B	CTR SRL
2C402B	Smart iBlue Technology Limited
2C441B	Spectrum Medical Limited
2C67FB	ShenZhen Zhengjili Electronics Co., LTD
2CABEB	Cisco Systems, Inc
2CAE2B	Samsung Electronics Co.,Ltd
2CEDEB	Alpheus Digital Company Limited
30215B	Shenzhen Ostar Display Electronic Co.,Ltd
30493B	Nanjing Z-Com Wireless Co.,Ltd
3052CB	Liteon Technology Corporation
30595B	streamnow AG
30636B	Apple, Inc.
30694B	Rim
3077CB	Maike Industry(Shenzhen)CO.,LTD
30786B	TIANJIN Golden Pentagon Electronics Co., Ltd.
307ECB	Sfr
308CFB	Dropcam
3090AB	Apple, Inc.
3096FB	Samsung Electronics Co.,Ltd
30A8DB	Sony Mobile Communications AB
30AE7B	Deqing Dusun Electron CO., LTD
30E4DB	Cisco Systems, Inc
34029B	CloudBerry Technologies Private Limited
3407FB	Ericsson AB
3417EB	Dell Inc.
341E6B	HUAWEI TECHNOLOGIES CO.,LTD
34363B	Apple, Inc.
345BBB	GD Midea Air-Conditioning Equipment Co.,Ltd.
348A7B	Samsung Electronics Co.,Ltd
3495DB	Logitec Corporation
3497FB	ADVANCED RF TECHNOLOGIES INC
349B5B	Maquet GmbH
34AA8B	Samsung Electronics Co.,Ltd
34D09B	MobilMAX Technology Inc.
34E70B	HAN Networks Co., Ltd
34ED0B	Shanghai XZ-COM.CO.,Ltd.
34EF8B	NTT Communications Corporation
34F39B	WizLAN Ltd.
380AAB	Formlabs
380E7B	V.P.S. Thai Co., Ltd
38256B	Microsoft Mobile Oy
38262B	UTran Technology
3863BB	Hewlett Packard
386BBB	ARRIS Group, Inc.
386C9B	Ivy Biomedical
3891FB	Xenox Holding BV
38A86B	Orga BV
38B1DB	Hon Hai Precision Ind. Co.,Ltd.
38B8EB	IEEE Registration Authority
38D40B	Samsung Electronics Co.,Ltd
38DBBB	Sunbow Telecom Co., Ltd.
3C05AB	Product Creation Studio
3C912B	Vexata Inc
3CA72B	MRV Communications (Networks) LTD
3CB15B	Avaya Inc
3CB72B	PLUMgrid Inc
3CCF5B	ICOMM HK LIMITED
3CD92B	Hewlett Packard
3CEAFB	NSE AG
40163B	Samsung Electronics Co.,Ltd
40270B	Mobileeco Co., Ltd
40406B	Icomera
404EEB	Higher Way Electronic Co., Ltd.
405A9B	Anovo
406AAB	Rim
407B1B	Mettle Networks Inc.
40987B	Aisino Corporation
40BC8B	itelio GmbH
40C8CB	AM Telecom co., Ltd.
4425BB	Bamboo Entertainment Corporation
4451DB	Raytheon BBN Technologies
4468AB	JUIN COMPANY, LIMITED
44700B	Iffu
4480EB	Motorola Mobility LLC, a Lenovo Company
4488CB	Camco Technologies NV
448A5B	Micro-Star INT'L CO., LTD.
4491DB	Shanghai Huaqin Telecom Technology Co.,Ltd
44962B	Aidon Oy
44C39B	OOO RUBEZH NPO
44C69B	Wuhan Feng Tian Information Network CO.,LTD
44DCCB	SEMINDIA SYSTEMS PVT LTD
4846FB	HUAWEI TECHNOLOGIES CO.,LTD
486DBB	Vestel Elektronik San ve Tic. A.Ş.
486EFB	Davit System Technology Co., Ltd.
487B6B	HUAWEI TECHNOLOGIES CO.,LTD
48BF6B	Apple, Inc.
48DCFB	Nokia Corporation
48F07B	ALPS ELECTRIC CO.,LTD.
4C17EB	Sagemcom Broadband SAS
4C63EB	Application Solutions (Electronics and Vision) Ltd
4CA74B	Alcatel Lucent
4CE1BB	Zhuhai HiFocus Technology Co., Ltd.
4CF45B	Blue Clover Devices
50016B	HUAWEI TECHNOLOGIES CO.,LTD
5001BB	Samsung Electronics Co.,Ltd
5006AB	Cisco Systems, Inc
5011EB	SilverNet Ltd
50206B	Emerson Climate Technologies Transportation Solutions
50252B	Nethra Imaging Incorporated
502A8B	Telekom Research and Development Sdn Bhd
50338B	Texas Instruments
5048EB	BEIJING HAIHEJINSHENG NETWORK TECHNOLOGY CO. LTD.
504B5B	CONTROLtronic GmbH
50795B	Interexport Telecomunicaciones S.A.
508ACB	SHENZHEN MAXMADE TECHNOLOGY CO., LTD.
509F3B	OI ELECTRIC CO.,LTD
50A72B	HUAWEI TECHNOLOGIES CO.,LTD
50FAAB	L-tek d.o.o.
5254AB	REALTEK (a Realtek 8029 based PCI Card)
541DFB	Freestyle Energy Ltd
54369B	1Verge Internet Technology (Beijing) Co., Ltd.
54466B	Shenzhen CZTIC Electronic Technology Co., Ltd
54511B	HUAWEI TECHNOLOGIES CO.,LTD
54847B	Digital Devices GmbH
54A31B	Shenzhen Linkworld Technology Co,.LTD
54A51B	HUAWEI TECHNOLOGIES CO.,LTD
54A54B	NSC Communications Siberia Ltd
5804CB	Tianjin Huisun Technology Co.,Ltd.
582BDB	Pax AB
58343B	Glovast Technology Ltd.
58493B	Palo Alto Networks
5850AB	TLS Corporation
58946B	Intel Corporate
589B0B	Shineway Technologies, Inc.
58C38B	Samsung Electronics Co.,Ltd
58CF4B	Lufkin Industries
58F67B	Xia Men UnionCore Technology LTD.
58FCDB	IEEE Registration Authority
5C0A5B	SAMSUNG ELECTRO MECHANICS CO., LTD.
5C0CBB	CELIZION Inc.
5C0E8B	Extreme Networks
5C353B	Compal Broadband Networks, Inc.
5C5EAB	Juniper Networks
5CA3EB	Lokel s.r.o.
5CB8CB	Allis Communications
5CD41B	UCZOON Technology Co., LTD
5CD4AB	Zektor
5CE8EB	Samsung Electronics Co.,Ltd
5CF4AB	ZyXEL Communications Corporation
60128B	CANON INC.
60334B	Apple, Inc.
603E7B	Gafachi, Inc.
6045CB	ASUSTek COMPUTER INC.
60699B	isepos GmbH
60812B	Custom Control Concepts
60843B	Soladigm, Inc.
608C2B	Hanson Technology
60C1CB	Fujian Great Power PLC Equipment Co.,Ltd
60CBFB	AirScape Inc.
64649B	Juniper Networks
64808B	VG Controls, Inc.
64A3CB	Apple, Inc.
681E8B	InfoSight Corporation
68234B	Nihon Dengyo Kousaku
685E6B	PowerRay Co., Ltd.
68644B	Apple, Inc.
68876B	INQ Mobile Limited
68967B	Apple, Inc.
68974B	Shenzhen Costar Electronics Co. Ltd.
68BDAB	Cisco Systems, Inc
68C90B	Texas Instruments
68E8EB	Linktel Technologies Co.,Ltd
6C22AB	Ainsworth Game Technology
6C3B6B	Routerboard.com
6C8CDB	Otus Technologies Ltd
6C98EB	Riverbed Technology, Inc.
6CAE8B	IBM Corporation
6CB56B	HUMAX Co., Ltd.
6CC26B	Apple, Inc.
6CECEB	Texas Instruments
70188B	Hon Hai Precision Ind. Co.,Ltd.
70288B	Samsung Electronics Co.,Ltd
702F4B	PolyVision Inc.
703ACB	Google, Inc.
704D7B	ASUSTek COMPUTER INC.
70661B	Sonova AG
7073CB	Apple, Inc.
7081EB	Apple, Inc.
709A0B	Italian Institute of Technology
70CA9B	Cisco Systems, Inc
74042B	Lenovo Mobile Communication (Wuhan) Company Limited
740EDB	Optowiz Co., Ltd
743E2B	Ruckus Wireless
743ECB	Gentrice tech
74614B	Chongqing Huijiatong Information Technology Co., Ltd.
74888B	ADB Broadband Italia
748F1B	MasterImage 3D
74B9EB	JinQianMao Technology Co.,Ltd.
74BADB	Longconn Electornics(shenzhen)Co.,Ltd
74C63B	AzureWave Technology Inc.
74D02B	ASUSTek COMPUTER INC.
74DE2B	Liteon Technology Corporation
74E50B	Intel Corporate
74F8DB	IEEE Registration Authority
781FDB	Samsung Electronics Co.,Ltd
782BCB	Dell Inc.
78303B	Stephen Technologies Co.,Limited
78312B	zte corporation
783D5B	TELNET Redes Inteligentes S.A.
78ABBB	Samsung Electronics Co.,Ltd
78B84B	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
78C4AB	Shenzhen Runsil Technology Co.,Ltd
78C6BB	Innovasic, Inc.
7C092B	Bekey A/S
7C11CB	HUAWEI TECHNOLOGIES CO.,LTD
7C6ADB	SafeTone Technology Co.,Ltd
7C738B	Cocoon Alarm Ltd
7C7B8B	Control Concepts, Inc.
7C9A9B	VSE valencia smart energy
7CA29B	D.SignT GmbH & Co. KG
7CB21B	Cisco SPVTG
7CB77B	Paradigm Electronics Inc
7CC8AB	Acro Associates, Inc.
7CE56B	ESEN Optoelectronics Technology Co.,Ltd.
80000B	Intel Corporate
80501B	Nokia Corporation
806C1B	Motorola Mobility LLC, a Lenovo Company
806C8B	KAESER KOMPRESSOREN AG
807D1B	Neosystem Co. Ltd.
80971B	Altenergy Power System,Inc.
809FAB	Fiberhome Telecommunication Technologies Co.,LTD
80A1AB	Intellisis
80BBEB	Satmap Systems Ltd
80C6AB	Technicolor CH USA Inc.
80D09B	HUAWEI TECHNOLOGIES CO.,LTD
80D18B	Hangzhou I'converge Technology Co.,Ltd
80F8EB	Raytight
80FA5B	CLEVO CO.
8425DB	Samsung Electronics Co.,Ltd
84262B	Nokia
842B2B	Dell Inc.
843A4B	Intel Corporate
84788B	Apple, Inc.
847BEB	Dell Inc.
84ACFB	Crouzet Automatismes
84BA3B	CANON INC.
88074B	LG Electronics (Mobile Communications)
88142B	Protonic Holland
88329B	SAMSUNG ELECTRO-MECHANICS(THAILAND)
883B8B	Cheering Connection Co. Ltd.
8851FB	Hewlett Packard
88795B	Konka Group Co., Ltd.
88D37B	FirmTek, LLC
88E3AB	HUAWEI TECHNOLOGIES CO.,LTD
8C088B	Remote Solution
8C11CB	ABUS Security-Center GmbH & Co. KG
8C579B	Wistron Neweb Corporation
8C598B	C Technologies AB
8C640B	Beyond Devices d.o.o.
8C7F3B	ARRIS Group, Inc.
8C873B	Leica Camera AG
8C8ABB	Beijing Orient View Technology Co., Ltd.
8CD17B	CG Mobile
8CEA1B	Edgecore Networks Corporation
9000DB	Samsung Electronics Co.,Ltd
90013B	Sagemcom Broadband SAS
900DCB	ARRIS Group, Inc.
90179B	Nanomegas
90342B	Gatekeeper Systems, Inc.
903D6B	Zicon Technology Corp.
903EAB	ARRIS Group, Inc.
904E2B	HUAWEI TECHNOLOGIES CO.,LTD
90507B	Advanced PANMOBIL Systems GmbH & Co. KG
906EBB	Hon Hai Precision Ind. Co.,Ltd.
90842B	LEGO System A/S
90AE1B	TP-LINK TECHNOLOGIES CO.,LTD.
90C99B	Recore Systems
90D11B	Palomar Medical Technologies
90D7EB	Texas Instruments
90DFFB	HOMERIDER SYSTEMS
90FB5B	Avaya Inc
94319B	Alphatronics BV
94772B	HUAWEI TECHNOLOGIES CO.,LTD
94C6EB	NOVA electronics, Inc.
9840BB	Dell Inc.
98541B	Intel Corporate
985AEB	Apple, Inc.
985E1B	ConversDigital Co., Ltd.
98C0EB	Global Regency Ltd
98D6BB	Apple, Inc.
98EECB	Wistron Infocomm (Zhongshan) Corporation
98F0AB	Apple, Inc.
98F8DB	Marini Impianti Industriali s.r.l.
9C04EB	Apple, Inc.
9C061B	Hangzhou H3C Technologies Co., Limited
9C13AB	Chanson Water Co., Ltd.
9C207B	Apple, Inc.
9C35EB	Apple, Inc.
9C4A7B	Nokia Corporation
9C62AB	Sumavision Technologies Co.,Ltd
9C685B	Octonion SA
9CD24B	zte corporation
9CD35B	Samsung Electronics Co.,Ltd
9CD48B	Innolux Technology Europe BV
9CD9CB	Lesira Manufacturing Pty Ltd
9CF8DB	shenzhen eyunmei technology co,.ltd
A012DB	TABUCHI ELECTRIC CO.,LTD
A0133B	HiTi Digital, Inc.
A013CB	Fiberhome Telecommunication Technologies Co.,LTD
A01E0B	MINIX Technology Limited
A0231B	TeleComp R&D Corp.
A03B1B	Inspire Tech
A03E6B	IEEE Registration Authority
A043DB	Sitael S.p.A.
A04C5B	Shenzhen TINNO Mobile Technology Corp.
A05E6B	MELPER Co., Ltd.
A084CB	SonicSensory,Inc.
A08C9B	Xtreme Technologies Corp
A0999B	Apple, Inc.
A0A33B	HUAWEI TECHNOLOGIES CO.,LTD
A0AB1B	D-Link International
A0CC2B	Murata Manufacturing Co., Ltd.
A0CF5B	Cisco Systems, Inc
A0E4CB	ZyXEL Communications Corporation
A0E9DB	Ningbo FreeWings Technologies Co.,Ltd
A409CB	Alfred Kaercher GmbH &amp; Co KG
A4251B	Avaya Inc
A4466B	EOC Technology
A4561B	MCOT Corporation
A4856B	Q Electronics Ltd
A4895B	ARK INFOSOLUTIONS PVT LTD
A48CDB	Lenovo
A48D3B	Vizio, Inc
A497BB	Hitachi Industrial Equipment Systems Co.,Ltd
A49EDB	AutoCrib, Inc.
A4BADB	Dell Inc.
A4C2AB	Hangzhou LEAD-IT Information & Technology Co.,Ltd
A824EB	ZAO NPO Introtest
A88D7B	SunDroid Global limited.
A8CA7B	HUAWEI TECHNOLOGIES CO.,LTD
A8F94B	Eltex Enterprise Ltd.
AC040B	Peloton Interactive, Inc
AC0D1B	LG Electronics (Mobile Communications)
AC1F6B	Super Micro Computer, Inc.
AC220B	ASUSTek COMPUTER INC.
AC34CB	Shanhai GBCOM Communication Technology Co. Ltd
AC3C0B	Apple, Inc.
AC583B	Human Assembler, Inc.
AC587B	JCT Healthcare
AC6FBB	TATUNG Technology Inc.
ACBD0B	IMAC CO.,LTD
ACC51B	Zhuhai Pantum Electronics Co., Ltd.
ACCAAB	Virtual Electric Inc
ACE64B	Shenzhen Baojia Battery Technology Co., Ltd.
ACE77B	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
ACE87B	HUAWEI TECHNOLOGIES CO.,LTD
ACEE3B	6harmonics Inc
B0B32B	Slican Sp. z o.o.
B0C95B	Beijing Symtech CO.,LTD
B0EE7B	Roku, Inc
B0FAEB	Cisco Systems, Inc
B43E3B	Viableware, Inc
B4827B	AKG Acoustics GmbH
B49D0B	Bq
B4A82B	Histar Digital Electronics Co., Ltd.
B4AE2B	Microsoft
B4CFDB	Shenzhen Jiuzhou Electric Co.,LTD
B4DF3B	Chromlech
B4E1EB	Private
B4F0AB	Apple, Inc.
B805AB	zte corporation
B816DB	CHANT SINCERE CO.,LTD
B827EB	Raspberry Pi Foundation
B8288B	Parker Hannifin Manufacturing (UK) Ltd
B83A7B	Worldplay (Canada) Inc.
B85E7B	Samsung Electronics Co.,Ltd
B8653B	Bolymin, Inc.
B8B2EB	Googol Technology (HK) Limited
B8BC1B	HUAWEI TECHNOLOGIES CO.,LTD
B8D50B	Sunitec Enterprise Co.,Ltd
B8DF6B	SpotCam Co., Ltd.
BC0F2B	FORTUNE TECHGROUP CO.,LTD
BC2B6B	Beijing Haier IC Design Co.,Ltd
BC305B	Dell Inc.
BC4DFB	Hitron Technologies. Inc
BC644B	ARRIS Group, Inc.
BC926B	Apple, Inc.
BCADAB	Avaya Inc
BCC6DB	Nokia Corporation
BCEA2B	CityCom GmbH
BCEE7B	ASUSTek COMPUTER INC.
C01E9B	Pixavi AS
C0626B	Cisco Systems, Inc
C0885B	SnD Tech Co., Ltd.
C0A0BB	D-Link International
C0EEFB	OnePlus Tech (Shenzhen) Ltd
C0F2FB	Apple, Inc.
C4047B	Shenzhen YOUHUA Technology Co., Ltd
C40ACB	Cisco Systems, Inc
C40BCB	Xiaomi Communications Co Ltd
C4198B	Dominion Voting Systems Corporation
C4346B	Hewlett Packard
C449BB	MITSUMI ELECTRIC CO.,LTD.
C4626B	ZPT Vigantice
C4700B	GUANGZHOU CHIP TECHNOLOGIES CO.,LTD
C477AB	Beijing ASU Tech Co.,Ltd
C81B6B	Innova Security
C8334B	Apple, Inc.
C83A6B	Roku, Inc
C8755B	Quantify Technology Pty. Ltd.
C8778B	Themis Computer
C87B5B	zte corporation
C8873B	Net Optics
C894BB	HUAWEI TECHNOLOGIES CO.,LTD
C8D10B	Nokia Corporation
C8E0EB	Apple, Inc.
C8F36B	Yamato Scale Co.,Ltd.
CC051B	Samsung Electronics Co.,Ltd
CC07AB	Samsung Electronics Co.,Ltd
CC187B	Manzanita Systems, Inc.
CC33BB	Sagemcom Broadband SAS
CC37AB	Edgecore Networks Corportation
CC4BFB	Hellberg Safety AB
CC60BB	Empower RF Systems
CC78AB	Texas Instruments
CC82EB	KYOCERA CORPORATION
CC912B	TE Connectivity Touch Solutions
CCB3AB	shenzhen Biocare Bio-Medical Equipment Co.,Ltd.
CCC62B	Tri-Systems Corporation
CCD29B	Shenzhen Bopengfa Elec&Technology CO.,Ltd
D0034B	Apple, Inc.
D00AAB	Yokogawa Digital Computer Corporation
D01CBB	Beijing Ctimes Digital Technology Co., Ltd.
D023DB	Apple, Inc.
D0498B	ZOOM SERVER
D0577B	Intel Corporate
D0667B	Samsung Electronics Co.,Ltd
D09DAB	TCT mobile ltd
D0D04B	HUAWEI TECHNOLOGIES CO.,LTD
D0E40B	Wearable Inc.
D0F0DB	Ericsson
D0F73B	Helmut Mauell GmbH Werk Weida
D412BB	Quadrant Components Inc. Ltd
D436DB	Jiangsu Toppower Automotive Electronics Co., Ltd
D4970B	Xiaomi Communications Co Ltd
D4E90B	CVT CO.,LTD
D8182B	Conti Temic Microelectronic GmbH
D82D9B	Shenzhen G.Credit Communication Technology Co., Ltd
D8452B	Integrated Device Technology (Malaysia) Sdn. Bhd.
D8490B	HUAWEI TECHNOLOGIES CO.,LTD
D85DFB	Private
D862DB	Eno Inc.
D88A3B	Unit-Em
D8973B	Artesyn Embedded Technologies
D8AF3B	Hangzhou Bigbright Integrated communications system Co.,Ltd
D8C3FB	Detracom
D8D1CB	Apple, Inc.
D8E72B	NetScout Systems, Inc.
DC15DB	Ge Ruili Intelligent Technology ( Beijing ) Co., Ltd.
DC2DCB	Beijing Unis HengYue Technology Co., Ltd.
DC825B	JANUS, spol. s r.o.
DC9FDB	Ubiquiti Networks Inc.
DCC0DB	Shenzhen Kaiboer Technology Co., Ltd.
DCC0EB	ASSA ABLOY CÔTE PICARDE
DCC64B	HUAWEI TECHNOLOGIES CO.,LTD
E0071B	Hewlett Packard Enterprise
E01D3B	Cambridge Industries(Group) Co.,Ltd.
E03C5B	SHENZHEN JIAXINJIE ELECTRON CO.,LTD
E043DB	Shenzhen ViewAt Technology Co.,Ltd.
E0508B	Zhejiang Dahua Technology Co., Ltd.
E064BB	DigiView S.r.l.
E0ACCB	Apple, Inc.
E0AF4B	Pluribus Networks, Inc.
E0E7BB	Nureva, Inc.
E0EE1B	Panasonic Automotive Systems Company of America
E4029B	Intel Corporate
E4115B	Hewlett Packard
E4186B	ZyXEL Communications Corporation
E41C4B	V2 TECHNOLOGY, INC.
E432CB	Samsung Electronics Co.,Ltd
E435FB	Sabre Technology (Hull) Ltd
E4776B	AARTESYS AG
E47DEB	Shanghai Notion Information Technology CO.,LTD.
E492FB	Samsung Electronics Co.,Ltd
E4C62B	Airware
E4E4AB	Apple, Inc.
E8040B	Apple, Inc.
E8088B	HUAWEI TECHNOLOGIES CO.,LTD
E8162B	IDEO Security Co., Ltd.
E83EFB	GEODESIC LTD.
E8508B	SAMSUNG ELECTRO-MECHANICS(THAILAND)
E85B5B	LG ELECTRONICS INC
E85D6B	Luminate Wireless
E8D11B	ASKEY COMPUTER CORP
EC086B	TP-LINK TECHNOLOGIES CO.,LTD.
EC107B	Samsung Electronics Co.,Ltd
EC13DB	Juniper Networks
EC237B	zte corporation
EC26FB	TECC CO.,LTD.
EC438B	Yaptv
EC71DB	Shenzhen Baichuan Digital Technology Co., Ltd.
EC9B5B	Nokia Corporation
ECA29B	Kemppi Oy
ECA86B	Elitegroup Computer Systems Co.,Ltd.
ECE09B	Samsung Electronics Co.,Ltd
ECE90B	SISTEMA SOLUCOES ELETRONICAS LTDA - EASYTECH
ECF35B	Nokia Corporation
ECF4BB	Dell Inc.
ECF72B	HD DIGITAL TECH CO., LTD.
F0022B	Chrontel
F0182B	LG Chem
F03A4B	Bloombase, Inc.
F0407B	Fiberhome Telecommunication Technologies Co.,LTD
F04A2B	PYRAMID Computer GmbH
F05B7B	Samsung Electronics Co.,Ltd
F07BCB	Hon Hai Precision Ind. Co.,Ltd.
F08CFB	Fiberhome Telecommunication Technologies Co.,LTD
F08EDB	VeloCloud Networks
F09CBB	RaonThink Inc.
F0B6EB	Poslab Technology Co., Ltd.
F0EEBB	VIPAR GmbH
F0FE6B	Shanghai High-Flying Electronics Technology Co., Ltd
F40F1B	Cisco Systems, Inc
F40F9B	Wavelink
F41F0B	YAMABISHI Corporation
F450EB	Telechips Inc
F45EAB	Texas Instruments
F470AB	vivo Mobile Communication Co., Ltd.
F4D9FB	Samsung Electronics Co.,Ltd
F4E3FB	HUAWEI TECHNOLOGIES CO.,LTD
F4FD2B	ZOYI Company
F80BCB	Cisco Systems, Inc
F82EDB	RTW GmbH & Co. KG
F82F5B	eGauge Systems LLC
F842FB	Yasuda Joho Co.,ltd.
F8769B	Neopis Co., Ltd.
F8E4FB	Actiontec Electronics, Inc
F8FF0B	Electronic Technology Inc.
FC0F4B	Texas Instruments
FC372B	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
FC3FAB	Henan Lanxin Technology Co., Ltd
FC3FDB	Hewlett Packard
FC790B	Hitachi High Technologies America, Inc.
FC923B	Nokia Corporation
FCE1FB	Array Networks
FCFBFB	Cisco Systems, Inc
