00000D	FIBRONICS LTD.
00DD0D	UNGERMANN-BASS INC.
00E00D	RADIANT SYSTEMS
00E01D	WebTV NETWORKS, INC.
00E02D	InnoMediaLogic, Inc.
00E03D	FOCON ELECTRONIC SYSTEMS A/S
00E04D	INTERNET INITIATIVE JAPAN, INC
00E05D	UNITEC CO., LTD.
00E06D	COMPUWARE CORPORATION
00E07D	Encore (Netronix?)		10/100 PCI Fast ethernet card
00E08D	PRESSURE SYSTEMS, INC.
00E09D	SARNOFF CORPORATION
00E0AD	EES TECHNOLOGY, LTD.
00E0BD	INTERFACE SYSTEMS, INC.
00E0CD	SAAB SENSIS CORPORATION
00E0DD	Zenith Electronics Corporation
00E0ED	New Link
00E0FD	A-TREND TECHNOLOGY CO., LTD.
00E16D	Cisco Systems, Inc
00EB2D	Sony Mobile Communications AB
00EEBD	HTC Corporation
00FC8D	Hitron Technologies. Inc
044BED	Apple, Inc.
046C9D	Cisco Systems, Inc
04BF6D	ZyXEL Communications Corporation
04CB1D	Traka plc
04F17D	Tarana Wireless
04FE8D	HUAWEI TECHNOLOGIES CO.,LTD
08000D	ICL (International Computers, Ltd.)
08001D	ABLE COMMUNICATIONS INC.
08002D	LAN-TEC INC.
08003D	Cadnetix
08004D	CORVUS SYSTEMS INC.
08005D	GOULD INC.
08006D	WHITECHAPEL COMPUTER WORKS
08008D	XyVision			XyVision machines
0805CD	DongGuang EnMai Electronic Product Co.Ltd.
08373D	Samsung Electronics Co.,Ltd
083E5D	Sagemcom Broadband SAS
085DDD	MERCURY CORPORATION
0896AD	Cisco Systems, Inc
08EBED	World Elite Technology Co.,LTD
0C3CCD	Universal Global Scientific Industrial Co., Ltd.
0C469D	MS Sedco
0C473D	Hitron Technologies. Inc
0C715D	Samsung Electronics Co.,Ltd
0C75BD	Cisco Systems, Inc
0C8BFD	Intel Corporate
0CCB8D	ASCO Numatics GmbH
0CD6BD	HUAWEI TECHNOLOGIES CO.,LTD
1000FD	LaonPeople
104A7D	Intel Corporate
109ADD	Apple, Inc.
10FEED	TP-LINK TECHNOLOGIES CO.,LTD.
141BBD	Volex Inc.
142FFD	LT SECURITY INC
1489FD	Samsung Electronics Co.,Ltd
14987D	Technicolor CH USA Inc.
14B73D	ARCHEAN Technologies
14C21D	Sabtech Industries
14CF8D	OHSUNG ELECTRONICS CO., LTD.
14D64D	D-Link International
14EE9D	AirNav Systems LLC
18002D	Sony Mobile Communications AB
18017D	Harbin Arteor technology co., LTD
18339D	Cisco Systems, Inc
183A2D	Samsung Electronics Co.,Ltd
18421D	Private
188B9D	Cisco Systems, Inc
189C5D	Cisco Systems, Inc
18AD4D	Polostar Technology Corporation
18BDAD	L-TECH CORPORATION
18E8DD	MODULETEK
1C129D	IEEE PES PSRC/SUB
1C1B0D	GIGA-BYTE TECHNOLOGY CO.,LTD.
1C1CFD	Dalian Hi-Think Computer Technology, Corp
1C334D	ITS Telecom
1C659D	Liteon Technology Corporation
1C666D	Hon Hai Precision Ind. Co.,Ltd.
1C740D	ZyXEL Communications Corporation
1C86AD	MCT CO., LTD.
1C955D	I-LAX ELECTRONICS INC.
1C973D	PRICOM Design
1CC72D	Shenzhen Huapu Digital CO.,Ltd
1CD6BD	LEEDARSON LIGHTING CO., LTD.
1CE85D	Cisco Systems, Inc
2008ED	HUAWEI TECHNOLOGIES CO.,LTD
2047ED	BSkyB Ltd
204C6D	Hugo Brennenstuhl Gmbh & Co. KG.
20689D	Liteon Technology Corporation
20934D	FUJIAN STAR-NET COMMUNICATION CO.,LTD
209BCD	Apple, Inc.
20C06D	SHENZHEN SPACETEK TECHNOLOGY CO.,LTD
20C60D	Shanghai annijie Information technology Co.,LTD
20FECD	System In Frontier Inc.
244F1D	iRule LLC
24767D	Cisco SPVTG
2497ED	Techvision Intelligent Technology Limited
24A87D	Panasonic Automotive Systems Asia Pacific(Thailand)Co.,Ltd.
24B6FD	Dell Inc.
24C1BD	CRRC DALIAN R&D CO.,LTD.
24DBAD	ShopperTrak RCT Corporation
24DBED	Samsung Electronics Co.,Ltd
24F2DD	Radiant Zemax LLC
28068D	ITL, LLC
2816AD	Intel Corporate
2818FD	Aditya Infotech Ltd.
28285D	ZyXEL Communications Corporation
2876CD	Funshion Online Technologies Co.,Ltd
28852D	Touch Networks
28B2BD	Intel Corporate
28C2DD	AzureWave Technology Inc.
28FECD	Lemobile Information Technology (Beijing) Co., Ltd.
2C094D	Raptor Engineering, LLC
2C0E3D	SAMSUNG ELECTRO-MECHANICS(THAILAND)
2C282D	BBK EDUCATIONAL ELECTRONICS CORP.,LTD.
2C3BFD	Netstor Technology Co., Ltd.
2C44FD	Hewlett Packard
2C542D	Cisco Systems, Inc
2C5A8D	SYSTRONIK Elektronik u. Systemtechnik GmbH
2CA17D	ARRIS Group, Inc.
2CB05D	Netgear
2CB69D	RED Digital Cinema
2CD02D	Cisco Systems, Inc
2CDCAD	Wistron Neweb Corporation
30142D	Piciorgros GmbH
30168D	Prolon
303EAD	Sonavox Canada Inc
3055ED	Trex Network LLC
309BAD	BBK EDUCATIONAL ELECTRONICS CORP.,LTD.
30AABD	Shanghai Reallytek Information Technology Co.,Ltd
30D32D	devolo AG
30F31D	zte corporation
30F70D	Cisco Systems, Inc
30F9ED	Sony Corporation
340CED	Moduel AB
34255D	Shenzhen Loadcom Technology Co.,Ltd
344B3D	Fiberhome Telecommunication Technologies Co.,LTD
346E9D	Ericsson AB
34873D	Quectel Wireless Solution Co.,Ltd.
34885D	Logitech Far East
349A0D	ZBD Displays Ltd
34A55D	TECHNOSOFT INTERNATIONAL SRL
34B7FD	Guangzhou Younghead Electronic Technology Co.,Ltd
34C99D	EIDOLON COMMUNICATIONS TECHNOLOGY CO. LTD.
34CD6D	CommSky Technologies
34DBFD	Cisco Systems, Inc
34E2FD	Apple, Inc.
34E6AD	Intel Corporate
34F62D	SHARP Corporation
3808FD	Silca Spa
38229D	ADB Broadband Italia
3826CD	Andtek
3829DD	ONvocal Inc
38A4ED	Xiaomi Communications Co Ltd
38AC3D	Nephos Inc
38B12D	Sonotronic Nagel GmbH
38B54D	Apple, Inc.
38B5BD	E.G.O. Elektro-Ger
38B74D	Fijowave Limited
38EE9D	Anedo Ltd.
3C096D	Powerhouse Dynamics
3C197D	Ericsson AB
3C363D	Nokia Corporation
3C57BD	Kessler Crane Inc.
3C6A7D	Niigata Power Systems Co., Ltd.
3C6A9D	Dexatek Technology LTD.
3C8BCD	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
3CA10D	Samsung Electronics Co.,Ltd
3CBBFD	Samsung Electronics Co.,Ltd
3CDFBD	HUAWEI TECHNOLOGIES CO.,LTD
4022ED	Digital Projection Ltd
4037AD	Macro Image Technology, Inc.
40520D	Pico Technology
40562D	Smartron India Pvt ltd
405CFD	Dell Inc.
407C7D	Nokia
4095BD	NTmore.Co.,Ltd
409B0D	Shenzhen Yourf Kwan Industrial Co., Ltd
40AC8D	Data Management, Inc.
40B3CD	Chiyoda Electronics Co.,Ltd.
40B4CD	Amazon Technologies Inc.
40D32D	Apple, Inc.
40FE0D	Maxio
440CFD	NetMan Co., Ltd.
44568D	PNC Technologies  Co., Ltd.
445ECD	Razer Inc
44650D	Amazon Technologies Inc.
44A42D	TCT mobile ltd
44B32D	TP-LINK TECHNOLOGIES CO.,LTD.
44CE7D	Sfr
44D63D	Talari Networks
44E9DD	Sagemcom Broadband SAS
4833DD	ZENNIO AVANCE Y TECNOLOGIA, S.L.
48343D	IEP GmbH
4857DD	Facebook
48A22D	Shenzhen Huaxuchang Telecom Technology Co.,Ltd
48AA5D	Store Electronic Systems
48BE2D	Symanitron
48F47D	TechVision Holding  Internation Limited
4C1A3D	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
4C2F9D	ICM Controls
4C322D	TELEDATA NETWORKS
4C5DCD	Oy Finnish Electric Vehicle Technologies Ltd
4CA56D	Samsung Electronics Co.,Ltd
4CB76D	Novi Security
4CDF3D	TEAM ENGINEERS ADVANCE TECHNOLOGIES INDIA PVT LTD
4CF95D	HUAWEI TECHNOLOGIES CO.,LTD
50053D	CyWee Group Ltd
500E6D	TrafficCast International
501E2D	StreamUnlimited Engineering GmbH
50294D	NANJING IOT SENSOR TECHNOLOGY CO,LTD
502D1D	Nokia Corporation
5031AD	ABB Global Industries and Services Private Limited
503A7D	AlphaTech PLC Int’l Co., Ltd.
50465D	ASUSTek COMPUTER INC.
506B8D	Nutanix
50724D	BEG Brueck Electronic GmbH
507B9D	LCFC(HeFei) Electronics Technology co., ltd
507E5D	Arcadyan Technology Corporation
50C58D	Juniper Networks
54098D	deister electronic GmbH
5414FD	Orbbec 3D Technology International
541B5D	Techno-Innov
5440AD	Samsung Electronics Co.,Ltd
5453ED	Sony Corporation
545EBD	NL Technologies
5481AD	Eagle Research Corporation
54D0ED	AXIM Communications
54DC1D	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
54E1AD	LCFC(HeFei) Electronics Technology co., ltd
54E4BD	FN-LINK TECHNOLOGY LIMITED
581CBD	Affinegy
58570D	Danfoss Solar Inverters
58685D	Tempo Australia Pty Ltd
587A4D	Stonesoft Corporation
58821D	H. Schomäcker GmbH
58920D	Kinetic Avionics Limited
5897BD	Cisco Systems, Inc
58DB8D	Fast Co., Ltd.
58DC6D	Exceptional Innovation, Inc.
5C497D	Samsung Electronics Co.,Ltd
5C56ED	3pleplay Electronics Private Limited
5C6A7D	KENTKART EGE ELEKTRONIK SAN. VE TIC. LTD. STI.
5C969D	Apple, Inc.
5CA39D	SAMSUNG ELECTRO MECHANICS CO., LTD.
5CAAFD	Sonos, Inc.
5CCEAD	CDYNE Corporation
5CF50D	Institute of microelectronic applications
5CF9DD	Dell Inc.
6036DD	Intel Corporate
6045BD	Microsoft
6063FD	Transcend Communication Beijing Co.,Ltd.
606BBD	Samsung Electronics Co.,Ltd
60748D	Atmaca Elektronik
607EDD	Microsoft Mobile Oy
609F9D	CloudSwitch
60A37D	Apple, Inc.
60AF6D	Samsung Electronics Co.,Ltd
60C5AD	Samsung Electronics Co.,Ltd
60F13D	JABLOCOM s.r.o.
60F81D	Apple, Inc.
60FACD	Apple, Inc.
60FFDD	C.E. ELECTRONICS, INC
64002D	Powerlinq Co., LTD
64168D	Cisco Systems, Inc
64535D	Frauscher Sensortechnik
64777D	Hitron Technologies. Inc
64995D	Lge
64A7DD	Avaya Inc
64B21D	Chengdu Phycom Tech Co., Ltd.
64BABD	SDJ Technologies, Inc.
64D02D	Next Generation Integration (NGI)
64D4BD	ALPS ELECTRIC CO.,LTD.
64F69D	Cisco Systems, Inc
68122D	Special Instrument Development Co., Ltd.
683C7D	Magic Intelligence Technology Limited
6854ED	Alcatel-               # Alcatel-Lucent
6854FD	Amazon Technologies Inc.
6879ED	SHARP Corporation
6899CD	Cisco Systems, Inc
68A86D	Apple, Inc.
68C44D	Motorola Mobility LLC, a Lenovo Company
68D1FD	Shenzhen Trimax Technology Co.,Ltd
68DFDD	Xiaomi Communications Co Ltd
68EFBD	Cisco Systems, Inc
68F06D	ALONG INDUSTRIAL CO., LIMITED
6C0E0D	Sony Mobile Communications AB
6C391D	Beijing ZhongHuaHun Network Information center
6C3E6D	Apple, Inc.
6C504D	Cisco Systems, Inc
6C626D	Micro-Star INT'L CO., LTD
6C71BD	EZELINK TELECOM
6C750D	Wifisong
6C9CED	Cisco Systems, Inc
6CAB4D	Digital Payment Technologies
701AED	ADVAS CO., LTD.
702A7D	EpSpot AB
702B1D	E-Domus International Limited
70305D	Ubiquoss Inc
704CED	TMRG, Inc.
705CAD	Konami Gaming Inc
70700D	Apple, Inc.
70720D	Lenovo Mobile Communication Technology Ltd.
7076DD	Oxyguard International A/S
70884D	JAPAN RADIO CO., LTD.
708BCD	ASUSTek COMPUTER INC.
709F2D	zte corporation
70CA4D	Shenzhen lnovance Technology Co.,Ltd.
70F96D	Hangzhou H3C Technologies Co., Limited
7403BD	BUFFALO.INC
74547D	Cisco SPVTG
746F3D	Contec GmbH
747E2D	Beijing Thomson CITIC Digital Technology Co. LTD.
748F4D	MEN Mikro Elektronik GmbH
7491BD	Four systems Co.,Ltd.
74943D	AgJunction
74F06D	AzureWave Technology Inc.
74F07D	BnCOM Co.,Ltd
74F85D	Berkeley Nucleonics Corp
74FF7D	Wren Sound Systems, LLC
781DFD	Jabil Inc
78223D	Affirmed Networks
7825AD	Samsung Electronics Co.,Ltd
78471D	Samsung Electronics Co.,Ltd
78491D	The Will-Burt Company
7898FD	Q9 Networks Inc.
78A5DD	Shenzhen Smarteye Digital Electronics Co., Ltd
78A6BD	DAEYEON Control&Instrument Co,.Ltd
78BEBD	STULZ GmbH
78D38D	HONGKONG YUNLINK TECHNOLOGY LIMITED
78F5FD	HUAWEI TECHNOLOGIES CO.,LTD
78FE3D	Juniper Networks
7C11CD	QianTang Technology
7C160D	Saia-Burgess Controls AG
7C18CD	E-TRON Co.,Ltd.
7C2E0D	Blackmagic Design
7C3E9D	Patech
7C4F7D	Sawwave
7C669D	Texas Instruments
7C7D3D	HUAWEI TECHNOLOGIES CO.,LTD
7C822D	Nortec
7CA15D	GN ReSound A/S
7CA61D	MHL, LLC
7CA97D	Objenious
7CB15D	HUAWEI TECHNOLOGIES CO.,LTD
7CCB0D	Antaira Technologies, LLC
7CED8D	Microsoft
80177D	Nortel Networks
8038FD	LeapFrog Enterprises, Inc.
803F5D	Winstars Technology Ltd
8059FD	Noviga
80656D	Samsung Electronics Co.,Ltd
80A85D	Osterhout Design Group
80D21D	AzureWave Technology Inc.
80E01D	Cisco Systems, Inc
84002D	PEGATRON CORPORATION
840B2D	SAMSUNG ELECTRO MECHANICS CO., LTD.
84100D	Motorola Mobility LLC, a Lenovo Company
84248D	Zebra Technologies Inc
846AED	Wireless Tsukamoto.,co.LTD
84802D	Cisco Systems, Inc
8489AD	Apple, Inc.
84DE3D	Crystal Vision Ltd
8850DD	Infiniband Trade Association
88576D	XTA Electronics Ltd
885BDD	Aerohive Networks Inc.
8887DD	DarbeeVision Inc.
888B5D	Storage Appliance Corporation
88908D	Cisco Systems, Inc
8891DD	Racktivity
88A5BD	QPCOM INC.
88AE1D	COMPAL INFORMATION (KUNSHAN) CO., LTD.
8C006D	Apple, Inc.
8C192D	IEEE Registration Authority
8C271D	QuantHouse
8C34FD	HUAWEI TECHNOLOGIES CO.,LTD
8C541D	Lge
8C569D	Imaging Solutions Group
8C57FD	LVX Western
8C7B9D	Apple, Inc.
8CA2FD	Starry, Inc.
8CBF9D	Shanghai Xinyou Information Technology Ltd. Co.
8CC8CD	Samsung Electronics Co.,Ltd
8CDD8D	Wifly-City System Inc.
8CDF9D	NEC Corporation
901EDD	GREAT COMPUTER CORPORATION
9031CD	Onyx Healthcare Inc.
905F8D	modas GmbH
90840D	Apple, Inc.
908D1D	GH Technologies
90B0ED	Apple, Inc.
90B97D	Johnson Outdoors Marine Electronics d/b/a Minnkota
90CF7D	Qingdao Hisense Communications Co.,Ltd.
940B2D	NetView Technologies(Shenzhen) Co., Ltd
940C6D	TP-LINK TECHNOLOGIES CO.,LTD.
9433DD	Taco Inc
94513D	iSmart Alarm, Inc.
94592D	EKE Building Technology Systems Ltd
94652D	OnePlus Technology (Shenzhen) Co., Ltd
9486CD	SEOUL ELECTRONICS&TELECOM
949BFD	Trans New Technology, Inc.
94E2FD	Boge Kompressoren OTTO Boge GmbH & Co. KG
94EBCD	BlackBerry RTS
94FD1D	WhereWhen Corp
98072D	Texas Instruments
98291D	Jaguar de Mexico, SA de CV
98349D	Krauss Maffei Technologies GmbH
985DAD	Texas Instruments
986B3D	ARRIS Group, Inc.
98743D	Shenzhen Jun Kai Hengye Technology Co. Ltd
9889ED	Anadem Information Inc.
988B5D	Sagemcom Broadband SAS
988BAD	Corintech Ltd.
988EDD	TE Connectivity Limerick
9C1FDD	Accupix Inc.
9C443D	CHENGDU XUGUANG TECHNOLOGY CO, LTD
9C53CD	ENGICAM s.r.l.
9C57AD	Cisco Systems, Inc
9C5C8D	FIREMAX INDÚSTRIA E COMÉRCIO DE PRODUTOS ELETRÔNICOS  LTDA
9C611D	Omni-ID USA, Inc.
9C807D	SYSCABLE Korea Inc.
9C88AD	Fiberhome Telecommunication Technologies Co.,LTD
9C8ECD	Amcrest Technologies
9C9C1D	Starkey Labs Inc.
9C9D5D	Raden Inc
9CA69D	Whaley Technology Co.Ltd
9CAC6D	Universal Electronics, Inc.
9CB70D	Liteon Technology Corporation
9CBD9D	SkyDisk, Inc.
9CD36D	Netgear
9CE7BD	Winduskorea co., Ltd
9CF67D	Ricardo Prague, s.r.o.
A009ED	Avaya Inc
A0143D	PARROT SA
A0861D	Chengdu Fuhuaxin Technology co.,Ltd
A08CFD	Hewlett Packard
A098ED	Shandong Intelligent Optical Communication Development Co., Ltd.
A09BBD	Total Aviation Solutions Pty Ltd
A0A8CD	Intel Corporate
A0AAFD	EraThink Technologies Corp.
A0B9ED	Skytap
A0CBFD	Samsung Electronics Co.,Ltd
A0EDCD	Apple, Inc.
A0F6FD	Texas Instruments
A40BED	Carry Technology Co.,Ltd
A424DD	Cambrionix Ltd
A44E2D	Adaptive Wireless Solutions, LLC
A4FB8D	Hangzhou Dunchong Technology Co.Ltd
A80C0D	Cisco Systems, Inc
A8154D	TP-LINK TECHNOLOGIES CO.,LTD.
A81B5D	Foxtel Management Pty Ltd
A830AD	Wei Fang Goertek Electronics Co.,Ltd
A845CD	Siselectron Technology LTD.
A86BAD	Hon Hai Precision Ind. Co.,Ltd.
A8741D	PHOENIX CONTACT Electronics GmbH
A886DD	Apple, Inc.
A887ED	ARC Wireless LLC
A8AD3D	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
AC162D	Hewlett Packard
AC319D	Shenzhen TG-NET Botone Technology Co.,Ltd.
AC482D	Ralinwi Nanjing Electronic Technology Co., Ltd.
AC620D	Jabil Circuit(Wuxi) Co.,Ltd
AC64DD	IEEE Registration Authority
AC7A4D	ALPS ELECTRIC CO.,LTD.
AC853D	HUAWEI TECHNOLOGIES CO.,LTD
AC8ACD	ROGER D.Wensker, G.Wensker sp.j.
ACAB8D	Lyngso Marine A/S
ACB57D	Liteon Technology Corporation
B0358D	Nokia Corporation
B0411D	ITTIM Technologies
B0435D	NuLEDs, Inc.
B065BD	Apple, Inc.
B0702D	Apple, Inc.
B0754D	Nokia
B0BD6D	Echostreams Innovative Solutions
B0C8AD	People Power Company
B0CF4D	MI-Zone Technology Ireland
B0D59D	Shenzhen Zowee Technology Co., Ltd
B0E39D	CAT SYSTEM CO.,LTD.
B0E5ED	HUAWEI TECHNOLOGIES CO.,LTD
B0FEBD	Private
B4211D	Beijing GuangXin Technology Co., Ltd
B4293D	Shenzhen Urovo Technology Co.,Ltd.
B4430D	Broadlink Pty Ltd
B4527D	Sony Mobile Communications AB
B462AD	Elysia Germany GmbH
B4AA4D	Ensequence, Inc.
B4B88D	Thuh Company
B4D5BD	Intel Corporate
B4E0CD	Fusion-io, Inc
B80B9D	ROPEX Industrie-Elektronik GmbH
B83A9D	Alarm.com
B856BD	ITT LLC
B8921D	BG T&A
B89ACD	ELITE OPTOELECTRONIC(ASIA)CO.,LTD
B89AED	OceanServer Technology, Inc
B8AEED	Elitegroup Computer Systems Co.,Ltd.
B8BB6D	ENERES Co.,Ltd.
B8C75D	Apple, Inc.
B8D49D	M Seven System Ltd.
BC261D	HONG KONG TECON TECHNOLOGY
BC2F3D	vivo Mobile Communication Co., Ltd.
BC307D	Wistron Neweb Corporation
BC4E5D	ZhongMiao Technology Co., Ltd.
BC6B4D	Nokia
BC79AD	Samsung Electronics Co.,Ltd
BC8CCD	SAMSUNG ELECTRO-MECHANICS(THAILAND)
BCE09D	Eoslink
BCEC5D	Apple, Inc.
C0028D	WINSTAR Display CO.,Ltd
C0143D	Hon Hai Precision Ind. Co.,Ltd.
C0210D	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
C0288D	Logitech, Inc
C035BD	Velocytech Aps
C0493D	MAITRISE TECHNOLOGIQUE
C06C6D	MagneMotion, Inc.
C0A26D	Abbott Point of Care
C0CECD	Apple, Inc.
C0E42D	TP-LINK TECHNOLOGIES CO.,LTD.
C0F79D	Powercode
C4282D	Embedded Intellect Pty Ltd
C4291D	KLEMSAN ELEKTRIK ELEKTRONIK SAN.VE TIC.AS.
C47C8D	IEEE Registration Authority
C49DED	Microsoft Corporation
C4A81D	D-Link International
C4B9CD	Cisco Systems, Inc
C4DA7D	Ivium Technologies B.V.
C4EA1D	Technicolor
C816BD	Qingdao Hisense Communications Co.,Ltd.
C8665D	Aerohive Networks Inc.
C869CD	Apple, Inc.
C86F1D	Apple, Inc.
C89C1D	Cisco Systems, Inc
C89F1D	SHENZHEN COMMUNICATION TECHNOLOGIES CO.,LTD
C8B5AD	Hewlett Packard Enterprise
C8F68D	S.E.TECHNOLOGIES LIMITED
C8F86D	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
CC088D	Apple, Inc.
CC262D	Verifi, LLC
CC3F1D	Intesis Software SL
CC55AD	Rim
CC65AD	ARRIS Group, Inc.
CC89FD	Nokia Corporation
CCFC6D	RIZ TRANSMITTERS
D00F6D	T&W Electronics Company
D013FD	LG Electronics (Mobile Communications)
D0542D	Cambridge Industries(Group) Co.,Ltd.
D0634D	Meiko Maschinenbau GmbH &amp; Co. KG
D07C2D	Leie IOT technology Co., Ltd
D0B0CD	Moen
D0B53D	SEPRO ROBOTIQUE
D0D0FD	Cisco Systems, Inc
D0E54D	ARRIS Group, Inc.
D0FA1D	Qihoo  360  Technology Co.,Ltd
D4000D	Phoenix Broadband Technologies, LLC.
D4016D	TP-LINK TECHNOLOGIES CO.,LTD.
D404CD	ARRIS Group, Inc.
D4206D	HTC Corporation
D42C3D	Sky Light Digital Limited
D4319D	Sinwatec
D4619D	Apple, Inc.
D4684D	Ruckus Wireless
D49E6D	Wuhan Zhongyuan Huadian Science & Technology Co.,
D4AD2D	Fiberhome Telecommunication Technologies Co.,LTD
D4BF2D	SE Controls Asia Pacific Ltd
D4CA6D	Routerboard.com
D4D50D	Southwest Microwave, Inc
D4DCCD	Apple, Inc.
D8004D	Apple, Inc.
D8150D	TP-LINK TECHNOLOGIES CO.,LTD.
D824BD	Cisco Systems, Inc
D8380D	SHENZHEN IP-COM Network Co.,Ltd
D87CDD	SANIX INCORPORATED
D8ADDD	Sonavation, Inc.
D8C99D	EA DISPLAY LIMITED
D8DDFD	Texas Instruments
D8DF0D	beroNet GmbH
D8E56D	TCT mobile ltd
D8EFCD	Nokia
DC05ED	Nabtesco  Corporation
DC330D	Qingdao Haier Telecom Co.，Ltd
DC446D	Allwinner Technology Co., Ltd
DC6DCD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
DCA6BD	Beijing Lanbo Technology Co., Ltd.
DCE1AD	Shenzhen Wintop Photoelectric Technology Co., Ltd
DCF05D	Letta Teknoloji
E0191D	HUAWEI TECHNOLOGIES CO.,LTD
E0286D	AVM Audiovisuelles Marketing und Computersysteme GmbH
E02F6D	Cisco Systems, Inc
E03E7D	data-complex GmbH
E04FBD	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
E0553D	Cisco Meraki
E0686D	Raybased AB
E0757D	Motorola Mobility LLC, a Lenovo Company
E0885D	Technicolor CH USA Inc.
E0899D	Cisco Systems, Inc
E0AEED	Loenk
E0B52D	Apple, Inc.
E0B94D	SHENZHEN BILIAN ELECTRONIC CO.，LTD
E0C79D	Texas Instruments
E0CA4D	Shenzhen Unistar Communication Co.,LTD
E0CB1D	Private
E0CDFD	Beijing E3Control Technology Co, LTD
E0CF2D	Gemintek Corporation
E4121D	Samsung Electronics Co.,Ltd
E41D2D	Mellanox Technologies, Inc.
E446BD	C&C TECHNIC TAIWAN CO., LTD.
E47DBD	Samsung Electronics Co.,Ltd
E4A7FD	Cellco Partnership
E4AA5D	Cisco Systems, Inc
E4AD7D	SCL Elements
E4BEED	Netcore Technology Inc.
E4C63D	Apple, Inc.
E4D53D	Hon Hai Precision Ind. Co.,Ltd.
E4D71D	Oraya Therapeutics
E4EEFD	MR&D Manufacturing
E4FA1D	PAD Peripheral Advanced Design Inc.
E4FAED	Samsung Electronics Co.,Ltd
E4FAFD	Intel Corporate
E4FFDD	ELECTRON INDIA
E8056D	Nortel Networks
E8519D	Yeonhab Precision Co.,LTD
E8718D	Elsys Equipamentos Eletronicos Ltda
E8BB3D	Sino Prime-Tech Limited
E8CD2D	HUAWEI TECHNOLOGIES CO.,LTD
EC233D	HUAWEI TECHNOLOGIES CO.,LTD
EC4C4D	ZAO NPK RoTeK
EC7D9D	Mei
EC8EAD	Dlx
EC93ED	DDoS-Guard LTD
EC9ECD	Artesyn Embedded Technologies
ECBD1D	Cisco Systems, Inc
ECCD6D	Allied Telesis, Inc.
ECDE3D	Lamprey Networks, Inc.
ECE2FD	SKG Electric Group(Thailand) Co., Ltd.
F01C2D	Juniper Networks
F0219D	Cal-Comp Electronics & Communications Company Ltd.
F0272D	Amazon Technologies Inc.
F0620D	Shenzhen Egreat Tech Corp.,Ltd
F065DD	Primax Electronics Ltd.
F4068D	devolo AG
F415FD	Shanghai Pateo Electronic Equipment Manufacturing Co., Ltd.
F43E9D	Benu Networks, Inc.
F445ED	Portable Innovation Technology Ltd.
F44EFD	Actions Semiconductor Co.,Ltd.(Cayman Islands)
F4600D	Panoptic Technology, Inc
F4645D	Toshiba
F4672D	ShenZhen Topstar Technology Company
F483CD	TP-LINK TECHNOLOGIES CO.,LTD.
F4DC4D	Beijing CCD Digital Technology Co., Ltd
F4E4AD	zte corporation
F4F26D	TP-LINK TECHNOLOGIES CO.,LTD.
F835DD	Gemtek Technology Co., Ltd.
F845AD	Konka Group Co., Ltd.
F8462D	SYNTEC Incorporation
F8472D	X2gen Digital Corp. Ltd
F8516D	Denwa Technology Corp.
F85C4D	Nokia
F89D0D	Control Technology Inc.
F8A03D	Dinstar Technologies Co., Ltd.
F8AC6D	Deltenna Ltd
F8BE0D	A2UICT Co.,Ltd.
F8D0BD	Samsung Electronics Co.,Ltd
FC01CD	FUNDACION TEKNIKER
FC10BD	Control Sistematizado S.A.
FC2E2D	Lorom Industrial Co.LTD.
FC528D	Technicolor CH USA Inc.
FCC23D	Atmel Corporation
FCD6BD	Robert Bosch GmbH
FCF1CD	OPTEX-FA CO.,LTD.
