00000F	Next
00E05F	e-Net, Inc.
00E06F	ARRIS Group, Inc.
00E07F	LOGISTISTEM s.r.l.
00E08F	Cisco Systems			Catalyst 2900 series
00E09F	PIXEL VISION
00E0AF	GENERAL DYNAMICS INFORMATION SYSTEMS
00E0BF	TORRENT NETWORKING TECHNOLOGIES CORP.
00E0CF	INTEGRATED DEVICE
00E0DF	KEYMILE GmbH
00E0EF	Dionex
00E0FF	SECURITY DYNAMICS TECHNOLOGIES, Inc.
00F46F	Samsung Electronics Co.,Ltd
00F76F	Apple, Inc.
010ECF	PROFINET Multicast
02CF1F	CMC
04021F	HUAWEI TECHNOLOGIES CO.,LTD
04180F	Samsung Electronics Co.,Ltd
044BFF	GuangZhou Hedy Digital Technology Co., Ltd
044CEF	Fujian Sanao Technology Co.,Ltd
04572F	Sertel Electronics UK Ltd
04586F	Sichuan Whayer information industry Co.,LTD
04C06F	HUAWEI TECHNOLOGIES CO.,LTD
04D3CF	Apple, Inc.
04FE7F	Cisco Systems, Inc
08000F	SMC (Standard Microsystems Corp.)
08001F	Sharp
08002F	Prime Computer			Prime 50-Series LHC300
08003F	FRED KOSCHARA ENTERPRISES
08004F	CYGNET SYSTEMS
08005F	SABER TECHNOLOGY CORP.
08006F	PHILIPS APELDOORN B.V.
08007F	CARNEGIE-MELLON UNIVERSITY
08008F	Chipcom Corp.
08010F	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
081F3F	WondaLink Inc.
0821EF	Samsung Electronics Co.,Ltd
082E5F	Hewlett Packard
084EBF	Broad Net Mux Corporation
0876FF	Thomson Telecom Belgium
088E4F	SF Software Solutions
0894EF	Wistron Infocomm (Zhongshan) Corporation
08B4CF	Abicom International
08D09F	Cisco Systems, Inc
08DF1F	Bose Corporation
08E84F	HUAWEI TECHNOLOGIES CO.,LTD
0C191F	Inform Electronik
0C1DAF	Xiaomi Communications Co Ltd
0C3E9F	Apple, Inc.
0C61CF	Texas Instruments
0C6E4F	PrimeVOLT Co., Ltd.
0C8C8F	Kamo Technology Limited
0C96BF	HUAWEI TECHNOLOGIES CO.,LTD
0CB4EF	Digience Co.,Ltd.
0CBC9F	Apple, Inc.
0CBF3F	Shenzhen Lencotion Technology Co.,Ltd
0CC81F	Summer Infant, Inc.
0CDDEF	Nokia Corporation
0CE82F	Bonfiglioli Vectron GmbH
0CEFAF	IEEE Registration Authority
100D2F	Online Security Pty. Ltd.
100D7F	Netgear
102EAF	Texas Instruments
10417F	Apple, Inc.
105CBF	DuroByte Inc
1065CF	Iqsim
10683F	LG Electronics (Mobile Communications)
106F3F	BUFFALO.INC
106FEF	Ad-Sol Nissin Corp
107BEF	ZyXEL Communications Corporation
10880F	Daruma Telecomunicações e Informática S.A.
108CCF	Cisco Systems, Inc
10C61F	HUAWEI TECHNOLOGIES CO.,LTD
10C73F	Midas Klark Teknik Ltd
10E4AF	APR, LLC
10E68F	KWANGSUNG ELECTRONICS KOREA CO.,LTD.
10F96F	LG Electronics (Mobile Communications)
140D4F	Flextronics International
14109F	Apple, Inc.
143EBF	zte corporation
14612F	Avaya Inc
149ECF	Dell Inc.
14B31F	Dell Inc.
14C1FF	ShenZhen QianHai Comlan communication Co.,LTD
14D11F	HUAWEI TECHNOLOGIES CO.,LTD
14FEAF	SAGITTAR LIMITED
18193F	Tamtron Oy
18422F	Alcatel Lucent
184A6F	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
18550F	Cisco SPVTG
185E0F	Intel Corporate
18673F	Hanover Displays Limited
1883BF	Arcadyan Technology Corporation
1889DF	CerebrEX Inc.
1897FF	TechFaith Wireless Technology Limited
18AF8F	Apple, Inc.
18AF9F	DIGITRONIC Automationsanlagen GmbH
18D6CF	Kurth Electronic GmbH
18E29F	vivo Mobile Communication Co., Ltd.
18E80F	Viking Electronics Inc.
18FA6F	ISC applied systems corp
18FC9F	Changhe Electronics Co., Ltd.
18FF0F	Intel Corporate
1C0FCF	Sypro Optics GmbH
1C234F	EDMI  Europe Ltd
1C37BF	Cloudium Systems Ltd.
1C3A4F	AccuSpec Electronics, LLC
1C5FFF	Beijing Ereneben Information Technology Co.,Ltd Shenzhen Branch
1C959F	Veethree Electronics And Marine LLC
1CB17F	NEC Platforms, Ltd.
1CDF0F	Cisco Systems, Inc
20014F	Linea Research Ltd
2002AF	Murata Manufacturing Co., Ltd.
203AEF	Sivantos GmbH
204E7F	Netgear
2057AF	Shenzhen FH-NET OPTOELECTRONICS CO.,LTD
20635F	Abeeway
206AFF	Atlas Elektronik UK Limited
2074CF	Shenzhen Voxtech Co.,Ltd
20768F	Apple, Inc.
207C8F	Quanta Microsystems,Inc.
20896F	Fiberhome Telecommunication Technologies Co.,LTD
20906F	Shenzhen Tencent Computer System Co., Ltd.
20C1AF	i Wit Digital Co., Limited
20C38F	Texas Instruments
20D21F	Wincal Technology Corp.
20D25F	SmartCap Technologies
20D5BF	Samsung Electronics Co.,Ltd
20DF3F	Nanjing SAC Power Grid Automation Co., Ltd.
24050F	MTN Electronic Co. Ltd
2437EF	EMC Electronic Media Communication SA
245CBF	Ncse
245FDF	KYOCERA Corporation
2464EF	CYG SUNRI CO.,LTD.
24D13F	MEXUS CO.,LTD
24E43F	Wenzhou Kunmei Communication Technology Co.,Ltd.
24F0FF	GHT Co., Ltd.
2824FF	Wistron Neweb Corporation
2827BF	Samsung Electronics Co.,Ltd
2838CF	Gen2wave
285F2F	RNware Co.,Ltd.
286F7F	Cisco Systems, Inc
28940F	Cisco Systems, Inc
2894AF	Samhwa Telecom
289EDF	Danfoss Turbocor Compressors, Inc
28C63F	Intel Corporate
28CCFF	Corporacion Empresarial Altra SL
28D1AF	Nokia Corporation
28E31F	Xiaomi Communications Co Ltd
28E7CF	Apple, Inc.
2C029F	3alogics
2C245F	Babolat VS
2C265F	IEEE Registration Authority
2C3ECF	Cisco Systems, Inc
2C54CF	LG Electronics (Mobile Communications)
2C5A0F	Cisco Systems, Inc
2C6A6F	IEEE Registration Authority
2C750F	Shanghai Dongzhou-Lawton Communication Technology Co. Ltd.
2C7ECF	Onzo Ltd
2C957F	zte corporation
2C9E5F	ARRIS Group, Inc.
2CB0DF	Soliton Technologies Pvt Ltd
3018CF	DEOS control systems GmbH
30766F	LG Electronics (Mobile Communications)
30918F	Technicolor
30B64F	Juniper Networks
30F42F	Esp
34074F	AccelStor, Inc.
340AFF	Qingdao Hisense Communications Co.,Ltd.
34145F	Samsung Electronics Co.,Ltd
3438AF	Inlab Software GmbH
34466F	HiTEM Engineering
344F3F	IO-Power Technology Co., Ltd.
346C0F	Pramod Telecom Pvt. Ltd
34996F	VPI Engineering
34A3BF	Terewave. Inc.
34BB1F	BlackBerry RTS
34E0CF	zte corporation
34FC6F	Alcea
34FCEF	LG Electronics (Mobile Communications)
38192F	Nokia Corporation
384C4F	HUAWEI TECHNOLOGIES CO.,LTD
38A95F	Actifio Inc
38BF2F	Espec Corp.
38D82F	zte corporation
38E8DF	BMedien+               # b gmbh medien + datenbanken
38F33F	TATSUNO CORPORATION
3C04BF	PRAVIS SYSTEMS Co.Ltd.,
3C106F	ALBAHITH TECHNOLOGIES
3C189F	Nokia Corporation
3C1A0F	ClearSky Data
3C404F	GUANGDONG PISEN ELECTRONICS CO.,LTD
3C7F6F	Telechips, Inc.
3C98BF	Quest Controls, Inc.
3CAA3F	iKey, Ltd.
3CB17F	Wattwatchers Pty Ld
3CEA4F	2Wire Inc
40169F	TP-LINK TECHNOLOGIES CO.,LTD.
401B5F	Weifang GoerTek Electronics Co., Ltd.
40490F	Hon Hai Precision Ind. Co.,Ltd.
404D7F	Apple, Inc.
406C8F	Apple, Inc.
407D0F	HUAWEI TECHNOLOGIES CO.,LTD
40A5EF	Shenzhen Four Seas Global Link Network Technology Co., Ltd.
40F02F	Liteon Technology Corporation
40FA7F	Preh Car Connect GmbH
44184F	Fitview
442AFF	E3 Technology, Inc.
44348F	MXT INDUSTRIAL LTDA
44356F	Neterix
44376F	Young Electric Sign Co
44599F	Criticare Systems, Inc
447C7F	Innolight Technology Corporation
449F7F	DataCore Software Corporation
44A7CF	Murata Manufacturing Co., Ltd.
44C56F	NGN Easy Satfinder (Tianjin) Electronic Co., Ltd
480FCF	Hewlett Packard
48282F	zte corporation
48365F	Wintecronics Ltd.
48555F	Fiberhome Telecommunication Technologies Co.,LTD
485A3F	Wisol
48D0CF	Universal Electronics, Inc.
48D7FF	BLANKOM Antennentechnik GmbH
48E1AF	Vity
4C11BF	Zhejiang Dahua Technology Co., Ltd.
4C74BF	Apple, Inc.
4C774F	Embedded Wireless Labs
4C7C5F	Apple, Inc.
4C804F	Armstrong Monitoring Corp
4C82CF	Echostar Technologies Corp
4C8BEF	HUAWEI TECHNOLOGIES CO.,LTD
4C98EF	Zeo
4C9EFF	ZyXEL Communications Corporation
4CC94F	Nokia
4CECEF	Soraa, Inc.
4CF2BF	Cambridge Industries(Group) Co.,Ltd.
5017FF	Cisco Systems, Inc
501CBF	Cisco Systems, Inc
5056BF	Samsung Electronics Co.,Ltd
50584F	waytotec,Inc.
508A0F	SHENZHEN FISE TECHNOLOGY HOLDING CO.,LTD.
508D6F	CHAHOO Limited
50934F	Gradual Tecnologia Ltda.
50A0BF	Alba Fiber Systems Inc.
50ABBF	Hoseo Telecom
50BD5F	TP-LINK TECHNOLOGIES CO.,LTD.
50C7BF	TP-LINK TECHNOLOGIES CO.,LTD.
50D37F	Yu Fly Mikly Way Science and Technology Co., Ltd.
50DD4F	Automation Components, Inc
50FC9F	Samsung Electronics Co.,Ltd
54055F	Alcatel Lucent
54112F	Sulzer Pump Solutions Finland Oy
54115F	Atamo Pty Ltd
5435DF	Symeo GmbH
5439DF	HUAWEI TECHNOLOGIES CO.,LTD
5454CF	PROBEDIGITAL CO.,LTD
54724F	Apple, Inc.
54A04F	t-mac Technologies Ltd
54C80F	TP-LINK TECHNOLOGIES CO.,LTD.
54D46F	Cisco SPVTG
54E63F	ShenZhen LingKeWeiEr Technology Co., Ltd.
54FDBF	Scheidt & Bachmann GmbH
54FFCF	Mopria Alliance
581FEF	Tuttnaer LTD
58468F	Koncar Electronics and Informatics
58605F	HUAWEI TECHNOLOGIES CO.,LTD
58677F	Clare Controls Inc.
586D8F	Cisco-Linksys, LLC
5891CF	Intel Corporate
5894CF	Vertex Standard LMR, Inc.
58986F	Revolution Display
58A76F	iD corporation
58BC8F	Cognitive Systems Corp.
58D08F	IEEE 1904.1 Working Group
58F6BF	Kyoto University
5C076F	Thought Creator
5C2AEF	Open Access Pty Ltd
5C4A1F	SICHUAN TIANYI COMHEART TELECOMCO., LTD
5C514F	Intel Corporate
5C63BF	TP-LINK TECHNOLOGIES CO.,LTD.
5C6B4F	Hello Inc.
5C6F4F	S.A. SISTEL
5C838F	Cisco Systems, Inc
5CADCF	Apple, Inc.
5CCCFF	Techroutes Network Pvt Ltd
5CCF7F	Espressif Inc.
5CD61F	Qardio, Inc
5CE7BF	New Singularity International Technical Development Co.,Ltd
5CFFFF	Shenzhen Kezhonglong Optoelectronic Technology Co., Ltd
601D0F	Midnite Solar
60391F	ABB Ltd
60427F	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
60601F	SZ DJI TECHNOLOGY CO.,LTD
609C9F	Brocade Communications Systems, Inc.
60C0BF	ON Semiconductor
60F2EF	VisionVera International Co., Ltd.
64167F	Polycom
643F5F	Exablaze
64557F	NSFOCUS Information Technology Co., Ltd.
645FFF	Nicolet Neuro
6488FF	Sichuan Changhong Electric Ltd.
64A68F	Zhongshan Readboy Electronics Co.,Ltd
64C6AF	AXERRA Networks Ltd
64E84F	Serialway Communication Technology Co. Ltd
68193F	Digital Airways
68597F	Alcatel Lucent
68764F	Sony Mobile Communications AB
68CD0F	U Tek Company Limited
68E41F	Unglaube Identech GmbH
6C198F	D-Link International
6C4B7F	Vossloh-               # Vossloh-Schwabe Deutschland GmbH
6C709F	Apple, Inc.
6C8B2F	zte corporation
6C92BF	Inspur Electronic Information Industry Co.,Ltd.
6CA75F	zte corporation
6CA96F	TransPacket AS
6CAD3F	Hubbell Building Automation, Inc.
6CADEF	KZ Broadband Technologies, Ltd.
6CF37F	Aruba Networks
70106F	Hewlett Packard Enterprise
701D7F	Comtech Technology Co., Ltd.
702C1F	Wisol
70480F	Apple, Inc.
7050AF	BSkyB Ltd
70533F	Alfa Instrumentos Eletronicos Ltda.
705A0F	Hewlett Packard
7072CF	EdgeCore Networks
7076FF	Kerlink
70918F	Weber-Stephen Products LLC
709C8F	Nero AG
70BAEF	Hangzhou H3C Technologies Co., Limited
70C76F	INNO S
7429AF	Hon Hai Precision Ind. Co.,Ltd.
742B0F	Infinidat Ltd.
74372F	Tongfang Shenzhen Cloudcomputing Technology Co.,Ltd
745C9F	TCT mobile ltd
7463DF	VTS GmbH
746A8F	VS Vision Systems GmbH
749D8F	HUAWEI TECHNOLOGIES CO.,LTD
74A02F	Cisco Systems, Inc
74AC5F	Qiku Internet Network Scientific (Shenzhen) Co., Ltd.
74DFBF	Liteon Technology Corporation
78028F	Adaptive Spectrum and Signal Alignment (ASSIA), Inc.
7824AF	ASUSTek COMPUTER INC.
782EEF	Nokia Corporation
78324F	Millennium Group, Inc.
78818F	Server Racks Australia Pty Ltd
78998F	MEDILINE ITALIA SRL
78ACBF	Igneous Systems
78D34F	Pace-O-Matic, Inc.
78D66F	Aristocrat Technologies Australia Pty. Ltd.
78D75F	Apple, Inc.
78D99F	NuCom HK Ltd.
7C438F	E-Band Communications Corp.
7C6C8F	AMS NEVE LTD
7CBB6F	Cosco Electronics Co., Ltd.
7CC4EF	Devialet
7CCC1F	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
7CCFCF	Shanghai SEARI Intelligent System Co., Ltd
7CE1FF	Computer Performance, Inc. DBA Digital Loggers, Inc.
7CF05F	Apple, Inc.
7CFADF	Apple, Inc.
8002DF	ORA Inc.
8005DF	Montage Technology Group Limited
8020AF	Trade FIDES, a.s.
80618F	Shenzhen sangfei consumer communications co.,ltd
80711F	Juniper Networks
80739F	KYOCERA Corporation
807A7F	ABB Genway Xiamen Electrical Equipment CO., LTD
807ABF	HTC Corporation
80929F	Apple, Inc.
80C63F	Remec Broadband Wireless , LLC
80E86F	Cisco Systems, Inc
84253F	Silex Technology, Inc
848EDF	Sony Mobile Communications AB
84AF1F	Beat System Service Co,. Ltd.
84CFBF	Fairphone
84DB2F	Sierra Wireless Inc
8809AF	Masimo Corporation
884CCF	Pulzze Systems, Inc
8863DF	Apple, Inc.
886B0F	Bluegiga Technologies OY
8870EF	SC Professional Trading Co., Ltd.
8897DF	Entrypass Corporation Sdn. Bhd.
88BA7F	Qfiednet Co., Ltd.
88E87F	Apple, Inc.
8C04FF	Technicolor CH USA Inc.
8C1ABF	Samsung Electronics Co.,Ltd
8C5FDF	Beijing Railway Signal Factory
8C604F	Cisco Systems, Inc
8C7CFF	Brocade Communications Systems, Inc.
8C94CF	Encell Technology, Inc.
8CA6DF	TP-LINK TECHNOLOGIES CO.,LTD.
8CB64F	Cisco Systems, Inc
9038DF	Changzhou Tiannengbo System Co. Ltd.
90513F	Elettronica Santerno SpA
9059AF	Texas Instruments
908FCF	UNO System Co., Ltd
90A62F	Naver
90AC3F	BrightSign LLC
90B21F	Apple, Inc.
90C35F	Nanjing Jiahao Technology Co., Ltd.
90CF6F	Dlogixs Co Ltd
90D74F	Bookeen
90F72F	Phillips Machine & Welding Co., Inc.
9451BF	Hyundai ESG
949F3F	Optek Digital Technology company limited
94B40F	Aruba Networks
94C7AF	Raylios Technology
94CA0F	Honeywell Analytics
94DD3F	A+V Link Technologies, Corp.
981E0F	Jeelan (Shanghai Jeelan Technology Information Inc
98293F	Fujian Start Computer Equipment Co.,Ltd
983F9F	China SSJ (Suzhou) Network Technology Inc.
9C28BF	Continental Automotive Czech Republic s.r.o.
9C28EF	HUAWEI TECHNOLOGIES CO.,LTD
9C293F	Apple, Inc.
9C3AAF	Samsung Electronics Co.,Ltd
9C3DCF	Netgear
9C4EBF	Boxcast
9C80DF	Arcadyan Technology Corporation
9C83BF	PRO-VISION, Inc.
9C84BF	Apple, Inc.
9CADEF	Obihai Technology, Inc.
9CAF6F	ITEL MOBILE LIMITED
9CDD1F	Intelligent Steward Co.,Ltd
A0086F	HUAWEI TECHNOLOGIES CO.,LTD
A00ABF	Wieson Technologies Co., Ltd.
A0369F	Intel Corporate
A03D6F	Cisco Systems, Inc
A0423F	Tyan Computer Corp
A0554F	Cisco Systems, Inc
A0821F	Samsung Electronics Co.,Ltd
A0E0AF	Cisco Systems, Inc
A4516F	Microsoft Mobile Oy
A4526F	ADB Broadband Italia
A4580F	IEEE Registration Authority
A462DF	DS Global. Co., LTD
A47ACF	VIBICOM COMMUNICATIONS INC.
A47C1F	Cobham plc
A4A80F	Shenzhen Coship Electronics Co., Ltd.
A4BBAF	Lime Instruments
A4C64F	HUAWEI TECHNOLOGIES CO.,LTD
A4D18F	Shenzhen Skyee Optical Fiber Communication Technology Ltd.
A4DA3F	Bionics Corp.
A81FAF	KRYPTON POLSKA
A84E3F	Hitron Technologies. Inc
A863DF	DISPLAIRE CORPORATION
A8667F	Apple, Inc.
A86A6F	Rim
A8776F	Zonoff
A8827F	CIBN Oriental Network(Beijing) CO.,Ltd
A8BBCF	Apple, Inc.
A8C87F	Roqos, Inc.
AC02CF	RW Tecnologia Industria e Comercio Ltda
AC02EF	Comsis
AC199F	SUNGROW POWER SUPPLY CO.,LTD.
AC233F	Shenzhen Minew Technologies Co., Ltd.
AC676F	Electrocompaniet A.S.
AC6B0F	CADENCE DESIGN SYSTEMS INC
AC6F4F	Enspert Inc
AC932F	Nokia Corporation
ACABBF	AthenTek Inc.
ACB74F	METEL s.r.o.
ACC73F	VITSMO CO., LTD.
ACCE8F	HWA YAO TECHNOLOGIES CO., LTD
ACE97F	IoT Tech Limited
ACF1DF	D-Link International
B008BF	Vital Connect, Inc.
B0359F	Intel Corporate
B047BF	Samsung Electronics Co.,Ltd
B0495F	OMRON HEALTHCARE Co., Ltd.
B04BBF	PT HAN SUNG ELECTORONICS INDONESIA
B05B1F	THERMO FISHER SCIENTIFIC S.P.A.
B06CBF	3ality Digital Systems GmbH
B072BF	Murata Manufacturing Co., Ltd.
B0989F	LG CNS
B0B28F	Sagemcom Broadband SAS
B0C83F	Jiangsu Cynray IOT Co., Ltd.
B0EC8F	GMX SAS
B41DEF	Internet Laboratories, Inc.
B461FF	Lumigon A/S
B4749F	ASKEY COMPUTER CORP
B49CDF	Apple, Inc.
B4A5EF	Sercomm Corporation.
B4AE6F	Circle Reliance, Inc DBA Cranberry Networks
B4B52F	Hewlett Packard
B4B5AF	Minsung Electronics
B4E10F	Dell Inc.
B808CF	Intel Corporate
B8186F	ORIENTAL MOTOR CO., LTD.
B8224F	SICHUAN TIANYI COMHEART TELECOMCO., LTD
B8415F	ASP AG
B8616F	Accton Technology Corp
B8621F	Cisco Systems, Inc
B8763F	Hon Hai Precision Ind. Co.,Ltd.
B88EDF	Zencheer Communication Technology Co., Ltd.
B8A8AF	Logic S.p.A.
B8AC6F	Dell Inc.
B8BBAF	Samsung Electronics Co.,Ltd
B8BEBF	Cisco Systems, Inc
B8C3BF	Henan Chengshi NetWork Technology Co.，Ltd
B8C46F	PRIMMCON INDUSTRIES INC
B8D06F	GUANGZHOU HKUST FOK YING TUNG RESEARCH INSTITUTE
B8D7AF	Murata Manufacturing Co., Ltd.
B8FF6F	Shanghai Typrotech Technology Co.Ltd
BC14EF	ITON Technology Limited
BC3BAF	Apple, Inc.
BC3F8F	HUAWEI TECHNOLOGIES CO.,LTD
BC629F	Telenet Systems P. Ltd.
BC6A2F	Henge Docks LLC
BC779F	SBM Co., Ltd.
BC811F	Ingate Systems
BC851F	Samsung Electronics Co.,Ltd
BC9FEF	Apple, Inc.
BCC00F	Fiberhome Telecommunication Technologies Co.,LTD
BCD11F	Samsung Electronics Co.,Ltd
BCE59F	WATERWORLD Technology Co.,LTD
BCE63F	Samsung Electronics Co.,Ltd
BCEB5F	Fujian Beifeng Telecom Technology Co., Ltd.
BCF2AF	devolo AG
C03B8F	Minicom Digital Signage
C03E0F	BSkyB Ltd
C05E6F	V. Stonkaus firma Kodinis Raktas
C067AF	Cisco Systems, Inc
C06C0F	Dobbs Stanford
C08B6F	S I Sistemas Inteligentes Eletrônicos Ltda
C4072F	HUAWEI TECHNOLOGIES CO.,LTD
C41CFF	Vizio, Inc
C43A9F	Siconix Inc.
C4438F	LG Electronics (Mobile Communications)
C4473F	HUAWEI TECHNOLOGIES CO.,LTD
C44E1F	Bluen
C46E1F	TP-LINK TECHNOLOGIES CO.,LTD.
C47B2F	Beijing JoinHope Image Technology Ltd.
C47D4F	Cisco Systems, Inc
C4823F	Fujian Newland Auto-ID Tech. Co,.Ltd.
C4836F	Ciena Corporation
C48E8F	Hon Hai Precision Ind. Co.,Ltd.
C4C19F	National Oilwell Varco Instrumentation, Monitoring, and Optimization (NOV IMO)
C4E92F	AB Sciex
C4FF1F	HUAWEI TECHNOLOGIES CO.,LTD
C8028F	Nova Electronics (Shanghai) Co., Ltd.
C8458F	Wyler AG
C8979F	Nokia Corporation
C8D3FF	Hewlett Packard
C8E42F	Technical Research Design and Development
CC1EFF	Metrological Group BV
CC25EF	Apple, Inc.
CC3ADF	Private
CC3C3F	SA.S.S. Datentechnik AG
CC3E5F	Hewlett Packard
CC52AF	Universal Global Scientific Industrial Co., Ltd.
CC5FBF	Topwise 3G Communication Co., Ltd.
CC6DEF	TJK Tietolaite Oy
CC720F	Viscount Systems Inc.
CC785F	Apple, Inc.
CC79CF	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
CCA4AF	Shenzhen Sowell Technology Co., LTD
CCC5EF	Co-Comm Servicios Telecomunicaciones S.L.
CCE17F	Juniper Networks
CCE7DF	American Magnetics, Inc.
D05A0F	I-BT DIGITAL CO.,LTD
D06A1F	BSE CO.,LTD.
D0737F	Mini-Circuits
D08CFF	UPWIS AB
D0B33F	Shenzhen TINNO Mobile Technology Corp.
D0C0BF	Actions Microelectronics Co., Ltd
D0C42F	Tamagawa Seiki Co.,Ltd.
D0D94F	IEEE Registration Authority
D0F27F	SteadyServ Technoligies, LLC
D404FF	Juniper Networks
D410CF	Huanshun Network Science and Technology Co., Ltd.
D4136F	Asia Pacific Brands
D4223F	Lenovo Mobile Communication Technology Ltd.
D42C0F	ARRIS Group, Inc.
D4503F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
D453AF	VIGO System S.A.
D46CBF	Goodrich ISR
D4883F	HDPRO CO., LTD.
D491AF	Electroacustica General Iberica, S.A.
D496DF	SUNGJIN C&T CO.,LTD
D4AAFF	MICRO WORLD
D4B8FF	Home Control Singapore Pte Ltd
D4BF7F	Upvel
D4C9EF	Hewlett Packard
D4CBAF	Nokia Corporation
D4E33F	Nokia
D4F46F	Apple, Inc.
D4F63F	IEA S.R.L.
D80CCF	C.G.V. S.A.S.
D8209F	Cubro Acronet GesmbH
D831CF	Samsung Electronics Co.,Ltd
D8337F	Office FA.com Co.,Ltd.
D8492F	CANON INC.
D857EF	Samsung Electronics Co.,Ltd
D85DEF	Busch-Jaeger Elektro GmbH
D8952F	Texas Instruments
D89E3F	Apple, Inc.
D8DD5F	BALMUDA Inc.
D8FE8F	IDFone Co., Ltd.
DC052F	National Products Inc.
DC1D9F	U & B tech
DC415F	Apple, Inc.
DC9C9F	Shenzhen YOUHUA Technology Co., Ltd
DCA8CF	New Spin Golf, LLC.
DCD87F	Shenzhen JoinCyber Telecom Equipment Ltd
DCDA4F	GETCK TECHNOLOGY,  INC
E00C7F	Nintendo Co., Ltd.
E0107F	Ruckus Wireless
E0247F	HUAWEI TECHNOLOGIES CO.,LTD
E037BF	Wistron Neweb Corporation
E048AF	Premietech Limited
E0A30F	Pevco
E0E5CF	Texas Instruments
E20C0F	Kingston Technologies
E44F5F	EDS Elektronik Destek San.Tic.Ltd.Sti
E47B3F	BEIJING CO-CLOUD TECHNOLOGY LTD.
E48B7F	Apple, Inc.
E48C0F	Discovery Insure
E4A32F	Shanghai Artimen Technology Co., Ltd.
E4A5EF	TRON LINK ELECTRONICS CO., LTD.
E4CE8F	Apple, Inc.
E4F8EF	Samsung Electronics Co.,Ltd
E4FB8F	MOBIWIRE MOBILES (NINGBO) CO.,LTD
E807BF	SHENZHEN BOOMTECH INDUSTRY CO.,LTD
E839DF	ASKEY COMPUTER CORP
E8481F	Advanced Automotive Antennas
E8611F	Dawning Information Industry Co.,Ltd
E8757F	FIRS Technologies(Shenzhen) Co., Ltd
E89A8F	QUANTA COMPUTER INC.
E89AFF	Fujian Landi Commercial Equipment Co.,Ltd
E8C74F	Liteon Technology Corporation
E8E08F	GRAVOTECH MARKING SAS
E8FCAF	Netgear
EC172F	TP-LINK TECHNOLOGIES CO.,LTD.
EC1D7F	zte corporation
EC219F	VidaBox LLC
EC363F	Markov Corporation
EC388F	HUAWEI TECHNOLOGIES CO.,LTD
EC6C9F	Chengdu Volans Technology CO.,LTD
EC852F	Apple, Inc.
EC888F	TP-LINK TECHNOLOGIES CO.,LTD.
F0007F	Janz - Contadores de Energia, SA
F01FAF	Dell Inc.
F03EBF	GOGORO TAIWAN LIMITED
F081AF	IRZ AUTOMATION TECHNOLOGIES LTD
F0842F	ADB Broadband Italia
F099BF	Apple, Inc.
F0C77F	Texas Instruments
F0D14F	LINEAR LLC
F0D5BF	Intel Corporate
F4032F	Reduxio Systems
F4428F	Samsung Electronics Co.,Ltd
F44C7F	HUAWEI TECHNOLOGIES CO.,LTD
F49EEF	Taicang T&W Electronics
F4B52F	Juniper Networks
F4ED5F	SHENZHEN KTC TECHNOLOGY GROUP
F81EDF	Apple, Inc.
F83DFF	HUAWEI TECHNOLOGIES CO.,LTD
F84A7F	Innometriks Inc
F84ABF	HUAWEI TECHNOLOGIES CO.,LTD
F852DF	VNL Europe AB
F854AF	ECI Telecom Ltd.
F8633F	Intel Corporate
F86ECF	Arcx Inc
F87AEF	Rosonix Technology, Inc.
F88DEF	Tenebraex
F897CF	Daeshin-               # DAESHIN-INFORMATION TECHNOLOGY CO., LTD.
F8A34F	zte corporation
F8A45F	Xiaomi Communications Co Ltd
F8BBBF	eero inc.
F8D7BF	REV Ritter GmbH
F8DADF	EcoTech, Inc.
F8DB7F	HTC Corporation
F8F7FF	SYN-TECH SYSTEMS INC
F8FB2F	Santur Corporation
F8FF5F	Shenzhen Communication Technology Co.,Ltd
FC1BFF	V-ZUG AG
FC253F	Apple, Inc.
FC2FEF	UTT Technologies Co., Ltd.
FC335F	Polyera
FC455F	JIANGXI SHANSHUI OPTOELECTRONIC TECHNOLOGY CO.,LTD
FC48EF	HUAWEI TECHNOLOGIES CO.,LTD
FCAD0F	QTS NETWORKS
FCE23F	CLAY PAKY SPA
